millis,voltage,current,power,capacity,energy
0, 1.18, 119.00, 140.88, 0.00, 0.00
15628, 1.18, 118.70, 140.53, 0.52, 0.61
31628, 1.18, 118.60, 139.93, 1.04, 1.23
47628, 1.18, 118.40, 139.69, 1.57, 1.85
63628, 1.18, 118.40, 139.22, 2.10, 2.47
79627, 1.18, 118.20, 138.98, 2.62, 3.09
95628, 1.18, 118.20, 138.98, 3.15, 3.71
111627, 1.18, 118.10, 138.86, 3.67, 4.33
127628, 1.17, 118.00, 138.27, 4.20, 4.94
143628, 1.17, 117.90, 138.15, 4.72, 5.56
159628, 1.17, 117.70, 137.92, 5.24, 6.17
175627, 1.17, 117.70, 137.92, 5.77, 6.78
191628, 1.17, 117.60, 137.33, 6.29, 7.39
207627, 1.17, 117.50, 137.21, 6.81, 8.00
223627, 1.17, 117.50, 137.21, 7.33, 8.61
239628, 1.17, 117.30, 136.98, 7.86, 9.22
255627, 1.17, 117.30, 136.97, 8.38, 9.83
271628, 1.17, 117.20, 136.86, 8.90, 10.44
287628, 1.17, 117.20, 136.86, 9.42, 11.05
303628, 1.16, 117.10, 136.27, 9.94, 11.65
319628, 1.16, 117.00, 136.15, 10.46, 12.26
335628, 1.16, 116.90, 136.04, 10.98, 12.86
351628, 1.16, 117.00, 136.15, 11.50, 13.47
367628, 1.16, 116.80, 135.45, 12.02, 14.07
383628, 1.16, 116.80, 135.45, 12.54, 14.68
399628, 1.16, 116.80, 135.45, 13.06, 15.28
415628, 1.16, 116.70, 135.33, 13.58, 15.88
431628, 1.16, 116.70, 135.33, 14.10, 16.48
447627, 1.16, 116.70, 135.33, 14.62, 17.09
463628, 1.16, 116.70, 135.33, 15.13, 17.69
479628, 1.16, 116.60, 135.22, 15.65, 18.29
495628, 1.16, 116.50, 135.10, 16.17, 18.89
511628, 1.16, 116.50, 135.10, 16.69, 19.49
527628, 1.16, 116.50, 135.10, 17.21, 20.09
543628, 1.16, 116.50, 134.63, 17.72, 20.69
559628, 1.16, 116.50, 134.63, 18.24, 21.29
575628, 1.16, 116.40, 134.52, 18.76, 21.89
591628, 1.16, 116.40, 134.98, 19.28, 22.49
607628, 1.16, 116.40, 134.52, 19.79, 23.09
623628, 1.16, 116.30, 134.40, 20.31, 23.68
639628, 1.16, 116.30, 134.86, 20.83, 24.28
655628, 1.16, 116.30, 134.40, 21.34, 24.88
671628, 1.16, 116.30, 134.40, 21.86, 25.48
687628, 1.16, 116.20, 134.28, 22.38, 26.07
703628, 1.16, 116.20, 134.28, 22.90, 26.67
719627, 1.16, 116.20, 134.28, 23.41, 27.27
735628, 1.16, 116.20, 134.28, 23.93, 27.86
751628, 1.16, 116.10, 134.17, 24.44, 28.46
767628, 1.16, 116.20, 134.28, 24.96, 29.06
783628, 1.16, 116.20, 134.28, 25.48, 29.65
799628, 1.16, 116.10, 134.17, 25.99, 30.25
815628, 1.16, 116.00, 134.05, 26.51, 30.85
