millis,voltage,current,power,capacity,energy
0, 1.19, 235.20, 279.30, 0.00, 0.00
15675, 1.18, 234.90, 278.00, 1.02, 1.21
31675, 1.18, 234.80, 277.88, 2.07, 2.45
47674, 1.18, 234.60, 277.64, 3.11, 3.68
63675, 1.18, 234.40, 277.40, 4.15, 4.92
79675, 1.18, 234.30, 277.28, 5.19, 6.15
95675, 1.18, 234.10, 276.10, 6.24, 7.38
111675, 1.18, 234.00, 275.98, 7.28, 8.61
127675, 1.18, 233.90, 275.86, 8.32, 9.83
143675, 1.18, 233.70, 275.62, 9.35, 11.06
159675, 1.18, 233.70, 275.62, 10.39, 12.28
175675, 1.18, 233.60, 275.50, 11.43, 13.51
191675, 1.18, 233.50, 274.44, 12.47, 14.73
207675, 1.18, 233.40, 275.26, 13.51, 15.95
223675, 1.18, 233.30, 274.20, 14.54, 17.17
239675, 1.18, 233.10, 273.96, 15.58, 18.39
255675, 1.18, 233.00, 273.85, 16.62, 19.60
271675, 1.18, 233.00, 273.84, 17.65, 20.82
287675, 1.18, 232.90, 273.73, 18.69, 22.04
303675, 1.18, 232.80, 273.61, 19.72, 23.25
319675, 1.17, 232.70, 272.55, 20.76, 24.47
335675, 1.18, 232.60, 273.37, 21.79, 25.68
351675, 1.17, 232.60, 272.43, 22.82, 26.89
367675, 1.17, 232.40, 272.20, 23.86, 28.10
383674, 1.17, 232.40, 272.20, 24.89, 29.31
399675, 1.17, 232.30, 272.08, 25.92, 30.52
415675, 1.17, 232.20, 271.96, 26.95, 31.73
431675, 1.17, 232.20, 271.96, 27.99, 32.94
447675, 1.17, 232.10, 271.84, 29.02, 34.15
463675, 1.17, 232.10, 271.84, 30.05, 35.36
479675, 1.17, 232.00, 270.79, 31.08, 36.56
495675, 1.17, 231.90, 271.60, 32.11, 37.77
511675, 1.17, 231.90, 271.60, 33.14, 38.98
527675, 1.17, 231.80, 270.55, 34.17, 40.18
543675, 1.17, 231.70, 270.43, 35.20, 41.39
559675, 1.17, 231.70, 270.43, 36.23, 42.59
575675, 1.17, 231.60, 270.32, 37.26, 43.79
591675, 1.17, 231.70, 270.43, 38.29, 44.99
607675, 1.17, 231.60, 270.31, 39.32, 46.19
623675, 1.17, 231.50, 270.20, 40.35, 47.39
639675, 1.17, 231.50, 270.20, 41.38, 48.60
655675, 1.17, 231.50, 270.19, 42.41, 49.80
671675, 1.17, 231.40, 270.08, 43.44, 51.00
687675, 1.17, 231.30, 269.96, 44.47, 52.20
703675, 1.17, 231.30, 269.96, 45.49, 53.40
719675, 1.17, 231.20, 269.84, 46.52, 54.60
735675, 1.17, 231.30, 269.96, 47.55, 55.80
751675, 1.17, 231.30, 269.95, 48.58, 56.99
767675, 1.16, 231.20, 268.91, 49.60, 58.19
783675, 1.16, 231.20, 268.91, 50.63, 59.39
799674, 1.17, 231.20, 269.84, 51.66, 60.58
815675, 1.16, 231.10, 268.79, 52.69, 61.78
831675, 1.17, 231.10, 269.72, 53.71, 62.98
847675, 1.16, 231.00, 268.68, 54.74, 64.17
863675, 1.16, 231.00, 268.68, 55.77, 65.37
879675, 1.16, 231.00, 268.68, 56.79, 66.56
895675, 1.16, 231.00, 268.67, 57.82, 67.76
911675, 1.16, 230.90, 268.56, 58.85, 68.95
