millis,voltage,current,power,capacity,energy
0, 1.23, 124.10, 152.94, 0.00, 0.00
15934, 1.23, 123.70, 151.95, 0.55, 0.67
31934, 1.22, 123.60, 151.33, 1.10, 1.35
47934, 1.22, 123.40, 151.08, 1.65, 2.02
63934, 1.22, 123.20, 150.84, 2.19, 2.69
79934, 1.22, 123.20, 150.34, 2.74, 3.36
95934, 1.22, 123.10, 150.22, 3.29, 4.03
111934, 1.22, 122.90, 149.97, 3.84, 4.70
127934, 1.22, 122.80, 149.85, 4.38, 5.36
143934, 1.22, 122.70, 149.24, 4.93, 6.02
159934, 1.22, 122.60, 149.11, 5.47, 6.69
175933, 1.21, 122.50, 148.50, 6.02, 7.35
191934, 1.21, 122.40, 148.38, 6.56, 8.01
207934, 1.21, 122.30, 148.26, 7.10, 8.67
223933, 1.21, 122.20, 148.13, 7.65, 9.33
239933, 1.21, 122.10, 148.01, 8.19, 9.99
255934, 1.21, 121.90, 147.77, 8.73, 10.64
271934, 1.21, 122.00, 147.40, 9.28, 11.30
287934, 1.21, 121.90, 147.28, 9.82, 11.95
303934, 1.21, 121.80, 147.16, 10.36, 12.61
319934, 1.21, 121.70, 147.03, 10.90, 13.26
335934, 1.21, 121.70, 147.03, 11.44, 13.92
351934, 1.20, 121.60, 146.43, 11.98, 14.57
367934, 1.20, 121.50, 146.30, 12.52, 15.22
383933, 1.20, 121.50, 146.30, 13.06, 15.87
399934, 1.20, 121.30, 146.06, 13.60, 16.52
415934, 1.20, 121.30, 146.06, 14.14, 17.17
431934, 1.20, 121.20, 145.94, 14.68, 17.82
447934, 1.20, 121.20, 145.45, 15.22, 18.46
463934, 1.20, 121.10, 145.33, 15.76, 19.11
479934, 1.20, 121.10, 145.33, 16.29, 19.76
495934, 1.20, 121.10, 145.33, 16.83, 20.40
511934, 1.20, 121.00, 145.21, 17.37, 21.05
527934, 1.20, 120.90, 145.09, 17.91, 21.70
543934, 1.20, 121.00, 145.21, 18.45, 22.34
559934, 1.20, 120.90, 145.09, 18.98, 22.98
575933, 1.20, 120.80, 144.97, 19.52, 23.63
591934, 1.20, 120.80, 144.49, 20.06, 24.27
607934, 1.20, 120.80, 144.49, 20.59, 24.91
623934, 1.20, 120.80, 144.49, 21.13, 25.56
639934, 1.20, 120.70, 144.37, 21.67, 26.20
655934, 1.20, 120.60, 144.25, 22.20, 26.84
671934, 1.20, 120.60, 144.24, 22.74, 27.48
687934, 1.20, 120.60, 144.24, 23.28, 28.12
703934, 1.20, 120.60, 144.24, 23.81, 28.76
719934, 1.20, 120.60, 144.24, 24.35, 29.40
735934, 1.20, 120.50, 144.12, 24.88, 30.04
751934, 1.20, 120.50, 144.12, 25.42, 30.68
767934, 1.19, 120.50, 143.64, 25.95, 31.32
783934, 1.20, 120.40, 144.00, 26.49, 31.96
799934, 1.19, 120.50, 143.64, 27.03, 32.60
815934, 1.19, 120.40, 143.52, 27.56, 33.24
831934, 1.19, 120.40, 143.52, 28.10, 33.88
847934, 1.19, 120.40, 143.52, 28.63, 34.52
863934, 1.19, 120.30, 143.40, 29.16, 35.15
879934, 1.19, 120.30, 143.40, 29.70, 35.79
895934, 1.19, 120.30, 143.40, 30.23, 36.43
911934, 1.19, 120.20, 143.28, 30.77, 37.07
927934, 1.19, 120.20, 143.28, 31.30, 37.70
943933, 1.19, 120.20, 143.28, 31.84, 38.34
959934, 1.19, 120.20, 143.28, 32.37, 38.98
975934, 1.19, 120.20, 143.28, 32.91, 39.61
991934, 1.19, 120.20, 143.28, 33.44, 40.25
1007934, 1.19, 120.10, 143.16, 33.97, 40.89
1023934, 1.19, 120.10, 143.16, 34.51, 41.52
1039933, 1.19, 120.10, 143.16, 35.04, 42.16
1055934, 1.19, 120.10, 142.68, 35.57, 42.79
1071934, 1.19, 120.10, 143.16, 36.11, 43.43
1087934, 1.19, 120.10, 143.16, 36.64, 44.07
1103934, 1.19, 120.00, 143.04, 37.18, 44.70
1119934, 1.19, 120.10, 142.68, 37.71, 45.34
1135934, 1.19, 120.00, 143.04, 38.24, 45.97
1151934, 1.19, 120.10, 143.16, 38.78, 46.61
1167934, 1.19, 120.00, 142.56, 39.31, 47.24
1183934, 1.19, 119.90, 142.92, 39.84, 47.88
1199934, 1.19, 120.00, 143.04, 40.38, 48.51
1215933, 1.19, 120.00, 142.56, 40.91, 49.14
1231934, 1.19, 120.00, 142.56, 41.44, 49.78
1247933, 1.19, 120.00, 142.56, 41.98, 50.41
1263934, 1.19, 119.90, 142.44, 42.51, 51.05
1279934, 1.19, 120.00, 142.56, 43.04, 51.68
1295934, 1.19, 119.90, 142.44, 43.57, 52.31
1311934, 1.19, 119.80, 142.32, 44.11, 52.95
1327934, 1.19, 119.90, 142.44, 44.64, 53.58
1343934, 1.19, 119.90, 142.44, 45.17, 54.21
1359934, 1.19, 119.90, 142.44, 45.71, 54.85
1375934, 1.19, 119.90, 142.44, 46.24, 55.48
1391934, 1.19, 119.90, 142.44, 46.77, 56.11
1407934, 1.19, 119.80, 142.32, 47.31, 56.75
