millis,voltage,current,power,capacity,energy
0, 1.17, 231.90, 270.67, 0.00, 0.00
15048, 1.16, 231.60, 269.39, 0.97, 1.13
31048, 1.16, 231.30, 269.03, 2.00, 2.32
47048, 1.16, 231.10, 268.79, 3.02, 3.52
63048, 1.16, 230.90, 267.63, 4.05, 4.71
79048, 1.16, 230.80, 267.51, 5.08, 5.90
95047, 1.16, 230.60, 267.28, 6.10, 7.09
111048, 1.16, 230.40, 267.05, 7.13, 8.27
126048, 1.16, 230.30, 266.00, 8.09, 9.38
142048, 1.16, 230.10, 265.77, 9.11, 10.57
158048, 1.16, 229.90, 265.53, 10.13, 11.75
174048, 1.15, 229.90, 265.53, 11.15, 12.93
190048, 1.15, 229.70, 265.30, 12.17, 14.11
206048, 1.15, 229.50, 265.06, 13.20, 15.29
222048, 1.15, 229.50, 265.06, 14.22, 16.46
238048, 1.15, 229.40, 264.03, 15.24, 17.64
254048, 1.15, 229.20, 263.79, 16.25, 18.81
270048, 1.15, 229.10, 263.67, 17.27, 19.98
286048, 1.15, 229.00, 263.56, 18.29, 21.15
302048, 1.15, 228.90, 262.52, 19.31, 22.32
318048, 1.15, 228.70, 263.21, 20.33, 23.49
334048, 1.15, 228.70, 262.29, 21.34, 24.66
350048, 1.15, 228.50, 262.06, 22.36, 25.83
366048, 1.15, 228.50, 262.06, 23.37, 26.99
382048, 1.15, 228.40, 261.94, 24.39, 28.15
398048, 1.15, 228.30, 261.82, 25.40, 29.32
414047, 1.14, 228.20, 260.79, 26.42, 30.48
430048, 1.15, 228.20, 261.70, 27.43, 31.65
446048, 1.15, 228.10, 261.59, 28.45, 32.81
462048, 1.15, 228.00, 261.47, 29.46, 33.97
478048, 1.14, 228.00, 260.56, 30.47, 35.13
494048, 1.14, 227.80, 260.33, 31.49, 36.29
510048, 1.14, 227.80, 260.33, 32.50, 37.44
526048, 1.14, 227.70, 260.21, 33.51, 38.60
542048, 1.14, 227.70, 260.21, 34.52, 39.76
558048, 1.14, 227.60, 260.09, 35.53, 40.91
574048, 1.14, 227.60, 260.09, 36.55, 42.07
590048, 1.14, 227.50, 259.98, 37.56, 43.22
606048, 1.14, 227.40, 259.86, 38.57, 44.38
622048, 1.14, 227.40, 259.86, 39.58, 45.53
638048, 1.14, 227.30, 259.74, 40.59, 46.69
654048, 1.14, 227.30, 259.74, 41.60, 47.84
670048, 1.14, 227.30, 259.74, 42.61, 48.99
686047, 1.14, 227.20, 258.72, 43.62, 50.15
702048, 1.14, 227.20, 258.72, 44.63, 51.30
718048, 1.14, 227.10, 259.51, 45.64, 52.45
734048, 1.14, 227.10, 258.60, 46.65, 53.60
750048, 1.14, 227.00, 258.49, 47.66, 54.75
766047, 1.14, 227.00, 258.48, 48.67, 55.90
782048, 1.14, 227.00, 258.48, 49.67, 57.05
798048, 1.14, 226.90, 258.37, 50.68, 58.20
814048, 1.14, 226.90, 258.37, 51.69, 59.34
830048, 1.14, 226.90, 258.37, 52.70, 60.49
846048, 1.14, 226.90, 258.37, 53.71, 61.64
862048, 1.14, 226.80, 258.25, 54.72, 62.79
878048, 1.14, 226.80, 258.25, 55.73, 63.94
894048, 1.14, 226.80, 258.25, 56.73, 65.08
910048, 1.14, 226.80, 258.25, 57.74, 66.23
926048, 1.14, 226.80, 258.25, 58.75, 67.38
942048, 1.14, 226.80, 258.25, 59.76, 68.53
958048, 1.14, 226.70, 258.13, 60.76, 69.67
974048, 1.14, 226.70, 258.13, 61.77, 70.82
990048, 1.14, 226.70, 258.14, 62.78, 71.97
1006048, 1.14, 226.60, 258.02, 63.79, 73.11
1022048, 1.14, 226.60, 258.02, 64.79, 74.26
1038048, 1.14, 226.60, 258.02, 65.80, 75.41
1054048, 1.14, 226.60, 258.02, 66.81, 76.55
1070048, 1.14, 226.60, 258.02, 67.82, 77.70
1086048, 1.14, 226.60, 258.02, 68.82, 78.85
1102048, 1.14, 226.60, 258.02, 69.83, 79.99
1118048, 1.14, 226.60, 258.02, 70.84, 81.14
1134048, 1.14, 226.60, 258.02, 71.84, 82.28
1150048, 1.14, 226.50, 257.90, 72.85, 83.43
1166048, 1.13, 226.50, 257.00, 73.86, 84.57
1182048, 1.13, 226.50, 257.00, 74.86, 85.72
1198048, 1.14, 226.60, 258.02, 75.87, 86.87
1214048, 1.14, 226.50, 257.90, 76.88, 88.01
1230048, 1.14, 226.50, 257.90, 77.88, 89.16
1246048, 1.14, 226.50, 257.90, 78.89, 90.30
1262048, 1.13, 226.50, 257.00, 79.90, 91.44
1278048, 1.14, 226.50, 257.90, 80.90, 92.59
1294048, 1.13, 226.50, 257.00, 81.91, 93.73
1310048, 1.13, 226.50, 257.00, 82.92, 94.88
1326048, 1.13, 226.50, 257.00, 83.92, 96.02
1342048, 1.14, 226.50, 257.90, 84.93, 97.17
