millis,voltage,current,power,capacity,energy
0, 1.31, 180.20, 235.34, 0.00, 0.00
15959, 1.30, 180.30, 234.03, 0.80, 1.04
31959, 1.29, 180.30, 233.31, 1.60, 2.08
47959, 1.29, 180.30, 233.31, 2.40, 3.12
63960, 1.29, 180.40, 232.72, 3.20, 4.15
79959, 1.29, 180.30, 232.59, 4.00, 5.19
95959, 1.29, 180.30, 232.59, 4.81, 6.22
111959, 1.29, 180.30, 231.87, 5.61, 7.25
127959, 1.28, 180.40, 231.28, 6.41, 8.28
143959, 1.28, 180.40, 231.28, 7.21, 9.31
159959, 1.28, 180.30, 231.15, 8.01, 10.34
175960, 1.28, 180.30, 230.43, 8.81, 11.36
191960, 1.28, 180.30, 230.43, 9.62, 12.39
207959, 1.27, 180.30, 229.71, 10.42, 13.41
223959, 1.27, 180.40, 229.84, 11.22, 14.43
239960, 1.27, 180.20, 229.58, 12.02, 15.45
255959, 1.27, 180.30, 229.71, 12.82, 16.47
271959, 1.27, 180.30, 229.71, 13.62, 17.49
287959, 1.27, 180.30, 228.99, 14.42, 18.51
303959, 1.27, 180.30, 228.98, 15.22, 19.53
319959, 1.27, 180.30, 228.99, 16.03, 20.55
335959, 1.27, 180.30, 228.27, 16.83, 21.56
351959, 1.26, 180.30, 227.54, 17.63, 22.57
367959, 1.27, 180.40, 228.39, 18.43, 23.59
383959, 1.27, 180.30, 228.27, 19.23, 24.60
399959, 1.27, 180.40, 228.39, 20.03, 25.62
415959, 1.26, 180.40, 227.67, 20.83, 26.63
431959, 1.26, 180.30, 227.54, 21.63, 27.64
447959, 1.26, 180.20, 227.42, 22.44, 28.65
463959, 1.26, 180.30, 226.82, 23.24, 29.66
479959, 1.26, 180.20, 226.70, 24.04, 30.67
495959, 1.26, 180.30, 226.82, 24.84, 31.68
511959, 1.25, 180.20, 225.97, 25.64, 32.68
527959, 1.25, 180.40, 226.23, 26.44, 33.69
543960, 1.25, 180.20, 225.98, 27.24, 34.70
559959, 1.26, 180.30, 226.82, 28.04, 35.70
575959, 1.25, 180.30, 226.10, 28.85, 36.71
591959, 1.25, 180.30, 226.10, 29.65, 37.71
607960, 1.25, 180.30, 226.10, 30.45, 38.72
623960, 1.25, 180.30, 226.10, 31.25, 39.72
639960, 1.25, 180.30, 226.10, 32.05, 40.73
655959, 1.25, 180.30, 225.38, 32.85, 41.73
671960, 1.25, 180.30, 225.38, 33.65, 42.73
687960, 1.25, 180.30, 225.38, 34.46, 43.74
703959, 1.25, 180.40, 225.51, 35.26, 44.74
719960, 1.25, 180.30, 225.38, 36.06, 45.74
735959, 1.25, 180.40, 225.51, 36.86, 46.74
751959, 1.25, 180.20, 225.26, 37.66, 47.74
767959, 1.25, 180.30, 224.66, 38.46, 48.74
783959, 1.25, 180.30, 224.66, 39.26, 49.74
799959, 1.25, 180.30, 224.66, 40.07, 50.74
815959, 1.25, 180.30, 224.66, 40.87, 51.74
831960, 1.25, 180.30, 224.66, 41.67, 52.73
847959, 1.25, 180.20, 224.53, 42.47, 53.73
863960, 1.24, 180.30, 223.94, 43.27, 54.73
879959, 1.25, 180.40, 224.78, 44.07, 55.72
895959, 1.24, 180.40, 224.06, 44.87, 56.72
911959, 1.24, 180.40, 224.06, 45.68, 57.72
927959, 1.24, 180.30, 223.94, 46.48, 58.71
943960, 1.24, 180.40, 224.06, 47.28, 59.71
959959, 1.24, 180.30, 223.22, 48.08, 60.70
975959, 1.24, 180.30, 223.94, 48.88, 61.69
991959, 1.24, 180.40, 223.34, 49.68, 62.69
1007960, 1.24, 180.40, 223.34, 50.48, 63.68
1023959, 1.24, 180.30, 223.22, 51.29, 64.67
1039960, 1.24, 180.30, 223.22, 52.09, 65.66
1055960, 1.24, 180.40, 223.34, 52.89, 66.66
1071959, 1.23, 180.30, 222.50, 53.69, 67.65
1087959, 1.24, 180.40, 223.34, 54.49, 68.64
1103959, 1.23, 180.30, 222.50, 55.29, 69.63
1119960, 1.23, 180.40, 222.62, 56.10, 70.62
1135960, 1.24, 180.30, 223.22, 56.90, 71.61
1151960, 1.23, 180.40, 222.62, 57.70, 72.60
1167959, 1.23, 180.30, 222.50, 58.50, 73.59
1183960, 1.23, 180.30, 222.50, 59.30, 74.57
1199959, 1.23, 180.40, 222.62, 60.10, 75.56
1215959, 1.23, 180.40, 222.62, 60.90, 76.55
1231959, 1.23, 180.30, 221.77, 61.71, 77.54
1247959, 1.23, 180.40, 222.62, 62.51, 78.53
1263960, 1.23, 180.40, 221.90, 63.31, 79.52
1279959, 1.23, 180.30, 221.77, 64.11, 80.50
1295959, 1.23, 180.30, 221.77, 64.91, 81.49
1311959, 1.23, 180.30, 221.77, 65.71, 82.47
1327959, 1.23, 180.20, 221.65, 66.52, 83.46
1343959, 1.23, 180.40, 221.90, 67.32, 84.45
1359959, 1.23, 180.30, 221.78, 68.12, 85.43
1375959, 1.23, 180.40, 221.90, 68.92, 86.42
1391959, 1.23, 180.30, 221.78, 69.72, 87.40
1407959, 1.23, 180.40, 221.90, 70.52, 88.39
1423960, 1.23, 180.30, 221.05, 71.33, 89.37
1439959, 1.23, 180.50, 221.30, 72.13, 90.35
1455960, 1.23, 180.40, 221.18, 72.93, 91.34
1471959, 1.23, 180.30, 221.05, 73.73, 92.32
1487959, 1.23, 180.40, 221.17, 74.53, 93.30
1503959, 1.23, 180.40, 221.18, 75.33, 94.29
1519959, 1.23, 180.30, 221.05, 76.13, 95.27
1535959, 1.23, 180.40, 221.18, 76.94, 96.25
1551959, 1.23, 180.30, 221.06, 77.74, 97.23
1567959, 1.23, 180.30, 221.05, 78.54, 98.22
1583959, 1.22, 180.30, 220.33, 79.34, 99.20
1599959, 1.22, 180.40, 220.45, 80.14, 100.18
1615959, 1.22, 180.30, 220.33, 80.94, 101.16
1631960, 1.22, 180.30, 220.33, 81.75, 102.14
1647959, 1.22, 180.30, 220.33, 82.55, 103.12
1663960, 1.23, 180.40, 221.18, 83.35, 104.10
1679959, 1.22, 180.30, 220.33, 84.15, 105.08
1695960, 1.22, 180.30, 220.33, 84.95, 106.06
1711960, 1.22, 180.30, 220.33, 85.75, 107.04
1727959, 1.22, 180.40, 220.46, 86.55, 108.01
1743959, 1.22, 180.40, 220.45, 87.36, 108.99
1759959, 1.22, 180.30, 220.33, 88.16, 109.97
1775960, 1.22, 180.40, 220.45, 88.96, 110.95
