millis,voltage,current,power,capacity,energy
0, 1.23, 180.30, 222.50, 0.00, 0.00
15707, 1.23, 180.40, 221.18, 0.79, 0.97
31707, 1.23, 180.40, 221.18, 1.59, 1.95
47708, 1.22, 180.40, 220.46, 2.39, 2.93
63707, 1.22, 180.50, 219.86, 3.19, 3.91
79707, 1.22, 180.40, 219.74, 3.99, 4.89
95708, 1.21, 180.40, 219.01, 4.80, 5.86
111707, 1.21, 180.40, 219.01, 5.60, 6.84
127707, 1.21, 180.40, 219.01, 6.40, 7.81
143707, 1.21, 180.40, 218.29, 7.20, 8.78
159707, 1.21, 180.40, 218.29, 8.00, 9.75
175707, 1.21, 180.50, 217.69, 8.81, 10.72
191707, 1.21, 180.40, 217.57, 9.61, 11.69
207707, 1.21, 180.40, 217.57, 10.41, 12.66
223707, 1.20, 180.50, 216.97, 11.21, 13.63
239707, 1.20, 180.50, 216.97, 12.01, 14.59
255707, 1.20, 180.50, 216.97, 12.82, 15.56
271707, 1.20, 180.50, 216.97, 13.62, 16.52
287707, 1.20, 180.50, 216.24, 14.42, 17.48
303707, 1.20, 180.50, 216.97, 15.22, 18.45
319707, 1.20, 180.40, 216.13, 16.02, 19.41
335708, 1.20, 180.60, 216.37, 16.83, 20.37
351708, 1.20, 180.50, 216.25, 17.63, 21.33
367708, 1.20, 180.40, 216.13, 18.43, 22.29
383707, 1.19, 180.50, 215.52, 19.23, 23.25
399707, 1.19, 180.40, 215.40, 20.03, 24.21
415707, 1.19, 180.40, 215.41, 20.84, 25.16
431708, 1.19, 180.50, 215.53, 21.64, 26.12
447707, 1.19, 180.50, 215.53, 22.44, 27.08
463707, 1.19, 180.50, 215.52, 23.24, 28.04
479707, 1.19, 180.50, 214.80, 24.04, 28.99
495707, 1.19, 180.50, 214.80, 24.85, 29.95
511707, 1.19, 180.50, 214.80, 25.65, 30.90
527707, 1.19, 180.50, 214.80, 26.45, 31.86
543708, 1.19, 180.40, 214.68, 27.25, 32.81
559707, 1.19, 180.40, 214.68, 28.06, 33.76
575707, 1.19, 180.40, 214.69, 28.86, 34.72
591708, 1.19, 180.50, 214.80, 29.66, 35.67
607708, 1.19, 180.50, 214.08, 30.46, 36.63
623707, 1.19, 180.40, 213.96, 31.26, 37.58
639707, 1.19, 180.50, 214.08, 32.07, 38.53
655707, 1.19, 180.40, 213.96, 32.87, 39.48
671707, 1.19, 180.50, 214.08, 33.67, 40.43
687707, 1.19, 180.60, 214.20, 34.47, 41.38
703708, 1.19, 180.50, 214.08, 35.27, 42.33
719707, 1.19, 180.50, 214.08, 36.08, 43.29
735707, 1.19, 180.50, 214.08, 36.88, 44.24
751707, 1.19, 180.50, 214.08, 37.68, 45.19
767708, 1.19, 180.50, 214.08, 38.48, 46.14
783707, 1.19, 180.50, 214.08, 39.29, 47.09
799707, 1.19, 180.50, 214.08, 40.09, 48.04
815708, 1.18, 180.50, 213.36, 40.89, 48.99
831708, 1.18, 180.40, 213.24, 41.69, 49.94
847707, 1.18, 180.50, 213.36, 42.49, 50.89
