millis,voltage,current,power,capacity,energy
0, 1.37, 180.10, 246.74, 0.00, 0.00
15716, 1.37, 180.10, 246.02, 0.79, 1.07
31716, 1.36, 180.20, 245.44, 1.59, 2.17
47716, 1.36, 180.30, 244.85, 2.39, 3.25
63717, 1.35, 180.30, 244.13, 3.19, 4.34
79716, 1.35, 180.20, 243.99, 3.99, 5.43
95716, 1.35, 180.20, 243.28, 4.79, 6.51
111716, 1.35, 180.30, 243.41, 5.59, 7.59
127717, 1.35, 180.20, 242.55, 6.39, 8.67
143717, 1.35, 180.30, 242.69, 7.20, 9.75
159717, 1.34, 180.30, 241.97, 8.00, 10.82
175716, 1.34, 180.30, 241.97, 8.80, 11.90
191717, 1.34, 180.30, 241.25, 9.60, 12.97
207716, 1.34, 180.30, 241.25, 10.40, 14.05
223716, 1.34, 180.30, 241.25, 11.20, 15.12
239716, 1.33, 180.30, 240.52, 12.00, 16.19
255716, 1.33, 180.20, 240.39, 12.80, 17.26
271716, 1.33, 180.30, 240.53, 13.61, 18.33
287716, 1.33, 180.20, 240.39, 14.41, 19.40
303716, 1.33, 180.30, 239.80, 15.21, 20.46
319716, 1.33, 180.30, 239.80, 16.01, 21.53
335717, 1.33, 180.30, 239.80, 16.81, 22.60
351716, 1.33, 180.30, 239.08, 17.61, 23.66
367716, 1.33, 180.20, 238.95, 18.41, 24.72
383717, 1.33, 180.30, 239.08, 19.22, 25.78
399716, 1.33, 180.30, 239.08, 20.02, 26.85
415716, 1.32, 180.30, 238.36, 20.82, 27.91
431716, 1.32, 180.30, 238.36, 21.62, 28.97
447716, 1.32, 180.30, 238.36, 22.42, 30.03
463716, 1.32, 180.30, 238.36, 23.22, 31.08
479716, 1.32, 180.20, 237.51, 24.02, 32.14
495716, 1.32, 180.30, 237.64, 24.82, 33.20
511716, 1.32, 180.30, 237.64, 25.63, 34.26
527716, 1.32, 180.40, 237.77, 26.43, 35.31
543716, 1.31, 180.40, 237.05, 27.23, 36.37
559716, 1.31, 180.30, 236.92, 28.03, 37.42
575716, 1.31, 180.30, 236.92, 28.83, 38.47
591716, 1.31, 180.30, 236.92, 29.63, 39.53
607716, 1.31, 180.30, 236.92, 30.43, 40.58
623717, 1.31, 180.20, 236.06, 31.23, 41.63
639716, 1.31, 180.30, 236.20, 32.04, 42.68
655716, 1.31, 180.30, 236.20, 32.84, 43.73
671716, 1.31, 180.30, 236.20, 33.64, 44.78
687716, 1.31, 180.30, 235.48, 34.44, 45.83
703716, 1.31, 180.30, 235.48, 35.24, 46.88
719716, 1.31, 180.30, 235.48, 36.04, 47.92
735716, 1.31, 180.30, 235.48, 36.84, 48.97
751716, 1.31, 180.20, 235.34, 37.65, 50.01
767716, 1.31, 180.20, 235.35, 38.45, 51.06
783716, 1.30, 180.30, 234.76, 39.25, 52.10
799716, 1.30, 180.30, 234.75, 40.05, 53.15
815716, 1.30, 180.30, 234.76, 40.85, 54.19
831716, 1.30, 180.30, 234.76, 41.65, 55.23
847716, 1.30, 180.30, 234.76, 42.45, 56.28
863716, 1.30, 180.30, 234.03, 43.25, 57.32
879716, 1.30, 180.30, 234.03, 44.06, 58.36
895716, 1.30, 180.30, 234.03, 44.86, 59.40
911716, 1.30, 180.30, 234.03, 45.66, 60.44
927716, 1.30, 180.30, 234.03, 46.46, 61.48
943717, 1.30, 180.30, 234.03, 47.26, 62.52
959716, 1.29, 180.30, 233.31, 48.06, 63.55
975717, 1.29, 180.30, 233.31, 48.86, 64.59
991716, 1.29, 180.30, 233.31, 49.66, 65.63
1007716, 1.29, 180.30, 233.31, 50.47, 66.66
1023716, 1.29, 180.40, 232.72, 51.27, 67.70
1039717, 1.29, 180.30, 232.59, 52.07, 68.73
1055716, 1.29, 180.30, 232.59, 52.87, 69.77
1071717, 1.29, 180.30, 233.31, 53.67, 70.80
1087716, 1.29, 180.30, 232.59, 54.47, 71.84
1103716, 1.29, 180.30, 232.59, 55.27, 72.87
1119716, 1.29, 180.20, 232.46, 56.07, 73.90
1135716, 1.29, 180.30, 231.87, 56.88, 74.93
1151716, 1.29, 180.30, 231.87, 57.68, 75.97
1167716, 1.29, 180.20, 231.74, 58.48, 77.00
1183716, 1.29, 180.30, 231.87, 59.28, 78.03
1199716, 1.29, 180.30, 231.87, 60.08, 79.06
1215716, 1.28, 180.30, 231.15, 60.88, 80.09
1231717, 1.28, 180.30, 231.15, 61.68, 81.12
1247716, 1.28, 180.30, 231.15, 62.48, 82.14
1263716, 1.28, 180.30, 231.15, 63.28, 83.17
1279716, 1.28, 180.30, 231.15, 64.09, 84.20
1295716, 1.28, 180.30, 230.43, 64.89, 85.22
1311717, 1.28, 180.30, 231.15, 65.69, 86.25
1327716, 1.28, 180.20, 230.30, 66.49, 87.27
1343717, 1.28, 180.30, 230.43, 67.29, 88.30
1359717, 1.28, 180.30, 230.43, 68.09, 89.32
1375716, 1.28, 180.20, 230.30, 68.89, 90.35
1391716, 1.28, 180.30, 230.43, 69.69, 91.37
1407716, 1.28, 180.30, 230.43, 70.50, 92.39
1423716, 1.28, 180.30, 230.43, 71.30, 93.42
1439716, 1.27, 180.30, 229.71, 72.10, 94.44
1455717, 1.27, 180.30, 229.71, 72.90, 95.46
1471716, 1.27, 180.30, 229.71, 73.70, 96.48
1487716, 1.27, 180.30, 229.71, 74.50, 97.50
1503716, 1.27, 180.20, 229.58, 75.30, 98.52
1519717, 1.27, 180.30, 229.71, 76.10, 99.54
1535717, 1.27, 180.20, 228.86, 76.91, 100.56
1551716, 1.27, 180.30, 228.98, 77.71, 101.58
1567716, 1.27, 180.30, 228.98, 78.51, 102.60
1583716, 1.27, 180.30, 228.99, 79.31, 103.61
1599717, 1.27, 180.20, 228.14, 80.11, 104.63
1615717, 1.27, 180.30, 228.99, 80.91, 105.65
1631716, 1.27, 180.30, 228.26, 81.71, 106.67
1647716, 1.27, 180.30, 228.26, 82.51, 107.68
1663716, 1.27, 180.30, 228.26, 83.32, 108.70
1679716, 1.27, 180.20, 228.14, 84.12, 109.71
1695716, 1.27, 180.30, 228.27, 84.92, 110.72
1711716, 1.27, 180.30, 228.26, 85.72, 111.74
1727716, 1.27, 180.20, 228.14, 86.52, 112.75
1743717, 1.26, 180.20, 227.42, 87.32, 113.77
1759716, 1.26, 180.20, 227.42, 88.12, 114.78
1775716, 1.27, 180.30, 228.27, 88.92, 115.79
1791717, 1.26, 180.20, 227.42, 89.72, 116.80
1807717, 1.26, 180.30, 227.54, 90.53, 117.81
1823716, 1.26, 180.30, 227.54, 91.33, 118.82
1839717, 1.26, 180.30, 227.54, 92.13, 119.84
1855716, 1.26, 180.30, 227.54, 92.93, 120.85
1871716, 1.26, 180.30, 227.54, 93.73, 121.86
1886718, 1.26, 180.20, 227.42, 94.48, 122.80
1902717, 1.26, 180.20, 226.69, 95.28, 123.81
1918718, 1.26, 180.20, 226.70, 96.08, 124.82
1934717, 1.26, 180.20, 226.70, 96.88, 125.83
1950717, 1.26, 180.20, 226.70, 97.69, 126.83
1966717, 1.26, 180.30, 226.82, 98.49, 127.84
1982717, 1.26, 180.30, 226.82, 99.29, 128.85
1998717, 1.26, 180.30, 226.82, 100.09, 129.86
2014717, 1.26, 180.30, 226.82, 100.89, 130.87
2030718, 1.25, 180.30, 226.10, 101.69, 131.87
2046717, 1.25, 180.20, 225.98, 102.49, 132.88
2062717, 1.25, 180.20, 225.97, 103.29, 133.88
2078717, 1.25, 180.20, 225.97, 104.09, 134.89
2094717, 1.25, 180.20, 225.97, 104.90, 135.89
2110717, 1.25, 180.30, 226.10, 105.70, 136.90
2126717, 1.25, 180.20, 225.98, 106.50, 137.90
2142717, 1.25, 180.30, 225.38, 107.30, 138.90
2158717, 1.25, 180.20, 225.25, 108.10, 139.91
2174717, 1.25, 180.20, 225.97, 108.90, 140.91
2190717, 1.25, 180.20, 225.25, 109.70, 141.91
2206717, 1.25, 180.20, 225.25, 110.50, 142.92
2222717, 1.25, 180.20, 225.25, 111.30, 143.92
2238717, 1.25, 180.20, 225.25, 112.10, 144.92
2254717, 1.25, 180.20, 225.25, 112.91, 145.92
2270717, 1.25, 180.20, 225.25, 113.71, 146.92
2286718, 1.25, 180.20, 225.25, 114.51, 147.92
2302717, 1.25, 180.20, 224.53, 115.31, 148.92
2318717, 1.25, 180.30, 224.66, 116.11, 149.92
2334717, 1.25, 180.30, 224.66, 116.91, 150.92
2350718, 1.25, 180.30, 224.66, 117.71, 151.92
2366717, 1.25, 180.30, 224.66, 118.51, 152.92
2382718, 1.25, 180.20, 224.53, 119.31, 153.92
2398717, 1.25, 180.20, 224.53, 120.11, 154.92
2414717, 1.24, 180.20, 223.81, 120.92, 155.91
2430717, 1.25, 180.20, 224.53, 121.72, 156.91
2446718, 1.25, 180.20, 224.53, 122.52, 157.91
2462717, 1.25, 180.20, 224.53, 123.32, 158.91
2478717, 1.25, 180.10, 224.41, 124.12, 159.90
