millis,voltage,current,power,capacity,energy
0, 1.19, 501.00, 596.25, 0.00, 0.00
15263, 1.18, 499.72, 590.64, 2.12, 2.51
31264, 1.19, 499.52, 592.39, 4.34, 5.14
47263, 1.18, 499.52, 590.40, 6.56, 7.77
63263, 1.18, 499.72, 588.64, 8.78, 10.39
79263, 1.17, 499.40, 586.27, 11.00, 13.00
95263, 1.18, 499.40, 588.27, 13.22, 15.61
111263, 1.17, 499.72, 584.65, 15.44, 18.22
127263, 1.17, 499.32, 584.17, 17.66, 20.83
143263, 1.17, 499.20, 586.03, 19.88, 23.43
159263, 1.17, 499.32, 582.18, 22.10, 26.02
175264, 1.17, 499.32, 584.17, 24.32, 28.62
191263, 1.17, 499.52, 582.42, 26.54, 31.21
207264, 1.17, 499.40, 582.27, 28.76, 33.80
223264, 1.16, 499.72, 580.64, 30.98, 36.39
239263, 1.16, 499.40, 580.28, 33.20, 38.97
255263, 1.16, 499.40, 580.27, 35.42, 41.56
271263, 1.16, 499.20, 580.05, 37.64, 44.14
287263, 1.16, 499.72, 580.65, 39.86, 46.71
303263, 1.16, 499.60, 578.51, 42.08, 49.29
319263, 1.16, 499.20, 578.04, 44.30, 51.86
335263, 1.16, 499.60, 578.50, 46.52, 54.44
351263, 1.16, 499.52, 578.41, 48.74, 57.01
367263, 1.16, 499.60, 580.51, 50.96, 59.57
383263, 1.16, 499.40, 578.27, 53.18, 62.14
399263, 1.16, 499.40, 578.29, 55.40, 64.71
415263, 1.15, 499.40, 576.27, 57.61, 67.27
431263, 1.15, 499.52, 576.42, 59.83, 69.83
447264, 1.15, 499.52, 576.41, 62.05, 72.39
463264, 1.15, 499.40, 574.28, 64.27, 74.95
479263, 1.15, 499.72, 576.66, 66.49, 77.50
495263, 1.15, 499.40, 574.28, 68.71, 80.06
511263, 1.15, 499.40, 576.29, 70.93, 82.62
527263, 1.15, 499.40, 576.30, 73.15, 85.17
543263, 1.15, 499.60, 574.51, 75.37, 87.72
559264, 1.15, 499.32, 574.17, 77.59, 90.28
575263, 1.15, 499.40, 572.27, 79.81, 92.83
591263, 1.15, 499.32, 574.18, 82.03, 95.38
607264, 1.15, 499.32, 574.19, 84.25, 97.93
623264, 1.15, 499.52, 574.41, 86.47, 100.47
639263, 1.15, 499.52, 574.42, 88.69, 103.02
655263, 1.15, 499.72, 574.64, 90.91, 105.57
671263, 1.15, 499.60, 574.53, 93.13, 108.11
687263, 1.15, 499.20, 572.05, 95.35, 110.66
703264, 1.15, 499.52, 572.41, 97.57, 113.21
719263, 1.15, 499.32, 572.20, 99.79, 115.75
735263, 1.14, 499.20, 570.05, 102.01, 118.29
751263, 1.15, 499.32, 572.20, 104.23, 120.84
767264, 1.15, 499.20, 572.05, 106.45, 123.38
783263, 1.15, 499.60, 572.51, 108.67, 125.92
799264, 1.15, 499.32, 572.20, 110.89, 128.46
815263, 1.15, 499.60, 572.51, 113.11, 131.00
831264, 1.15, 499.40, 572.29, 115.33, 133.54
847264, 1.15, 499.80, 572.75, 117.55, 136.09
863263, 1.15, 499.32, 572.20, 119.77, 138.63
879263, 1.15, 499.40, 572.28, 121.99, 141.17
895263, 1.15, 499.40, 572.29, 124.21, 143.71
911263, 1.15, 499.40, 572.28, 126.43, 146.25
927264, 1.14, 499.52, 570.43, 128.65, 148.79
943263, 1.14, 499.52, 570.41, 130.87, 151.33
959263, 1.14, 499.12, 569.96, 133.09, 153.87
975263, 1.15, 499.52, 572.42, 135.31, 156.41
991263, 1.14, 499.60, 570.53, 137.53, 158.95
1007263, 1.15, 499.20, 572.06, 139.75, 161.49
1023263, 1.15, 499.72, 572.65, 141.97, 164.03
1039263, 1.15, 499.32, 572.19, 144.19, 166.57
1055263, 1.15, 499.60, 572.51, 146.41, 169.11
1071264, 1.14, 499.40, 570.28, 148.63, 171.65
1087263, 1.14, 499.52, 570.43, 150.85, 174.19
1103263, 1.15, 499.40, 572.28, 153.06, 176.73
1119264, 1.14, 499.20, 570.06, 155.28, 179.27
1135263, 1.14, 499.20, 570.05, 157.50, 181.81
1151263, 1.14, 499.32, 570.19, 159.72, 184.34
1167263, 1.14, 499.40, 570.28, 161.94, 186.88
1183263, 1.15, 499.52, 572.42, 164.16, 189.42
1199263, 1.15, 499.60, 572.52, 166.38, 191.96
1215263, 1.15, 499.40, 572.29, 168.60, 194.50
1231264, 1.14, 499.40, 570.28, 170.82, 197.04
1247263, 1.14, 499.32, 570.21, 173.04, 199.57
1263263, 1.14, 499.40, 570.28, 175.26, 202.11
1279263, 1.14, 499.52, 570.41, 177.48, 204.65
1295263, 1.15, 499.12, 571.96, 179.70, 207.19
1311263, 1.15, 499.40, 572.28, 181.92, 209.72
1327263, 1.14, 499.32, 570.20, 184.14, 212.26
1343263, 1.14, 499.40, 570.28, 186.36, 214.80
1359263, 1.14, 499.32, 570.20, 188.58, 217.34
1375264, 1.14, 499.52, 570.43, 190.80, 219.87
1391263, 1.14, 499.32, 570.19, 193.02, 222.41
1407263, 1.15, 499.60, 572.52, 195.24, 224.95
1423263, 1.14, 499.52, 570.42, 197.46, 227.48
1439263, 1.14, 499.32, 570.20, 199.68, 230.02
1455264, 1.15, 499.32, 572.20, 201.90, 232.56
1471263, 1.14, 499.52, 570.42, 204.12, 235.10
1487263, 1.14, 499.20, 570.07, 206.33, 237.64
1503264, 1.14, 499.52, 570.42, 208.55, 240.17
1519263, 1.14, 499.32, 570.18, 210.77, 242.71
1535264, 1.15, 499.52, 572.40, 212.99, 245.25
1551263, 1.14, 499.40, 570.28, 215.21, 247.78
1567263, 1.14, 499.72, 570.65, 217.43, 250.32
1583263, 1.15, 499.60, 572.53, 219.65, 252.86
1599263, 1.14, 499.40, 570.28, 221.87, 255.40
1615263, 1.14, 499.32, 570.19, 224.09, 257.94
1631264, 1.14, 499.40, 570.29, 226.31, 260.48
1647264, 1.15, 499.32, 572.19, 228.53, 263.01
1663263, 1.15, 499.32, 572.19, 230.75, 265.55
1679263, 1.14, 499.32, 570.19, 232.97, 268.09
1695263, 1.14, 499.20, 570.05, 235.19, 270.62
1711263, 1.14, 499.40, 570.27, 237.41, 273.16
1727263, 1.14, 499.12, 569.96, 239.63, 275.70
1743264, 1.15, 499.40, 572.29, 241.85, 278.23
1759264, 1.14, 499.32, 570.19, 244.07, 280.77
1775263, 1.14, 499.32, 570.19, 246.29, 283.31
1791263, 1.14, 499.32, 570.20, 248.51, 285.85
1807263, 1.14, 499.12, 569.96, 250.73, 288.38
1823263, 1.14, 499.20, 570.03, 252.94, 290.92
1839263, 1.14, 499.52, 570.42, 255.16, 293.46
1855263, 1.15, 499.32, 572.19, 257.38, 296.00
1871263, 1.14, 499.32, 570.18, 259.60, 298.53
1887263, 1.14, 499.40, 570.28, 261.82, 301.07
1903263, 1.15, 499.20, 572.04, 264.04, 303.61
1919263, 1.14, 499.20, 570.05, 266.26, 306.15
1935263, 1.14, 499.52, 570.43, 268.48, 308.68
1951263, 1.14, 499.20, 570.05, 270.70, 311.22
1967264, 1.14, 499.40, 570.28, 272.92, 313.76
1983263, 1.15, 499.32, 572.19, 275.14, 316.29
1999264, 1.14, 499.20, 570.06, 277.36, 318.83
2015263, 1.15, 499.00, 571.81, 279.58, 321.37
2031264, 1.14, 499.40, 570.27, 281.80, 323.91
2047263, 1.15, 499.40, 572.28, 284.01, 326.44
2063263, 1.15, 500.92, 574.08, 286.24, 328.99
2079263, 1.14, 500.72, 571.86, 288.46, 331.53
2095263, 1.14, 501.00, 572.19, 290.69, 334.07
2111263, 1.15, 498.92, 571.72, 292.91, 336.62
2127264, 1.14, 499.40, 570.28, 295.13, 339.15
2143264, 1.15, 499.20, 572.06, 297.35, 341.69
2159264, 1.15, 499.52, 572.42, 299.57, 344.23
2175263, 1.14, 499.20, 570.05, 301.79, 346.77
2191263, 1.14, 499.40, 570.28, 304.01, 349.31
2207263, 1.15, 500.72, 573.86, 306.23, 351.85
2223264, 1.14, 499.32, 570.19, 308.45, 354.39
2239263, 1.15, 499.32, 572.20, 310.67, 356.92
2255264, 1.15, 499.40, 572.26, 312.89, 359.46
2271263, 1.14, 499.32, 570.20, 315.11, 362.00
2287263, 1.15, 499.32, 572.19, 317.33, 364.54
2303263, 1.14, 499.32, 570.18, 319.54, 367.08
2319263, 1.15, 499.32, 572.19, 321.76, 369.62
2335263, 1.14, 499.52, 570.43, 323.98, 372.16
2351263, 1.14, 499.12, 569.96, 326.20, 374.69
2367263, 1.14, 499.20, 570.05, 328.42, 377.23
2383264, 1.15, 499.40, 572.27, 330.64, 379.77
2399263, 1.14, 499.52, 570.42, 332.86, 382.31
2415263, 1.14, 499.40, 570.28, 335.08, 384.85
2431263, 1.15, 499.12, 571.95, 337.30, 387.39
2447263, 1.14, 499.40, 570.27, 339.52, 389.93
2463263, 1.15, 500.80, 573.95, 341.74, 392.47
2479263, 1.15, 499.52, 572.42, 343.96, 395.01
2495263, 1.15, 499.32, 572.19, 346.18, 397.55
2511263, 1.15, 499.40, 572.28, 348.40, 400.09
2527263, 1.15, 499.40, 572.27, 350.62, 402.63
2543263, 1.14, 499.40, 570.29, 352.84, 405.17
2559264, 1.15, 499.32, 572.19, 355.06, 407.72
2575263, 1.14, 499.60, 570.52, 357.28, 410.26
2591263, 1.14, 499.40, 570.28, 359.50, 412.80
2607263, 1.14, 499.52, 570.43, 361.72, 415.34
2623263, 1.15, 499.60, 572.52, 363.94, 417.88
2639263, 1.15, 499.32, 572.18, 366.16, 420.42
2655263, 1.15, 499.32, 572.19, 368.38, 422.96
2671263, 1.14, 499.52, 570.42, 370.60, 425.50
2687264, 1.15, 499.52, 572.41, 372.82, 428.04
2703263, 1.15, 499.52, 572.42, 375.03, 430.58
2719264, 1.14, 499.40, 570.30, 377.25, 433.13
2735263, 1.14, 499.60, 570.52, 379.47, 435.67
2751263, 1.14, 499.60, 570.52, 381.69, 438.21
2767263, 1.15, 499.32, 572.20, 383.91, 440.75
2783263, 1.15, 499.60, 572.52, 386.13, 443.29
2799264, 1.14, 499.60, 570.51, 388.35, 445.84
2815263, 1.15, 499.52, 572.44, 390.57, 448.38
2831263, 1.14, 499.40, 570.29, 392.79, 450.92
2847263, 1.14, 499.20, 570.06, 395.01, 453.46
2863263, 1.15, 499.52, 572.41, 397.23, 456.00
2879263, 1.15, 499.40, 572.28, 399.45, 458.55
2895263, 1.15, 499.60, 572.51, 401.67, 461.09
2911264, 1.15, 499.40, 572.30, 403.89, 463.63
2927263, 1.15, 499.52, 572.42, 406.11, 466.17
2943263, 1.15, 499.32, 572.19, 408.33, 468.72
2959263, 1.15, 499.72, 572.64, 410.55, 471.26
2975263, 1.15, 499.52, 572.41, 412.77, 473.80
2991263, 1.15, 499.52, 572.42, 414.99, 476.34
3007263, 1.15, 499.52, 572.43, 417.21, 478.88
3023263, 1.14, 499.32, 570.19, 419.43, 481.42
3039263, 1.15, 499.40, 572.27, 421.65, 483.97
3055264, 1.15, 499.52, 572.42, 423.87, 486.51
3071264, 1.14, 499.40, 570.29, 426.09, 489.05
3087264, 1.15, 499.32, 572.21, 428.31, 491.59
3103263, 1.15, 499.32, 572.19, 430.53, 494.13
3119264, 1.15, 499.40, 572.29, 432.75, 496.68
3135263, 1.15, 499.60, 572.52, 434.97, 499.22
3151263, 1.15, 499.60, 572.52, 437.19, 501.76
3167263, 1.14, 499.72, 570.65, 439.41, 504.31
3183264, 1.14, 499.40, 570.27, 441.63, 506.85
3199264, 1.15, 499.20, 572.06, 443.84, 509.39
3215263, 1.15, 499.12, 573.94, 446.06, 511.93
3231263, 1.15, 499.40, 572.29, 448.28, 514.47
3247263, 1.15, 499.20, 572.04, 450.50, 517.01
3263263, 1.15, 499.40, 572.28, 452.72, 519.56
3279263, 1.15, 499.52, 572.42, 454.94, 522.10
3295263, 1.15, 499.72, 572.64, 457.16, 524.64
3311263, 1.15, 499.40, 572.28, 459.38, 527.19
3327264, 1.15, 499.60, 572.53, 461.60, 529.73
3343263, 1.15, 499.40, 574.29, 463.82, 532.27
3359263, 1.15, 499.40, 572.29, 466.04, 534.81
3375263, 1.14, 499.00, 569.82, 468.26, 537.36
3391264, 1.15, 499.20, 572.06, 470.48, 539.90
3407264, 1.15, 498.92, 571.73, 472.70, 542.44
3423263, 1.14, 499.32, 570.19, 474.92, 544.98
3439263, 1.15, 499.32, 574.18, 477.14, 547.53
3455264, 1.15, 499.40, 572.29, 479.36, 550.07
3471264, 1.15, 499.40, 572.28, 481.57, 552.61
3487263, 1.15, 499.60, 572.52, 483.79, 555.16
3503263, 1.15, 499.60, 572.50, 486.01, 557.70
3519263, 1.15, 499.60, 572.51, 488.23, 560.24
3535263, 1.15, 499.32, 572.20, 490.45, 562.79
3551263, 1.15, 499.40, 572.28, 492.67, 565.33
3567263, 1.15, 499.12, 571.97, 494.89, 567.87
3583264, 1.15, 499.40, 572.28, 497.11, 570.42
3599264, 1.15, 499.40, 572.28, 499.33, 572.96
3615263, 1.15, 499.60, 572.51, 501.55, 575.50
3631264, 1.15, 501.00, 574.18, 503.77, 578.05
3647263, 1.15, 499.60, 572.49, 505.99, 580.59
3663263, 1.15, 499.52, 572.42, 508.21, 583.14
3679263, 1.15, 499.60, 572.51, 510.43, 585.68
3695263, 1.15, 499.52, 572.42, 512.65, 588.22
3711263, 1.15, 499.20, 572.05, 514.87, 590.76
