millis,voltage,current,power,capacity,energy
0, 1.36, 500.80, 680.14, 0.00, 0.00
15285, 1.35, 499.52, 676.32, 2.12, 2.88
31286, 1.35, 499.52, 672.32, 4.34, 5.88
47285, 1.35, 499.32, 674.06, 6.56, 8.87
63285, 1.35, 499.20, 671.88, 8.78, 11.86
79285, 1.34, 499.52, 670.33, 11.00, 14.84
95285, 1.34, 499.40, 670.16, 13.22, 17.81
111285, 1.34, 499.40, 668.15, 15.44, 20.78
127286, 1.33, 499.40, 666.16, 17.66, 23.75
143285, 1.33, 499.40, 666.16, 19.88, 26.72
159285, 1.33, 499.40, 666.15, 22.10, 29.68
175286, 1.33, 499.52, 666.32, 24.32, 32.63
191286, 1.33, 499.32, 664.07, 26.54, 35.59
207285, 1.33, 499.80, 664.71, 28.76, 38.54
223285, 1.33, 499.32, 662.07, 30.98, 41.48
239286, 1.33, 499.40, 662.17, 33.20, 44.43
255285, 1.32, 499.60, 660.44, 35.41, 47.37
271285, 1.32, 499.40, 660.18, 37.63, 50.30
287286, 1.32, 499.32, 658.08, 39.85, 53.23
303286, 1.32, 499.60, 658.43, 42.07, 56.16
319285, 1.32, 499.60, 658.44, 44.29, 59.08
335285, 1.31, 499.52, 656.34, 46.51, 62.00
351286, 1.31, 499.32, 656.07, 48.73, 64.92
367285, 1.31, 499.12, 653.82, 50.95, 67.84
383286, 1.31, 500.80, 656.09, 53.17, 70.75
399285, 1.31, 499.52, 654.34, 55.39, 73.66
415285, 1.31, 499.52, 654.35, 57.61, 76.56
431285, 1.31, 498.80, 653.40, 59.83, 79.46
447286, 1.31, 499.52, 652.32, 62.05, 82.36
463286, 1.30, 499.12, 649.81, 64.27, 85.26
479285, 1.31, 499.32, 652.07, 66.49, 88.15
495286, 1.30, 499.40, 650.18, 68.71, 91.05
511286, 1.30, 499.12, 649.82, 70.93, 93.94
527285, 1.30, 499.40, 648.19, 73.15, 96.82
543285, 1.30, 499.52, 648.35, 75.37, 99.71
559286, 1.29, 499.32, 646.10, 77.59, 102.59
575286, 1.30, 500.72, 649.96, 79.82, 105.48
591285, 1.30, 500.72, 649.97, 82.04, 108.37
607286, 1.30, 499.72, 648.60, 84.26, 111.25
623285, 1.29, 499.40, 646.19, 86.48, 114.12
639285, 1.29, 499.40, 646.19, 88.70, 116.99
655285, 1.29, 499.32, 646.09, 90.92, 119.86
671286, 1.29, 499.40, 644.20, 93.14, 122.73
687285, 1.29, 499.60, 646.46, 95.36, 125.60
703285, 1.29, 499.60, 646.46, 97.58, 128.47
719286, 1.29, 499.40, 644.20, 99.80, 131.33
735285, 1.29, 499.40, 644.20, 102.02, 134.19
751286, 1.29, 499.12, 643.82, 104.24, 137.05
767286, 1.29, 499.32, 642.10, 106.46, 139.91
