millis,voltage,current,power,capacity,energy
0, 1.26, 126.90, 160.49, 0.00, 0.00
15812, 1.26, 126.70, 159.22, 0.56, 0.70
31812, 1.25, 126.50, 158.46, 1.12, 1.41
47812, 1.25, 126.40, 158.33, 1.68, 2.11
63812, 1.25, 126.30, 158.21, 2.24, 2.82
79812, 1.25, 126.10, 157.95, 2.80, 3.52
95812, 1.25, 126.00, 157.83, 3.36, 4.22
111811, 1.25, 125.90, 157.20, 3.92, 4.92
127812, 1.25, 125.80, 157.07, 4.48, 5.62
143812, 1.25, 125.70, 156.95, 5.04, 6.32
159812, 1.25, 125.50, 156.69, 5.60, 7.01
175812, 1.24, 125.40, 156.07, 6.16, 7.71
191812, 1.24, 125.30, 155.94, 6.72, 8.40
207812, 1.24, 125.20, 155.82, 7.27, 9.09
223811, 1.24, 125.10, 155.19, 7.83, 9.78
239812, 1.24, 125.00, 155.06, 8.38, 10.47
255812, 1.24, 124.90, 154.94, 8.94, 11.16
271811, 1.24, 124.80, 154.81, 9.49, 11.85
287812, 1.24, 124.70, 154.19, 10.05, 12.54
303812, 1.24, 124.70, 154.19, 10.60, 13.22
319812, 1.24, 124.60, 154.06, 11.16, 13.91
335811, 1.24, 124.50, 153.94, 11.71, 14.59
351812, 1.23, 124.40, 153.32, 12.26, 15.28
367812, 1.24, 124.40, 153.81, 12.82, 15.96
383812, 1.23, 124.30, 153.19, 13.37, 16.64
399812, 1.23, 124.20, 153.07, 13.92, 17.32
415812, 1.23, 124.20, 153.07, 14.47, 18.00
431812, 1.23, 124.10, 152.94, 15.03, 18.68
447812, 1.23, 124.00, 152.32, 15.58, 19.36
463812, 1.23, 123.90, 152.20, 16.13, 20.04
479812, 1.23, 123.90, 152.20, 16.68, 20.71
495812, 1.23, 123.80, 152.07, 17.23, 21.39
511812, 1.23, 123.80, 152.07, 17.78, 22.07
527812, 1.23, 123.80, 152.07, 18.33, 22.74
543812, 1.23, 123.70, 151.95, 18.88, 23.42
559811, 1.23, 123.70, 151.95, 19.43, 24.09
575812, 1.22, 123.60, 151.33, 19.98, 24.77
591812, 1.22, 123.60, 151.33, 20.53, 25.44
607812, 1.22, 123.50, 151.21, 21.08, 26.11
623812, 1.22, 123.50, 151.21, 21.63, 26.79
639812, 1.22, 123.50, 151.21, 22.18, 27.46
655812, 1.22, 123.40, 151.08, 22.72, 28.13
671812, 1.22, 123.40, 151.08, 23.27, 28.80
687812, 1.22, 123.30, 150.96, 23.82, 29.47
703812, 1.22, 123.30, 150.96, 24.37, 30.14
719812, 1.22, 123.30, 150.96, 24.92, 30.81
735812, 1.22, 123.20, 150.84, 25.46, 31.48
751812, 1.22, 123.20, 150.34, 26.01, 32.15
767812, 1.22, 123.10, 150.22, 26.56, 32.82
783811, 1.22, 123.10, 150.22, 27.11, 33.49
799811, 1.22, 123.10, 150.22, 27.65, 34.16
815812, 1.22, 123.10, 150.22, 28.20, 34.82
831812, 1.22, 123.00, 150.10, 28.75, 35.49
847811, 1.22, 123.00, 150.10, 29.29, 36.16
863812, 1.22, 122.90, 149.97, 29.84, 36.83
879812, 1.22, 122.90, 149.97, 30.39, 37.49
895812, 1.22, 122.90, 149.97, 30.93, 38.16
911812, 1.22, 122.90, 149.97, 31.48, 38.82
927812, 1.22, 122.90, 149.97, 32.02, 39.49
943812, 1.22, 122.80, 149.36, 32.57, 40.16
959812, 1.22, 122.80, 149.36, 33.12, 40.82
975812, 1.22, 122.80, 149.36, 33.66, 41.49
991812, 1.22, 122.70, 149.24, 34.21, 42.15
