millis,voltage,current,power,capacity,energy
0, 1.24, 247.10, 307.57, 0.00, 0.00
15273, 1.24, 246.80, 306.20, 1.05, 1.30
31273, 1.24, 246.50, 305.82, 2.14, 2.66
47273, 1.24, 246.30, 305.56, 3.24, 4.02
63273, 1.24, 246.00, 304.20, 4.33, 5.37
79273, 1.24, 245.70, 303.83, 5.42, 6.73
95273, 1.23, 245.50, 302.59, 6.52, 8.07
111273, 1.24, 245.30, 303.32, 7.61, 9.42
127273, 1.23, 245.10, 302.09, 8.70, 10.77
143273, 1.23, 245.00, 301.96, 9.79, 12.11
159273, 1.23, 244.80, 301.71, 10.87, 13.45
175273, 1.23, 244.60, 301.46, 11.96, 14.79
191273, 1.23, 244.40, 300.23, 13.05, 16.13
207273, 1.23, 244.30, 300.11, 14.13, 17.46
223273, 1.23, 244.10, 299.85, 15.22, 18.79
239273, 1.23, 243.90, 299.60, 16.30, 20.12
255273, 1.22, 243.70, 298.38, 17.39, 21.46
271273, 1.22, 243.60, 298.25, 18.47, 22.78
287273, 1.22, 243.50, 298.13, 19.55, 24.11
303273, 1.22, 243.30, 297.88, 20.63, 25.43
319273, 1.22, 243.20, 297.75, 21.72, 26.76
335273, 1.22, 243.10, 297.63, 22.80, 28.08
351273, 1.22, 243.00, 296.53, 23.88, 29.40
367273, 1.22, 242.80, 296.28, 24.96, 30.72
383272, 1.22, 242.70, 296.16, 26.03, 32.03
399272, 1.22, 242.60, 296.04, 27.11, 33.35
415273, 1.22, 242.50, 295.91, 28.19, 34.67
431273, 1.22, 242.40, 295.79, 29.27, 35.98
447273, 1.22, 242.20, 294.57, 30.35, 37.29
463273, 1.22, 242.20, 294.57, 31.42, 38.61
479273, 1.22, 242.00, 294.32, 32.50, 39.92
495272, 1.22, 242.00, 294.32, 33.57, 41.22
511273, 1.22, 241.90, 294.20, 34.65, 42.53
527273, 1.22, 241.80, 294.07, 35.72, 43.84
543273, 1.22, 241.70, 293.95, 36.80, 45.15
559273, 1.22, 241.60, 293.82, 37.87, 46.45
575273, 1.22, 241.50, 293.70, 38.95, 47.76
591273, 1.21, 241.40, 292.61, 40.02, 49.06
607273, 1.21, 241.40, 292.61, 41.09, 50.36
623273, 1.21, 241.30, 292.49, 42.17, 51.66
639273, 1.21, 241.20, 292.36, 43.24, 52.96
655273, 1.21, 241.10, 292.24, 44.31, 54.26
671273, 1.21, 241.00, 292.12, 45.38, 55.56
687273, 1.21, 241.00, 292.11, 46.45, 56.86
703272, 1.21, 240.90, 291.99, 47.52, 58.16
719272, 1.21, 240.90, 291.99, 48.59, 59.46
735273, 1.21, 240.70, 291.75, 49.66, 60.75
751273, 1.21, 240.70, 291.75, 50.73, 62.05
767273, 1.21, 240.60, 291.62, 51.80, 63.34
783273, 1.21, 240.60, 291.62, 52.87, 64.64
799273, 1.21, 240.50, 290.54, 53.94, 65.93
815273, 1.21, 240.40, 290.41, 55.01, 67.22
831273, 1.21, 240.40, 290.41, 56.08, 68.51
847273, 1.21, 240.30, 290.29, 57.15, 69.80
863273, 1.21, 240.30, 290.29, 58.21, 71.09
879273, 1.21, 240.20, 290.17, 59.28, 72.38
895273, 1.21, 240.20, 290.17, 60.35, 73.67
911273, 1.21, 240.20, 290.16, 61.42, 74.96
927273, 1.21, 240.10, 290.04, 62.48, 76.25
943272, 1.21, 240.00, 289.92, 63.55, 77.54
959273, 1.21, 240.00, 289.92, 64.62, 78.83
975273, 1.21, 240.00, 289.92, 65.68, 80.11
991273, 1.21, 239.90, 289.80, 66.75, 81.40
1007272, 1.21, 239.90, 289.80, 67.82, 82.68
1023273, 1.20, 239.80, 288.71, 68.88, 83.97
1039273, 1.20, 239.80, 288.71, 69.95, 85.25
1055273, 1.20, 239.70, 288.59, 71.01, 86.54
1071273, 1.20, 239.70, 288.59, 72.08, 87.82
1087273, 1.20, 239.60, 288.47, 73.14, 89.10
1103273, 1.20, 239.60, 288.47, 74.21, 90.39
1119273, 1.20, 239.50, 288.35, 75.27, 91.67
1135273, 1.20, 239.50, 288.35, 76.34, 92.95
1151273, 1.20, 239.50, 288.35, 77.40, 94.23
1167273, 1.20, 239.50, 288.35, 78.47, 95.51
1183272, 1.20, 239.40, 288.22, 79.53, 96.79
1199273, 1.20, 239.40, 288.22, 80.60, 98.08
1215273, 1.20, 239.30, 288.10, 81.66, 99.36
1231273, 1.20, 239.30, 288.10, 82.72, 100.64
1247273, 1.20, 239.30, 288.10, 83.79, 101.92
1263272, 1.20, 239.20, 287.98, 84.85, 103.20
1279273, 1.20, 239.20, 287.02, 85.91, 104.48
1295273, 1.20, 239.20, 287.98, 86.98, 105.76
1311272, 1.20, 239.20, 287.02, 88.04, 107.03
1327273, 1.20, 239.20, 287.02, 89.10, 108.31
1343273, 1.20, 239.10, 287.85, 90.17, 109.59
1359273, 1.20, 239.10, 286.90, 91.23, 110.87
1375272, 1.20, 239.10, 287.85, 92.29, 112.15
1391273, 1.20, 239.00, 287.73, 93.35, 113.42
1407273, 1.20, 239.00, 286.78, 94.42, 114.70
1423273, 1.20, 239.00, 286.78, 95.48, 115.98
1439273, 1.20, 238.90, 287.61, 96.54, 117.25
1455273, 1.20, 238.90, 286.65, 97.60, 118.53
1471273, 1.20, 238.90, 286.65, 98.66, 119.80
1487273, 1.20, 238.90, 287.61, 99.73, 121.08
1503273, 1.20, 238.90, 286.65, 100.79, 122.35
1519273, 1.20, 238.90, 287.61, 101.85, 123.63
1535273, 1.20, 238.80, 286.53, 102.91, 124.90
1551273, 1.20, 238.90, 286.65, 103.97, 126.18
1567272, 1.20, 238.80, 286.53, 105.03, 127.45
1583273, 1.20, 238.70, 287.36, 106.09, 128.72
1599273, 1.20, 238.70, 286.41, 107.16, 130.00
1615273, 1.20, 238.70, 286.41, 108.22, 131.27
1631273, 1.20, 238.80, 286.53, 109.28, 132.54
1647273, 1.20, 238.70, 286.41, 110.34, 133.82
1663273, 1.20, 238.70, 286.41, 111.40, 135.09
1679273, 1.20, 238.70, 286.41, 112.46, 136.36
1695273, 1.20, 238.70, 286.41, 113.52, 137.64
1711272, 1.20, 238.70, 286.41, 114.58, 138.91
1727273, 1.20, 238.60, 286.29, 115.64, 140.18
1743273, 1.20, 238.60, 286.29, 116.70, 141.45
1759272, 1.20, 238.60, 286.29, 117.76, 142.73
1775273, 1.20, 238.60, 286.28, 118.82, 144.00
1791273, 1.20, 238.60, 286.29, 119.88, 145.27
1807273, 1.20, 238.50, 286.16, 120.94, 146.54
1823273, 1.20, 238.60, 286.29, 122.00, 147.81
1839273, 1.20, 238.50, 286.16, 123.06, 149.09
1855273, 1.20, 238.50, 286.16, 124.12, 150.36
1871273, 1.20, 238.50, 286.16, 125.18, 151.63
1887273, 1.20, 238.50, 286.16, 126.24, 152.90
1903273, 1.20, 238.50, 286.16, 127.30, 154.17
1919272, 1.20, 238.50, 286.16, 128.36, 155.44
1935273, 1.20, 238.50, 286.16, 129.42, 156.71
1951273, 1.20, 238.50, 286.16, 130.48, 157.99
1967273, 1.20, 238.50, 286.16, 131.54, 159.26
1983272, 1.20, 238.40, 286.04, 132.60, 160.53
1999273, 1.20, 238.40, 285.09, 133.66, 161.80
2015272, 1.20, 238.40, 286.04, 134.72, 163.07
2031272, 1.20, 238.40, 286.04, 135.78, 164.34
2047273, 1.20, 238.40, 286.04, 136.84, 165.61
2063273, 1.20, 238.40, 286.04, 137.90, 166.88
2079273, 1.20, 238.40, 286.04, 138.96, 168.15
2095273, 1.20, 238.40, 286.04, 140.02, 169.42
2111273, 1.20, 238.40, 286.04, 141.08, 170.69
2127273, 1.20, 238.30, 285.92, 142.14, 171.96
2143273, 1.20, 238.40, 286.04, 143.20, 173.23
2159273, 1.20, 238.40, 286.04, 144.26, 174.50
2175273, 1.20, 238.30, 285.92, 145.32, 175.77
2191273, 1.20, 238.40, 286.04, 146.38, 177.04
2207273, 1.20, 238.30, 285.92, 147.44, 178.31
2223273, 1.20, 238.30, 285.92, 148.50, 179.58
2239273, 1.20, 238.30, 284.97, 149.55, 180.85
2255273, 1.20, 238.30, 285.92, 150.61, 182.12
2271273, 1.20, 238.30, 284.97, 151.67, 183.39
2287273, 1.20, 238.30, 285.92, 152.73, 184.66
2303273, 1.20, 238.30, 285.92, 153.79, 185.93
2319273, 1.20, 238.30, 284.97, 154.85, 187.19
2335273, 1.20, 238.30, 285.92, 155.91, 188.46
2351272, 1.20, 238.30, 285.92, 156.97, 189.73
2367273, 1.20, 238.20, 284.85, 158.03, 191.00
2383272, 1.20, 238.20, 285.80, 159.09, 192.27
2399273, 1.20, 238.30, 285.92, 160.14, 193.54
2415272, 1.20, 238.30, 285.92, 161.20, 194.81
2431273, 1.20, 238.20, 284.84, 162.26, 196.08
2447273, 1.20, 238.20, 284.85, 163.32, 197.35
2463273, 1.20, 238.30, 285.92, 164.38, 198.61
2479272, 1.20, 238.30, 284.96, 165.44, 199.88
2495272, 1.20, 238.30, 285.92, 166.50, 201.15
2511273, 1.20, 238.20, 284.85, 167.56, 202.42
2527273, 1.20, 238.20, 285.80, 168.61, 203.68
2543273, 1.20, 238.20, 284.84, 169.67, 204.95
2559273, 1.20, 238.20, 285.80, 170.73, 206.22
2575272, 1.20, 238.20, 284.84, 171.79, 207.49
2591273, 1.20, 238.20, 285.80, 172.85, 208.76
2607273, 1.20, 238.20, 285.80, 173.91, 210.02
2623273, 1.20, 238.20, 285.80, 174.97, 211.29
2639273, 1.20, 238.20, 284.84, 176.03, 212.56
2655273, 1.20, 238.20, 284.84, 177.08, 213.82
2671273, 1.20, 238.20, 285.80, 178.14, 215.09
2687273, 1.20, 238.20, 284.84, 179.20, 216.36
2703273, 1.20, 238.20, 284.84, 180.26, 217.63
2719273, 1.20, 238.10, 285.68, 181.32, 218.90
2735273, 1.20, 238.20, 284.84, 182.38, 220.16
2751273, 1.20, 238.20, 284.84, 183.44, 221.43
2767273, 1.20, 238.20, 284.84, 184.49, 222.70
2783273, 1.20, 238.20, 284.84, 185.55, 223.96
2799273, 1.20, 238.20, 284.84, 186.61, 225.23
2815273, 1.20, 238.20, 284.84, 187.67, 226.50
2831273, 1.20, 238.20, 285.80, 188.73, 227.77
2847273, 1.20, 238.20, 284.84, 189.79, 229.03
2863273, 1.20, 238.20, 284.84, 190.85, 230.30
2879272, 1.20, 238.10, 284.72, 191.90, 231.57
2895273, 1.20, 238.20, 284.84, 192.96, 232.83
2911273, 1.20, 238.20, 284.84, 194.02, 234.10
2927273, 1.20, 238.20, 284.84, 195.08, 235.37
2943273, 1.20, 238.10, 285.68, 196.14, 236.63
2959273, 1.20, 238.20, 285.80, 197.20, 237.90
2975272, 1.20, 238.10, 285.67, 198.25, 239.17
2991273, 1.20, 238.20, 284.84, 199.31, 240.43
3007273, 1.20, 238.20, 285.79, 200.37, 241.70
3023273, 1.20, 238.20, 284.84, 201.43, 242.97
3039273, 1.20, 238.10, 284.72, 202.49, 244.23
3055273, 1.20, 238.10, 285.67, 203.55, 245.50
3071273, 1.20, 238.10, 284.72, 204.61, 246.77
3087273, 1.20, 238.20, 285.79, 205.66, 248.04
3103273, 1.20, 238.10, 284.72, 206.72, 249.30
3119273, 1.20, 238.10, 284.72, 207.78, 250.57
3135273, 1.20, 238.20, 284.84, 208.84, 251.83
3151273, 1.20, 238.10, 284.72, 209.90, 253.10
3167273, 1.20, 238.10, 284.72, 210.96, 254.37
3183272, 1.20, 238.20, 284.84, 212.01, 255.63
3199273, 1.20, 238.10, 284.72, 213.07, 256.90
3215273, 1.20, 238.20, 284.84, 214.13, 258.17
3231273, 1.20, 238.10, 284.72, 215.19, 259.44
3247273, 1.20, 238.10, 284.72, 216.25, 260.70
3263273, 1.20, 238.20, 284.84, 217.31, 261.97
3279273, 1.20, 238.20, 284.84, 218.36, 263.24
3295273, 1.20, 238.10, 285.68, 219.42, 264.50
3311273, 1.20, 238.20, 284.84, 220.48, 265.77
3327273, 1.20, 238.20, 284.84, 221.54, 267.04
3343273, 1.20, 238.20, 284.84, 222.60, 268.30
3359273, 1.20, 238.20, 284.84, 223.66, 269.57
3375273, 1.20, 238.10, 284.72, 224.72, 270.84
3391273, 1.20, 238.20, 284.84, 225.77, 272.10
3407273, 1.20, 238.20, 285.80, 226.83, 273.37
3423273, 1.20, 238.20, 284.84, 227.89, 274.64
3439272, 1.20, 238.20, 285.79, 228.95, 275.91
3455273, 1.20, 238.10, 284.72, 230.01, 277.17
3471273, 1.20, 238.20, 285.79, 231.07, 278.44
3487273, 1.20, 238.10, 284.72, 232.12, 279.71
3503273, 1.20, 238.20, 284.84, 233.18, 280.97
3519273, 1.20, 238.20, 284.84, 234.24, 282.24
3535273, 1.20, 238.20, 284.84, 235.30, 283.51
3551273, 1.20, 238.20, 284.84, 236.36, 284.77
3567273, 1.20, 238.20, 284.84, 237.42, 286.04
3583273, 1.20, 238.20, 284.84, 238.48, 287.31
3599273, 1.20, 238.20, 284.84, 239.53, 288.57
3615273, 1.20, 238.20, 285.80, 240.59, 289.84
3631273, 1.20, 238.20, 284.84, 241.65, 291.11
3647273, 1.20, 238.20, 284.84, 242.71, 292.38
3663273, 1.20, 238.20, 285.80, 243.77, 293.65
3679273, 1.20, 238.20, 284.84, 244.83, 294.91
3695273, 1.20, 238.20, 285.80, 245.89, 296.18
3711273, 1.20, 238.20, 284.84, 246.94, 297.45
3727273, 1.20, 238.20, 285.80, 248.00, 298.71
3743273, 1.20, 238.20, 284.84, 249.06, 299.98
3759273, 1.20, 238.20, 284.84, 250.12, 301.25
3775272, 1.20, 238.20, 284.84, 251.18, 302.52
3791273, 1.20, 238.20, 284.84, 252.24, 303.78
3807273, 1.20, 238.20, 284.84, 253.30, 305.05
3823273, 1.20, 238.20, 284.84, 254.36, 306.32
3839273, 1.20, 238.20, 284.84, 255.41, 307.58
3855273, 1.20, 238.20, 285.80, 256.47, 308.85
3871273, 1.20, 238.20, 284.84, 257.53, 310.12
3887273, 1.20, 238.20, 284.84, 258.59, 311.39
3903273, 1.20, 238.20, 284.84, 259.65, 312.66
3919273, 1.20, 238.20, 284.84, 260.71, 313.92
3935273, 1.20, 238.20, 284.84, 261.77, 315.19
3951273, 1.20, 238.20, 284.84, 262.82, 316.46
3967273, 1.20, 238.20, 284.84, 263.88, 317.73
3983273, 1.20, 238.30, 284.96, 264.94, 318.99
3999273, 1.20, 238.20, 285.80, 266.00, 320.26
4015273, 1.20, 238.20, 285.80, 267.06, 321.53
4031273, 1.20, 238.20, 284.84, 268.12, 322.80
4047273, 1.20, 238.20, 284.85, 269.18, 324.07
4063273, 1.20, 238.20, 284.84, 270.24, 325.33
4079273, 1.20, 238.20, 284.84, 271.29, 326.60
4095272, 1.20, 238.20, 284.84, 272.35, 327.87
4111273, 1.20, 238.30, 285.92, 273.41, 329.14
4127273, 1.20, 238.30, 284.96, 274.47, 330.41
4143273, 1.20, 238.20, 284.85, 275.53, 331.68
4159273, 1.20, 238.30, 285.92, 276.59, 332.94
4175273, 1.20, 238.20, 284.84, 277.65, 334.21
4191273, 1.20, 238.30, 285.92, 278.71, 335.48
