millis,voltage,current,power,capacity,energy
0, 1.32, 186.20, 246.27, 0.00, 0.00
15122, 1.32, 184.80, 243.65, 0.78, 1.02
31123, 1.32, 184.80, 243.66, 1.60, 2.11
47123, 1.31, 184.80, 242.91, 2.42, 3.19
63123, 1.31, 184.80, 242.18, 3.24, 4.26
79122, 1.31, 184.80, 241.44, 4.06, 5.34
95122, 1.31, 184.80, 241.44, 4.88, 6.41
111122, 1.31, 184.70, 241.31, 5.70, 7.49
127122, 1.30, 184.70, 240.57, 6.52, 8.56
143122, 1.30, 184.70, 240.57, 7.34, 9.63
159122, 1.30, 184.80, 239.96, 8.17, 10.69
175122, 1.30, 184.80, 239.96, 8.99, 11.76
191123, 1.30, 184.70, 239.83, 9.81, 12.83
207122, 1.30, 184.80, 239.96, 10.63, 13.89
223122, 1.29, 184.70, 239.09, 11.45, 14.96
239122, 1.29, 184.70, 239.09, 12.27, 16.02
255122, 1.29, 184.70, 238.35, 13.09, 17.08
271122, 1.29, 184.80, 239.22, 13.91, 18.14
287122, 1.29, 184.70, 238.35, 14.73, 19.20
303122, 1.29, 184.70, 237.61, 15.56, 20.26
319122, 1.29, 184.70, 238.35, 16.38, 21.32
335122, 1.29, 184.70, 237.61, 17.20, 22.37
351122, 1.29, 184.70, 237.61, 18.02, 23.43
367123, 1.29, 184.70, 237.61, 18.84, 24.49
383122, 1.28, 184.70, 236.87, 19.66, 25.54
399122, 1.28, 184.70, 236.87, 20.48, 26.59
415123, 1.28, 184.80, 237.00, 21.30, 27.65
431122, 1.28, 184.70, 236.87, 22.12, 28.70
447122, 1.28, 184.80, 237.00, 22.94, 29.75
463122, 1.28, 184.70, 236.87, 23.77, 30.80
479122, 1.28, 184.80, 236.26, 24.59, 31.85
495122, 1.28, 184.70, 236.14, 25.41, 32.90
511122, 1.28, 184.70, 236.14, 26.23, 33.95
527122, 1.27, 184.70, 235.39, 27.05, 35.00
543122, 1.27, 184.70, 235.39, 27.87, 36.05
559122, 1.27, 184.70, 235.39, 28.69, 37.09
575122, 1.27, 184.70, 235.39, 29.51, 38.14
591122, 1.27, 184.70, 235.39, 30.33, 39.19
607122, 1.27, 184.60, 235.27, 31.15, 40.23
623122, 1.27, 184.70, 235.39, 31.97, 41.28
639122, 1.27, 184.70, 235.40, 32.80, 42.32
655123, 1.27, 184.80, 234.78, 33.62, 43.37
671122, 1.27, 184.70, 234.66, 34.44, 44.41
687122, 1.27, 184.80, 234.78, 35.26, 45.45
703122, 1.27, 184.70, 234.66, 36.08, 46.49
719122, 1.27, 184.70, 233.92, 36.90, 47.54
735122, 1.27, 184.90, 234.17, 37.72, 48.58
751122, 1.27, 184.70, 233.92, 38.54, 49.62
767123, 1.27, 184.70, 233.92, 39.36, 50.66
783122, 1.27, 184.70, 233.92, 40.18, 51.70
799123, 1.26, 184.70, 233.18, 41.01, 52.74
815123, 1.27, 184.80, 234.04, 41.83, 53.77
831122, 1.26, 184.80, 233.30, 42.65, 54.81
847122, 1.27, 184.80, 234.04, 43.47, 55.85
863122, 1.26, 184.80, 233.30, 44.29, 56.89
879122, 1.26, 184.80, 233.30, 45.11, 57.92
895122, 1.26, 184.70, 233.18, 45.93, 58.96
911123, 1.26, 184.80, 233.31, 46.75, 60.00
927122, 1.26, 184.70, 233.18, 47.57, 61.03
943122, 1.26, 184.70, 233.18, 48.39, 62.07
959122, 1.26, 184.70, 232.44, 49.22, 63.10
975122, 1.26, 184.80, 232.57, 50.04, 64.14
991122, 1.26, 184.70, 232.44, 50.86, 65.17
1007122, 1.26, 184.70, 232.44, 51.68, 66.20
1023122, 1.26, 184.70, 232.44, 52.50, 67.24
1039122, 1.26, 184.80, 232.57, 53.32, 68.27
1055122, 1.26, 184.70, 232.44, 54.14, 69.30
1071122, 1.26, 184.80, 232.57, 54.96, 70.34
1087123, 1.26, 184.70, 232.44, 55.78, 71.37
1103122, 1.25, 184.70, 231.70, 56.60, 72.40
1119123, 1.25, 184.60, 231.58, 57.43, 73.43
1135123, 1.25, 184.60, 231.58, 58.25, 74.46
1151123, 1.25, 184.70, 231.70, 59.07, 75.49
1167123, 1.25, 184.70, 231.70, 59.89, 76.52
1183122, 1.25, 184.70, 231.70, 60.71, 77.55
1199123, 1.25, 184.70, 231.70, 61.53, 78.58
1215123, 1.25, 184.70, 230.96, 62.35, 79.61
1231122, 1.25, 184.80, 231.09, 63.17, 80.64
1247123, 1.25, 184.80, 231.09, 63.99, 81.67
1263122, 1.25, 184.70, 230.96, 64.81, 82.69
1279122, 1.25, 184.90, 231.21, 65.64, 83.72
1295122, 1.25, 184.60, 230.84, 66.46, 84.75
1311122, 1.25, 184.70, 230.96, 67.28, 85.77
1327122, 1.25, 184.70, 230.22, 68.10, 86.80
1343122, 1.25, 184.70, 230.96, 68.92, 87.82
1359122, 1.25, 184.70, 230.22, 69.74, 88.85
1375122, 1.25, 184.70, 230.96, 70.56, 89.88
1391122, 1.25, 184.80, 231.09, 71.38, 90.90
1407122, 1.25, 184.70, 230.22, 72.20, 91.93
1423122, 1.25, 184.60, 230.10, 73.02, 92.95
1439122, 1.25, 184.70, 230.22, 73.84, 93.97
1455122, 1.25, 184.80, 230.35, 74.67, 95.00
1471122, 1.25, 184.70, 230.22, 75.49, 96.02
1487122, 1.25, 184.80, 230.35, 76.31, 97.05
1503122, 1.25, 184.70, 230.22, 77.13, 98.07
1519123, 1.24, 184.70, 229.48, 77.95, 99.09
1535122, 1.25, 184.70, 230.22, 78.77, 100.11
1551123, 1.25, 184.70, 230.22, 79.59, 101.14
1567123, 1.25, 184.70, 230.22, 80.41, 102.16
1583122, 1.25, 184.70, 230.22, 81.23, 103.18
