millis,voltage,current,power,capacity,energy
0, 1.24, 186.00, 231.12, 0.00, 0.00
15966, 1.24, 184.60, 228.62, 0.82, 1.02
31967, 1.23, 184.70, 228.01, 1.64, 2.03
47966, 1.23, 184.80, 228.13, 2.46, 3.05
63966, 1.23, 184.80, 228.13, 3.28, 4.06
79966, 1.23, 184.70, 227.27, 4.10, 5.07
95966, 1.23, 184.70, 227.27, 4.93, 6.08
111967, 1.23, 184.80, 226.65, 5.75, 7.09
127966, 1.22, 184.80, 225.91, 6.57, 8.10
143967, 1.22, 184.80, 225.91, 7.39, 9.10
159966, 1.22, 184.80, 225.91, 8.21, 10.10
175967, 1.22, 184.90, 225.30, 9.03, 11.11
191966, 1.22, 184.80, 225.18, 9.85, 12.11
207967, 1.22, 184.90, 225.30, 10.68, 13.11
223966, 1.22, 184.70, 225.05, 11.50, 14.11
239966, 1.21, 184.80, 224.43, 12.32, 15.11
255967, 1.21, 184.80, 224.43, 13.14, 16.11
271966, 1.21, 184.90, 224.56, 13.96, 17.10
287966, 1.21, 184.80, 223.70, 14.78, 18.10
303967, 1.21, 184.70, 223.58, 15.60, 19.09
319966, 1.21, 184.90, 223.82, 16.43, 20.09
335966, 1.21, 184.80, 223.70, 17.25, 21.08
351966, 1.21, 184.90, 223.08, 18.07, 22.08
367966, 1.21, 184.90, 223.08, 18.89, 23.07
383966, 1.21, 184.70, 222.84, 19.71, 24.06
399966, 1.21, 184.90, 223.08, 20.53, 25.05
415966, 1.20, 184.90, 222.34, 21.35, 26.04
431966, 1.21, 184.80, 222.96, 22.18, 27.03
447966, 1.20, 184.80, 222.22, 23.00, 28.02
463966, 1.20, 184.80, 222.22, 23.82, 29.01
479967, 1.20, 184.90, 222.34, 24.64, 29.99
495966, 1.20, 184.80, 222.22, 25.46, 30.98
511967, 1.20, 184.80, 222.22, 26.28, 31.97
527966, 1.20, 184.80, 222.22, 27.10, 32.96
543966, 1.20, 184.80, 221.48, 27.93, 33.94
559966, 1.20, 184.80, 221.48, 28.75, 34.93
575967, 1.20, 184.80, 221.48, 29.57, 35.91
591966, 1.20, 184.90, 221.60, 30.39, 36.90
607966, 1.19, 184.80, 220.74, 31.21, 37.88
623966, 1.20, 184.70, 221.36, 32.03, 38.86
639967, 1.20, 184.80, 221.48, 32.85, 39.85
655967, 1.20, 184.80, 221.48, 33.67, 40.83
671966, 1.19, 184.90, 220.86, 34.50, 41.81
687966, 1.19, 184.80, 220.74, 35.32, 42.80
703966, 1.19, 184.80, 220.74, 36.14, 43.78
719966, 1.19, 184.80, 220.74, 36.96, 44.76
735966, 1.19, 184.80, 220.74, 37.78, 45.74
751966, 1.19, 184.80, 220.74, 38.60, 46.72
767966, 1.19, 184.80, 220.74, 39.43, 47.70
783966, 1.19, 184.80, 220.74, 40.25, 48.68
799966, 1.19, 184.80, 220.74, 41.07, 49.67
815966, 1.19, 184.80, 220.74, 41.89, 50.65
831966, 1.19, 184.80, 220.74, 42.71, 51.63
847967, 1.19, 184.80, 220.00, 43.53, 52.61
863966, 1.19, 184.90, 220.86, 44.35, 53.59
879966, 1.19, 184.90, 220.12, 45.18, 54.57
895966, 1.19, 184.80, 220.74, 46.00, 55.55
911966, 1.19, 184.80, 220.74, 46.82, 56.53
927967, 1.19, 184.80, 220.00, 47.64, 57.51
943966, 1.19, 184.80, 220.74, 48.46, 58.49
959967, 1.19, 184.80, 220.74, 49.28, 59.47
975966, 1.19, 184.80, 220.74, 50.10, 60.45
991966, 1.19, 184.80, 220.74, 50.93, 61.43
1007966, 1.19, 184.80, 220.00, 51.75, 62.41
1023966, 1.19, 184.80, 220.74, 52.57, 63.39
1039966, 1.19, 184.80, 220.00, 53.39, 64.37
1055966, 1.19, 184.80, 220.74, 54.21, 65.34
1071966, 1.19, 184.80, 220.00, 55.03, 66.32
1087967, 1.19, 184.80, 220.00, 55.85, 67.30
1103966, 1.19, 184.80, 219.26, 56.68, 68.28
1119966, 1.19, 184.80, 219.26, 57.50, 69.25
1135966, 1.19, 184.80, 219.26, 58.32, 70.23
1151966, 1.19, 184.80, 219.26, 59.14, 71.20
1167967, 1.19, 184.80, 219.26, 59.96, 72.17
1183966, 1.19, 184.90, 219.38, 60.78, 73.15
1199966, 1.19, 184.80, 219.26, 61.60, 74.12
1215966, 1.19, 184.90, 219.38, 62.43, 75.10
1231966, 1.19, 184.80, 219.26, 63.25, 76.07
1247966, 1.19, 184.80, 219.26, 64.07, 77.05
