millis,voltage,current,power,capacity,energy
0, 1.39, 185.90, 259.25, 0.00, 0.00
15063, 1.39, 184.50, 256.54, 0.78, 1.08
31063, 1.39, 184.60, 255.94, 1.60, 2.22
47063, 1.38, 184.70, 255.34, 2.42, 3.36
63063, 1.38, 184.80, 254.74, 3.24, 4.49
79063, 1.38, 184.80, 254.74, 4.06, 5.62
95063, 1.37, 184.70, 253.86, 4.88, 6.75
111063, 1.37, 184.70, 253.13, 5.70, 7.88
127063, 1.37, 184.70, 253.13, 6.52, 9.00
143064, 1.37, 184.70, 253.13, 7.34, 10.13
159063, 1.37, 184.70, 252.39, 8.16, 11.25
175063, 1.37, 184.70, 252.39, 8.99, 12.37
191063, 1.36, 184.70, 251.65, 9.81, 13.49
207064, 1.36, 184.70, 251.65, 10.63, 14.61
223063, 1.36, 184.70, 251.64, 11.45, 15.73
239063, 1.36, 184.70, 250.91, 12.27, 16.84
255063, 1.36, 184.70, 250.91, 13.09, 17.96
271063, 1.35, 184.60, 250.04, 13.91, 19.07
287063, 1.35, 184.60, 250.04, 14.73, 20.18
303064, 1.35, 184.80, 249.57, 15.55, 21.29
319063, 1.35, 184.70, 250.17, 16.37, 22.41
335063, 1.35, 184.70, 249.43, 17.19, 23.51
351063, 1.35, 184.70, 249.43, 18.01, 24.62
367063, 1.35, 184.60, 248.56, 18.84, 25.73
383063, 1.35, 184.70, 248.69, 19.66, 26.84
399063, 1.34, 184.60, 247.82, 20.48, 27.94
415064, 1.35, 184.70, 248.69, 21.30, 29.04
431063, 1.34, 184.70, 247.95, 22.12, 30.15
447063, 1.34, 184.60, 247.82, 22.94, 31.25
463063, 1.34, 184.60, 247.82, 23.76, 32.35
479063, 1.34, 184.70, 247.21, 24.58, 33.45
495063, 1.34, 184.80, 247.35, 25.40, 34.55
511063, 1.34, 184.70, 247.22, 26.22, 35.65
527063, 1.33, 184.80, 246.61, 27.04, 36.74
543064, 1.33, 184.80, 246.61, 27.86, 37.84
559064, 1.33, 184.70, 246.48, 28.69, 38.94
575064, 1.33, 184.60, 246.34, 29.51, 40.03
591063, 1.33, 184.70, 245.74, 30.33, 41.12
607063, 1.33, 184.70, 245.74, 31.15, 42.22
623063, 1.33, 184.70, 245.74, 31.97, 43.31
639063, 1.33, 184.70, 245.74, 32.79, 44.40
655064, 1.33, 184.80, 245.13, 33.61, 45.49
671063, 1.33, 184.70, 245.00, 34.43, 46.58
687063, 1.33, 184.70, 245.00, 35.25, 47.67
703063, 1.33, 184.70, 245.00, 36.07, 48.76
719063, 1.32, 184.70, 244.26, 36.90, 49.85
735063, 1.32, 184.70, 244.26, 37.72, 50.93
751063, 1.32, 184.80, 244.39, 38.54, 52.02
767063, 1.32, 184.70, 243.52, 39.36, 53.10
783063, 1.32, 184.70, 244.26, 40.18, 54.19
799063, 1.32, 184.70, 243.52, 41.00, 55.27
815064, 1.32, 184.80, 243.65, 41.82, 56.35
831064, 1.32, 184.80, 243.65, 42.64, 57.44
847063, 1.32, 184.70, 243.52, 43.46, 58.52
863063, 1.31, 184.70, 242.78, 44.28, 59.60
879063, 1.31, 184.80, 242.92, 45.11, 60.68
895063, 1.31, 184.80, 242.92, 45.93, 61.76
911063, 1.31, 184.70, 242.78, 46.75, 62.84
927063, 1.31, 184.70, 242.05, 47.57, 63.91
943063, 1.31, 184.70, 242.04, 48.39, 64.99
959063, 1.31, 184.70, 242.04, 49.21, 66.07
975063, 1.31, 184.70, 242.04, 50.03, 67.14
991063, 1.31, 184.70, 242.05, 50.85, 68.22
1007063, 1.31, 184.60, 241.17, 51.67, 69.29
1023063, 1.31, 184.70, 241.31, 52.49, 70.36
1039063, 1.31, 184.70, 241.31, 53.32, 71.44
1055063, 1.30, 184.80, 240.69, 54.14, 72.51
1071063, 1.31, 184.70, 241.31, 54.96, 73.58
1087064, 1.31, 184.80, 241.44, 55.78, 74.65
1103063, 1.30, 184.70, 240.57, 56.60, 75.72
1119063, 1.30, 184.70, 240.56, 57.42, 76.79
1135063, 1.30, 184.70, 240.57, 58.24, 77.86
1151063, 1.30, 184.70, 240.57, 59.06, 78.93
1167063, 1.30, 184.60, 239.70, 59.88, 79.99
1183063, 1.30, 184.70, 239.83, 60.70, 81.06
1199063, 1.30, 184.80, 239.96, 61.52, 82.13
1215063, 1.30, 184.70, 239.83, 62.35, 83.19
1231063, 1.30, 184.70, 239.83, 63.17, 84.26
1247063, 1.29, 184.70, 239.09, 63.99, 85.32
1263063, 1.29, 184.80, 239.22, 64.81, 86.39
1279063, 1.29, 184.80, 239.22, 65.63, 87.45
1295063, 1.29, 184.70, 239.09, 66.45, 88.51
1311064, 1.29, 184.70, 239.09, 67.27, 89.57
1327064, 1.29, 184.70, 238.35, 68.09, 90.63
1343063, 1.29, 184.70, 238.35, 68.91, 91.70
1359063, 1.29, 184.70, 238.35, 69.73, 92.75
1375063, 1.29, 184.70, 238.35, 70.55, 93.81
1391063, 1.29, 184.60, 238.22, 71.38, 94.87
1407063, 1.29, 184.70, 238.35, 72.20, 95.93
1423063, 1.29, 184.80, 238.48, 73.02, 96.99
1439063, 1.29, 184.70, 237.61, 73.84, 98.05
1455063, 1.29, 184.70, 238.35, 74.66, 99.11
1471063, 1.29, 184.70, 237.61, 75.48, 100.16
1487063, 1.29, 184.70, 237.61, 76.30, 101.22
1503064, 1.29, 184.60, 237.48, 77.12, 102.27
1519064, 1.29, 184.60, 237.48, 77.94, 103.33
1535063, 1.28, 184.70, 236.87, 78.76, 104.38
1551063, 1.28, 184.70, 236.87, 79.58, 105.43
1567063, 1.28, 184.70, 236.87, 80.41, 106.49
1583063, 1.28, 184.70, 236.87, 81.23, 107.54
1599063, 1.28, 184.70, 236.87, 82.05, 108.59
1615064, 1.28, 184.70, 236.13, 82.87, 109.64
1631063, 1.28, 184.80, 236.26, 83.69, 110.70
1647063, 1.28, 184.70, 236.13, 84.51, 111.75
1663064, 1.28, 184.60, 236.00, 85.33, 112.80
1679064, 1.28, 184.70, 236.13, 86.15, 113.85
1695064, 1.28, 184.70, 236.13, 86.97, 114.90
1711063, 1.28, 184.70, 236.13, 87.79, 115.94
1727063, 1.28, 184.70, 236.13, 88.61, 116.99
1743063, 1.27, 184.70, 235.39, 89.43, 118.04
1759063, 1.27, 184.70, 235.39, 90.26, 119.09
1775064, 1.27, 184.70, 235.39, 91.08, 120.13
1791063, 1.27, 184.70, 235.39, 91.90, 121.18
1807063, 1.27, 184.60, 235.27, 92.72, 122.23
1823063, 1.27, 184.70, 234.66, 93.54, 123.27
1839064, 1.27, 184.70, 235.39, 94.36, 124.32
1855063, 1.27, 184.70, 234.65, 95.18, 125.36
1871064, 1.27, 184.60, 234.53, 96.00, 126.40
1887064, 1.27, 184.70, 234.66, 96.82, 127.45
1903063, 1.27, 184.60, 234.53, 97.64, 128.49
1919063, 1.27, 184.60, 234.53, 98.46, 129.53
1935063, 1.27, 184.70, 234.66, 99.28, 130.57
1951063, 1.27, 184.70, 233.92, 100.11, 131.62
1967063, 1.27, 184.70, 233.92, 100.93, 132.66
