millis,voltage,current,power,capacity,energy
0, 1.21, 500.20, 605.24, 0.00, 0.00
15264, 1.20, 499.72, 600.64, 2.12, 2.56
31264, 1.20, 499.92, 600.88, 4.34, 5.23
47265, 1.20, 499.80, 600.74, 6.56, 7.89
63264, 1.20, 499.72, 598.64, 8.78, 10.55
79265, 1.19, 499.72, 594.65, 11.00, 13.20
95264, 1.19, 499.72, 596.66, 13.23, 15.85
111264, 1.19, 499.52, 594.40, 15.45, 18.50
127264, 1.19, 499.60, 594.51, 17.67, 21.14
143265, 1.19, 499.92, 594.89, 19.89, 23.78
159265, 1.19, 499.60, 592.50, 22.11, 26.42
175265, 1.19, 499.72, 592.64, 24.33, 29.06
191264, 1.19, 499.52, 592.40, 26.55, 31.69
207264, 1.19, 499.72, 592.65, 28.77, 34.32
223264, 1.18, 499.52, 590.43, 30.99, 36.95
239264, 1.18, 499.40, 590.28, 33.21, 39.58
255264, 1.19, 499.60, 592.50, 35.43, 42.20
271264, 1.18, 499.72, 590.65, 37.65, 44.83
287264, 1.18, 499.80, 588.73, 39.87, 47.45
303265, 1.18, 499.72, 588.65, 42.09, 50.07
319264, 1.18, 499.72, 588.66, 44.31, 52.68
335265, 1.18, 499.80, 590.74, 46.53, 55.30
351264, 1.17, 499.52, 586.41, 48.75, 57.91
367264, 1.18, 499.40, 588.28, 50.97, 60.53
383264, 1.17, 499.40, 586.26, 53.19, 63.14
399264, 1.17, 499.32, 586.18, 55.41, 65.74
415265, 1.17, 499.60, 586.53, 57.63, 68.35
431264, 1.17, 499.40, 586.26, 59.85, 70.96
447264, 1.17, 499.32, 586.18, 62.07, 73.57
463264, 1.17, 499.80, 586.75, 64.29, 76.17
479265, 1.17, 499.52, 584.43, 66.52, 78.77
495264, 1.17, 499.32, 584.17, 68.74, 81.38
511264, 1.17, 499.72, 586.65, 70.96, 83.98
527264, 1.17, 499.60, 584.49, 73.18, 86.58
543264, 1.17, 499.52, 584.42, 75.40, 89.18
559265, 1.17, 499.32, 584.18, 77.62, 91.78
575264, 1.17, 499.32, 586.17, 79.84, 94.38
591264, 1.17, 499.60, 584.50, 82.06, 96.97
607265, 1.17, 499.52, 584.43, 84.28, 99.57
623264, 1.17, 499.52, 584.42, 86.50, 102.17
639264, 1.17, 499.32, 584.18, 88.72, 104.76
655265, 1.17, 499.52, 584.42, 90.94, 107.36
671264, 1.17, 499.72, 584.65, 93.16, 109.95
687264, 1.17, 499.60, 584.51, 95.38, 112.55
703264, 1.17, 499.60, 584.50, 97.60, 115.14
719265, 1.17, 499.72, 582.66, 99.82, 117.74
735264, 1.17, 499.72, 582.63, 102.04, 120.33
751264, 1.17, 499.52, 584.41, 104.26, 122.92
767265, 1.17, 499.52, 584.41, 106.48, 125.52
783264, 1.17, 499.40, 584.28, 108.70, 128.11
799264, 1.17, 499.32, 584.17, 110.92, 130.70
815264, 1.17, 499.72, 584.66, 113.14, 133.29
831264, 1.17, 499.52, 584.41, 115.36, 135.89
847264, 1.17, 499.72, 582.65, 117.58, 138.48
863264, 1.17, 499.52, 582.42, 119.80, 141.07
879265, 1.17, 499.52, 582.41, 122.02, 143.66
895264, 1.17, 499.80, 582.75, 124.24, 146.24
911264, 1.17, 499.40, 584.28, 126.46, 148.83
927264, 1.17, 499.40, 582.27, 128.68, 151.42
943265, 1.17, 499.60, 582.51, 130.90, 154.01
959264, 1.17, 499.60, 582.51, 133.12, 156.60
975264, 1.17, 499.60, 582.51, 135.34, 159.19
991264, 1.16, 499.60, 580.53, 137.56, 161.77
1007264, 1.17, 499.72, 582.64, 139.78, 164.36
1023264, 1.17, 499.52, 582.43, 142.00, 166.95
1039264, 1.17, 499.52, 582.42, 144.22, 169.53
1055264, 1.17, 499.52, 582.41, 146.44, 172.12
1071264, 1.16, 499.80, 580.75, 148.66, 174.71
