millis,voltage,current,power,capacity,energy
0, 1.38, 500.80, 692.15, 0.00, 0.00
15406, 1.37, 500.52, 687.75, 2.14, 2.95
31405, 1.37, 500.72, 688.03, 4.37, 6.00
47405, 1.37, 500.92, 686.30, 6.59, 9.05
63405, 1.37, 500.92, 686.30, 8.82, 12.09
78407, 1.36, 501.00, 682.39, 10.91, 14.94
94406, 1.36, 500.80, 682.13, 13.13, 17.97
110406, 1.36, 500.80, 680.13, 15.36, 21.00
126406, 1.35, 501.00, 678.39, 17.58, 24.02
142406, 1.36, 500.80, 680.13, 19.81, 27.04
158406, 1.35, 500.92, 678.28, 22.04, 30.05
174406, 1.35, 500.92, 676.29, 24.26, 33.06
190407, 1.35, 500.80, 676.12, 26.49, 36.07
206406, 1.35, 499.20, 673.89, 28.71, 39.07
222406, 1.35, 499.32, 672.06, 30.93, 42.06
238406, 1.35, 500.72, 674.01, 33.15, 45.05
254406, 1.35, 500.92, 674.29, 35.38, 48.05
270406, 1.34, 501.00, 672.40, 37.60, 51.04
286406, 1.34, 501.00, 670.38, 39.83, 54.02
302406, 1.34, 499.40, 670.16, 42.05, 57.00
318406, 1.34, 499.60, 668.43, 44.27, 59.97
334406, 1.34, 499.20, 667.89, 46.49, 62.94
350406, 1.33, 499.32, 666.05, 48.71, 65.91
366406, 1.33, 499.40, 666.15, 50.93, 68.87
382406, 1.33, 500.80, 668.11, 53.15, 71.83
398406, 1.33, 499.32, 666.05, 55.37, 74.79
414406, 1.33, 499.12, 661.81, 57.59, 77.74
430406, 1.33, 499.20, 661.90, 59.81, 80.69
446407, 1.33, 499.52, 662.32, 62.03, 83.64
462406, 1.33, 499.32, 662.07, 64.25, 86.58
478407, 1.33, 499.00, 661.63, 66.47, 89.52
494406, 1.32, 500.80, 662.09, 68.69, 92.46
510406, 1.32, 499.32, 660.07, 70.91, 95.39
526407, 1.32, 499.20, 659.90, 73.13, 98.32
542406, 1.32, 499.32, 658.07, 75.35, 101.25
558406, 1.32, 499.32, 658.07, 77.57, 104.18
574407, 1.31, 499.32, 656.07, 79.79, 107.10
590406, 1.31, 499.32, 656.07, 82.01, 110.02
606407, 1.31, 499.40, 656.17, 84.23, 112.94
622406, 1.31, 499.40, 656.17, 86.45, 115.85
638406, 1.31, 499.20, 653.92, 88.66, 118.77
654407, 1.31, 499.32, 654.09, 90.88, 121.68
670406, 1.31, 499.12, 653.82, 93.10, 124.58
686406, 1.31, 499.40, 654.19, 95.32, 127.49
702406, 1.31, 499.52, 652.36, 97.54, 130.39
718406, 1.31, 499.40, 652.20, 99.76, 133.29
734407, 1.31, 499.12, 651.82, 101.98, 136.19
750406, 1.30, 499.32, 650.07, 104.20, 139.08
766406, 1.30, 500.80, 652.07, 106.42, 141.98
782406, 1.30, 499.52, 650.35, 108.64, 144.88
798406, 1.30, 499.52, 650.35, 110.86, 147.77
814406, 1.30, 499.72, 648.60, 113.08, 150.65
830407, 1.30, 500.92, 650.24, 115.31, 153.55
846406, 1.29, 500.92, 648.25, 117.53, 156.44
862406, 1.30, 500.92, 650.24, 119.76, 159.32
878406, 1.29, 499.72, 646.61, 121.98, 162.21
894406, 1.30, 499.40, 648.19, 124.20, 165.08
910407, 1.29, 499.00, 645.67, 126.42, 167.96
926406, 1.29, 499.12, 645.83, 128.64, 170.83
942406, 1.29, 499.32, 646.09, 130.86, 173.70
958407, 1.29, 499.60, 644.45, 133.08, 176.57
