millis,voltage,current,power,capacity,energy
0, 1.35, 160.00, 216.32, 0.00, 0.00
15165, 1.35, 160.00, 215.68, 0.67, 0.91
31166, 1.34, 160.10, 215.17, 1.39, 1.86
47165, 1.34, 160.00, 214.40, 2.10, 2.82
63165, 1.34, 159.90, 213.63, 2.81, 3.77
79165, 1.33, 160.10, 213.25, 3.52, 4.72
95166, 1.33, 160.00, 213.12, 4.23, 5.66
111165, 1.33, 160.10, 212.61, 4.94, 6.61
127165, 1.33, 160.00, 212.48, 5.65, 7.56
143165, 1.33, 160.00, 212.48, 6.36, 8.50
159165, 1.32, 160.00, 211.84, 7.07, 9.44
175166, 1.32, 160.00, 211.20, 7.79, 10.38
191165, 1.32, 159.90, 211.07, 8.50, 11.32
207165, 1.32, 159.90, 211.07, 9.21, 12.26
223165, 1.32, 160.00, 211.20, 9.92, 13.20
239165, 1.32, 160.00, 210.56, 10.63, 14.13
255165, 1.32, 160.10, 210.69, 11.34, 15.07
271165, 1.32, 160.00, 210.56, 12.05, 16.00
287166, 1.31, 159.90, 209.79, 12.76, 16.94
303165, 1.31, 160.00, 209.92, 13.47, 17.87
319165, 1.31, 160.00, 209.92, 14.18, 18.80
335165, 1.31, 159.90, 209.15, 14.90, 19.73
351165, 1.31, 160.00, 209.28, 15.61, 20.66
367165, 1.30, 159.90, 208.51, 16.32, 21.59
383165, 1.30, 160.00, 208.64, 17.03, 22.52
399165, 1.30, 160.00, 208.64, 17.74, 23.45
415165, 1.30, 160.00, 208.64, 18.45, 24.37
431166, 1.30, 160.00, 208.00, 19.16, 25.30
447165, 1.30, 159.90, 207.87, 19.87, 26.22
463165, 1.30, 160.00, 208.00, 20.58, 27.15
479165, 1.30, 160.10, 208.13, 21.30, 28.07
495166, 1.30, 160.00, 208.00, 22.01, 29.00
511165, 1.30, 160.00, 207.36, 22.72, 29.92
527166, 1.30, 160.00, 207.36, 23.43, 30.84
543165, 1.30, 160.00, 207.36, 24.14, 31.76
559166, 1.29, 160.00, 206.72, 24.85, 32.68
575165, 1.30, 159.90, 207.23, 25.56, 33.60
591165, 1.30, 160.10, 207.49, 26.27, 34.52
607165, 1.29, 160.00, 206.72, 26.99, 35.44
623166, 1.29, 160.00, 206.72, 27.70, 36.36
639166, 1.29, 160.00, 206.72, 28.41, 37.28
655165, 1.29, 160.00, 206.72, 29.12, 38.20
671165, 1.29, 160.10, 206.21, 29.83, 39.11
687166, 1.29, 160.00, 206.08, 30.54, 40.03
703165, 1.29, 160.00, 206.08, 31.25, 40.94
719165, 1.29, 160.00, 206.08, 31.96, 41.86
735166, 1.28, 160.00, 205.44, 32.67, 42.77
751165, 1.28, 160.00, 205.44, 33.39, 43.69
767165, 1.28, 159.90, 205.31, 34.10, 44.60
783166, 1.28, 160.00, 205.44, 34.81, 45.51
799165, 1.28, 160.00, 205.44, 35.52, 46.43
815166, 1.28, 160.00, 205.44, 36.23, 47.34
831165, 1.28, 160.00, 204.80, 36.94, 48.25
847165, 1.28, 159.90, 204.67, 37.65, 49.16
863165, 1.28, 160.00, 204.80, 38.36, 50.07
879166, 1.28, 160.00, 204.80, 39.07, 50.98
895165, 1.28, 159.90, 204.67, 39.78, 51.89
911166, 1.28, 160.00, 204.80, 40.50, 52.80
927165, 1.28, 160.00, 204.16, 41.21, 53.71
943165, 1.28, 159.90, 204.03, 41.92, 54.61
959166, 1.27, 160.00, 203.52, 42.63, 55.52
975165, 1.28, 160.00, 204.16, 43.34, 56.43
991165, 1.28, 160.00, 204.16, 44.05, 57.33
1007165, 1.27, 160.00, 203.52, 44.76, 58.24
1023165, 1.27, 160.00, 203.52, 45.47, 59.14
1039166, 1.27, 160.00, 203.52, 46.18, 60.05
1055165, 1.27, 159.90, 203.39, 46.89, 60.95
1071166, 1.27, 160.00, 203.52, 47.61, 61.86
1087165, 1.27, 160.00, 203.52, 48.32, 62.76
1103165, 1.27, 160.00, 203.52, 49.03, 63.67
1119165, 1.27, 160.00, 202.88, 49.74, 64.57
1135165, 1.27, 160.00, 202.88, 50.45, 65.47
1151165, 1.27, 160.00, 202.88, 51.16, 66.37
1167165, 1.27, 160.00, 202.88, 51.87, 67.27
1183165, 1.27, 160.00, 202.88, 52.58, 68.18
1199166, 1.27, 160.00, 202.88, 53.29, 69.08
1215166, 1.26, 160.00, 202.24, 54.01, 69.98
1231165, 1.26, 160.00, 202.24, 54.72, 70.88
1247165, 1.27, 160.10, 203.01, 55.43, 71.78
1263166, 1.26, 160.10, 202.37, 56.14, 72.68
1279166, 1.26, 160.00, 202.24, 56.85, 73.58
1295165, 1.26, 160.00, 202.24, 57.56, 74.47
1311165, 1.26, 160.00, 202.24, 58.27, 75.37
1327165, 1.26, 160.00, 202.24, 58.98, 76.27
1343165, 1.26, 160.00, 202.24, 59.69, 77.17
1359166, 1.26, 160.00, 201.60, 60.41, 78.06
1375165, 1.26, 160.00, 201.60, 61.12, 78.96
1391165, 1.26, 160.10, 201.73, 61.83, 79.86
1407165, 1.26, 159.90, 201.47, 62.54, 80.75
1423165, 1.26, 159.90, 201.47, 63.25, 81.65
1439165, 1.26, 160.00, 201.60, 63.96, 82.54
1455165, 1.26, 160.00, 201.60, 64.67, 83.44
1471165, 1.26, 160.00, 200.96, 65.38, 84.33
1487165, 1.26, 159.90, 200.83, 66.09, 85.23
1503165, 1.26, 160.00, 200.96, 66.80, 86.12
1519165, 1.26, 159.90, 200.83, 67.52, 87.01
1535165, 1.26, 159.80, 200.71, 68.23, 87.91
1551166, 1.26, 160.00, 200.96, 68.94, 88.80
1567165, 1.26, 160.00, 200.96, 69.65, 89.69
1583166, 1.25, 160.00, 200.32, 70.36, 90.59
1599165, 1.26, 160.00, 200.96, 71.07, 91.48
1615165, 1.25, 160.00, 200.32, 71.78, 92.37
1631165, 1.25, 160.00, 200.32, 72.49, 93.26
1647165, 1.25, 160.10, 200.45, 73.20, 94.15
1663166, 1.25, 160.00, 200.32, 73.91, 95.04
1679165, 1.25, 160.00, 200.32, 74.63, 95.93
1695165, 1.25, 159.90, 200.19, 75.34, 96.82
1711165, 1.25, 160.00, 200.32, 76.05, 97.71
1727165, 1.25, 159.90, 200.19, 76.76, 98.60
1743165, 1.25, 159.90, 200.19, 77.47, 99.49
1759165, 1.25, 160.00, 200.32, 78.18, 100.38
1775165, 1.25, 160.00, 200.32, 78.89, 101.27
1791165, 1.25, 160.00, 199.68, 79.60, 102.16
1807165, 1.25, 160.00, 199.68, 80.31, 103.05
1823165, 1.25, 160.10, 199.80, 81.03, 103.94
1839165, 1.25, 159.90, 199.56, 81.74, 104.82
1855165, 1.25, 159.90, 199.55, 82.45, 105.71
1871165, 1.25, 160.00, 199.68, 83.16, 106.60
1887165, 1.25, 159.90, 199.55, 83.87, 107.49
1903165, 1.25, 160.00, 199.68, 84.58, 108.37
1919165, 1.25, 160.00, 199.68, 85.29, 109.26
1935165, 1.25, 160.00, 199.68, 86.00, 110.15
1951165, 1.25, 160.00, 199.68, 86.71, 111.03
1967165, 1.24, 160.00, 199.04, 87.42, 111.92
1983165, 1.24, 160.00, 199.04, 88.14, 112.80
1999165, 1.24, 160.00, 199.04, 88.85, 113.69
2015165, 1.24, 160.00, 199.04, 89.56, 114.57
2031165, 1.24, 160.00, 199.04, 90.27, 115.46
2047166, 1.24, 160.00, 199.04, 90.98, 116.34
2063165, 1.24, 159.90, 198.91, 91.69, 117.23
2079165, 1.24, 159.90, 198.91, 92.40, 118.11
2095165, 1.24, 160.00, 199.04, 93.11, 119.00
2111165, 1.24, 159.90, 198.91, 93.82, 119.88
2127165, 1.24, 159.90, 198.91, 94.53, 120.76
2143165, 1.24, 160.00, 199.04, 95.25, 121.65
2159165, 1.24, 159.90, 198.91, 95.96, 122.53
2175166, 1.24, 159.90, 198.28, 96.67, 123.41
2191166, 1.24, 160.00, 198.40, 97.38, 124.30
2207166, 1.24, 159.90, 198.27, 98.09, 125.18
2223165, 1.24, 159.90, 198.28, 98.80, 126.06
2239165, 1.24, 159.90, 198.27, 99.51, 126.94
2255165, 1.24, 160.00, 198.40, 100.22, 127.82
2271165, 1.24, 160.00, 198.40, 100.93, 128.71
2287165, 1.24, 160.00, 198.40, 101.64, 129.59
2303165, 1.24, 160.00, 198.40, 102.35, 130.47
2319165, 1.24, 159.90, 198.27, 103.07, 131.35
2335165, 1.24, 160.00, 198.40, 103.78, 132.23
2351165, 1.24, 160.00, 198.40, 104.49, 133.11
2367165, 1.24, 159.90, 198.28, 105.20, 133.99
2383166, 1.24, 159.90, 198.27, 105.91, 134.87
2399165, 1.24, 159.90, 198.28, 106.62, 135.75
2415165, 1.24, 160.00, 198.40, 107.33, 136.63
2431165, 1.24, 160.00, 197.76, 108.04, 137.51
2447166, 1.24, 160.00, 197.76, 108.75, 138.39
2463166, 1.24, 159.90, 197.63, 109.46, 139.27
2479165, 1.24, 160.00, 197.76, 110.18, 140.15
2495165, 1.23, 159.90, 197.00, 110.89, 141.03
2511165, 1.24, 160.00, 197.76, 111.60, 141.90
2526166, 1.24, 160.00, 197.76, 112.26, 142.73
2542165, 1.24, 160.00, 197.76, 112.97, 143.61
2558165, 1.24, 159.90, 197.63, 113.69, 144.49
2574165, 1.24, 159.90, 197.64, 114.40, 145.36
2590165, 1.24, 160.00, 197.76, 115.11, 146.24
2606166, 1.23, 160.00, 197.12, 115.82, 147.12
2622165, 1.23, 160.00, 197.12, 116.53, 148.00
2638165, 1.23, 160.00, 197.12, 117.24, 148.87
2654165, 1.23, 159.90, 197.00, 117.95, 149.75
2670166, 1.23, 160.00, 197.12, 118.66, 150.63
2686166, 1.23, 159.90, 197.00, 119.37, 151.50
2702165, 1.23, 160.00, 197.12, 120.08, 152.38
2718165, 1.23, 160.00, 197.12, 120.79, 153.25
2734165, 1.23, 160.00, 197.12, 121.51, 154.13
2750165, 1.23, 160.00, 197.12, 122.22, 155.01
2766165, 1.23, 159.90, 197.00, 122.93, 155.88
2782166, 1.23, 160.00, 197.12, 123.64, 156.76
2798165, 1.23, 160.00, 197.12, 124.35, 157.63
2814165, 1.23, 160.00, 197.12, 125.06, 158.51
2830166, 1.23, 160.00, 197.12, 125.77, 159.39
2846165, 1.23, 160.00, 197.12, 126.48, 160.26
2862165, 1.23, 159.90, 197.00, 127.19, 161.14
2878165, 1.23, 159.90, 197.00, 127.90, 162.01
2894165, 1.23, 159.90, 196.35, 128.61, 162.89
2910166, 1.23, 159.90, 197.00, 129.32, 163.76
2926166, 1.23, 159.80, 196.23, 130.04, 164.64
2942165, 1.23, 160.00, 197.12, 130.75, 165.51
2958165, 1.23, 160.00, 197.12, 131.46, 166.38
2974165, 1.23, 160.00, 196.48, 132.17, 167.26
2990165, 1.23, 159.90, 196.36, 132.88, 168.13
3006165, 1.23, 159.90, 196.36, 133.59, 169.01
3022165, 1.23, 160.00, 196.48, 134.30, 169.88
3038165, 1.23, 159.90, 196.35, 135.01, 170.75
3054165, 1.23, 159.90, 196.36, 135.72, 171.62
3070165, 1.23, 159.80, 196.23, 136.43, 172.50
3086165, 1.23, 159.90, 196.36, 137.14, 173.37
3102165, 1.23, 160.00, 197.12, 137.85, 174.24
3118166, 1.23, 159.90, 196.36, 138.57, 175.12
3134165, 1.23, 160.00, 196.48, 139.28, 175.99
3150165, 1.23, 159.90, 196.36, 139.99, 176.86
3166165, 1.23, 160.00, 196.48, 140.70, 177.73
3182166, 1.23, 160.00, 196.48, 141.41, 178.61
3198165, 1.23, 159.90, 196.36, 142.12, 179.48
3214166, 1.23, 160.00, 196.48, 142.83, 180.35
3230165, 1.23, 160.00, 196.48, 143.54, 181.23
3246165, 1.23, 159.90, 196.36, 144.25, 182.10
3262165, 1.23, 160.00, 196.48, 144.96, 182.97
3278166, 1.22, 160.00, 195.84, 145.68, 183.84
3294165, 1.23, 159.90, 196.36, 146.39, 184.72
3310165, 1.23, 159.90, 196.36, 147.10, 185.59
3326165, 1.22, 159.90, 195.72, 147.81, 186.46
3342165, 1.22, 159.90, 195.72, 148.52, 187.33
3358166, 1.22, 159.90, 195.72, 149.23, 188.20
3374165, 1.22, 159.90, 195.72, 149.94, 189.08
3390165, 1.22, 160.10, 195.96, 150.65, 189.95
3406165, 1.22, 160.00, 195.84, 151.36, 190.82
3422165, 1.22, 159.90, 195.72, 152.08, 191.69
3438165, 1.22, 160.00, 195.84, 152.79, 192.56
3454165, 1.22, 160.00, 195.84, 153.50, 193.43
3470165, 1.22, 160.00, 195.84, 154.21, 194.30
3486166, 1.22, 159.90, 195.72, 154.92, 195.17
3502166, 1.22, 160.00, 195.84, 155.63, 196.04
3518165, 1.22, 159.90, 195.72, 156.34, 196.91
3534165, 1.22, 160.00, 195.84, 157.05, 197.78
3550165, 1.22, 160.00, 195.84, 157.76, 198.65
3566165, 1.22, 160.00, 195.84, 158.47, 199.52
3582165, 1.22, 160.00, 195.84, 159.19, 200.39
3598165, 1.22, 160.00, 195.84, 159.90, 201.26
3614165, 1.22, 159.90, 195.72, 160.61, 202.13
3630165, 1.22, 160.00, 195.20, 161.32, 203.00
3646165, 1.22, 160.00, 195.84, 162.03, 203.87
3662165, 1.22, 160.00, 195.84, 162.74, 204.74
3678165, 1.22, 159.90, 195.72, 163.45, 205.61
3694165, 1.22, 160.00, 195.84, 164.16, 206.48
3710165, 1.22, 160.00, 195.84, 164.87, 207.35
3726165, 1.22, 160.00, 195.84, 165.59, 208.23
3742165, 1.22, 160.10, 195.96, 166.30, 209.10
3758165, 1.22, 160.00, 195.84, 167.01, 209.97
3774166, 1.22, 160.00, 195.84, 167.72, 210.84
3790166, 1.22, 160.00, 195.84, 168.43, 211.70
3806166, 1.22, 160.00, 195.84, 169.14, 212.57
3822165, 1.22, 160.00, 195.20, 169.85, 213.44
3838166, 1.22, 159.90, 195.72, 170.56, 214.31
3854166, 1.22, 160.00, 195.84, 171.27, 215.18
3870166, 1.22, 159.90, 195.72, 171.99, 216.05
3886166, 1.22, 160.00, 195.84, 172.70, 216.92
3902165, 1.22, 160.00, 195.20, 173.41, 217.79
3918166, 1.22, 160.00, 195.84, 174.12, 218.66
3934165, 1.22, 159.90, 195.71, 174.83, 219.53
3950165, 1.22, 159.90, 195.08, 175.54, 220.39
3966166, 1.22, 159.90, 195.08, 176.25, 221.26
3982165, 1.22, 159.90, 195.07, 176.96, 222.13
3998166, 1.22, 160.00, 195.20, 177.67, 223.00
4014165, 1.22, 159.90, 195.08, 178.38, 223.86
4030165, 1.22, 159.90, 195.08, 179.09, 224.73
4046165, 1.22, 159.90, 195.08, 179.81, 225.60
4062165, 1.22, 160.00, 195.20, 180.52, 226.47
4078166, 1.22, 160.00, 195.20, 181.23, 227.33
4094165, 1.22, 160.00, 195.20, 181.94, 228.20
4110165, 1.22, 160.00, 195.20, 182.65, 229.07
4126166, 1.22, 159.90, 195.08, 183.36, 229.94
4142165, 1.22, 160.00, 195.20, 184.07, 230.80
4158166, 1.22, 159.90, 195.08, 184.78, 231.67
4174165, 1.22, 159.90, 195.07, 185.49, 232.54
4190165, 1.22, 159.90, 195.08, 186.20, 233.40
4206166, 1.22, 160.00, 195.20, 186.91, 234.27
4222166, 1.22, 159.90, 195.07, 187.63, 235.14
4238165, 1.22, 160.00, 195.20, 188.34, 236.01
4254165, 1.22, 160.00, 195.20, 189.05, 236.87
4270165, 1.22, 160.00, 195.20, 189.76, 237.74
4286165, 1.22, 159.90, 195.08, 190.47, 238.61
4302165, 1.22, 159.90, 195.08, 191.18, 239.48
4318166, 1.22, 159.80, 194.32, 191.89, 240.34
4334165, 1.22, 160.00, 195.20, 192.60, 241.21
4350165, 1.22, 159.90, 195.08, 193.31, 242.08
4366165, 1.22, 159.90, 195.08, 194.02, 242.94
4382165, 1.22, 159.90, 195.08, 194.73, 243.81
4398165, 1.22, 160.00, 195.20, 195.44, 244.68
4414165, 1.22, 159.90, 195.07, 196.16, 245.54
4430165, 1.22, 160.00, 195.20, 196.87, 246.41
4446165, 1.22, 160.00, 195.20, 197.58, 247.28
4462166, 1.22, 160.00, 195.20, 198.29, 248.14
4478165, 1.22, 159.90, 195.07, 199.00, 249.01
4494165, 1.22, 159.90, 195.08, 199.71, 249.88
4510165, 1.22, 160.00, 194.56, 200.42, 250.74
4526165, 1.22, 159.90, 194.44, 201.13, 251.61
4542165, 1.22, 159.90, 194.44, 201.84, 252.48
4558165, 1.22, 159.90, 194.44, 202.55, 253.34
4574166, 1.22, 159.90, 195.08, 203.26, 254.21
4590165, 1.22, 159.90, 195.08, 203.97, 255.07
4606165, 1.22, 160.00, 194.56, 204.68, 255.94
4622166, 1.22, 159.90, 195.08, 205.40, 256.81
