millis,voltage,current,power,capacity,energy
0, 1.26, 161.40, 202.74, 0.00, 0.00
15983, 1.25, 160.10, 200.45, 0.71, 0.89
31983, 1.25, 160.10, 200.45, 1.42, 1.78
47983, 1.25, 160.10, 199.81, 2.13, 2.67
63983, 1.25, 160.10, 199.80, 2.85, 3.56
79984, 1.24, 160.10, 199.17, 3.56, 4.45
95984, 1.24, 160.20, 199.29, 4.27, 5.33
111984, 1.24, 160.10, 198.53, 4.98, 6.21
127983, 1.24, 160.00, 198.40, 5.69, 7.10
143983, 1.24, 160.10, 198.52, 6.40, 7.98
159983, 1.24, 160.10, 197.89, 7.11, 8.86
174984, 1.24, 160.20, 198.01, 7.78, 9.68
190983, 1.23, 160.10, 197.24, 8.49, 10.56
206983, 1.23, 160.10, 197.24, 9.21, 11.44
222983, 1.23, 160.20, 197.37, 9.92, 12.32
238983, 1.23, 160.10, 197.25, 10.63, 13.19
254983, 1.23, 160.20, 197.37, 11.34, 14.07
270983, 1.23, 160.20, 196.73, 12.05, 14.94
286983, 1.22, 160.20, 196.09, 12.76, 15.81
302983, 1.23, 160.20, 196.73, 13.48, 16.69
318983, 1.22, 160.10, 195.96, 14.19, 17.56
334984, 1.22, 160.10, 195.96, 14.90, 18.43
350983, 1.22, 160.20, 196.09, 15.61, 19.30
366983, 1.22, 160.10, 195.32, 16.32, 20.17
382983, 1.22, 160.10, 195.32, 17.03, 21.04
398983, 1.22, 160.20, 195.45, 17.75, 21.91
414983, 1.22, 160.10, 195.32, 18.46, 22.78
430984, 1.22, 160.20, 195.45, 19.17, 23.65
446983, 1.22, 160.20, 195.45, 19.88, 24.51
462983, 1.22, 160.10, 194.68, 20.59, 25.38
478983, 1.22, 160.10, 194.68, 21.30, 26.24
494983, 1.22, 160.20, 194.80, 22.02, 27.11
510983, 1.21, 160.10, 194.04, 22.73, 27.97
526983, 1.21, 160.20, 194.16, 23.44, 28.84
542983, 1.21, 160.00, 193.92, 24.15, 29.70
558984, 1.21, 160.20, 194.16, 24.86, 30.57
574983, 1.21, 160.20, 194.17, 25.57, 31.43
590983, 1.21, 160.10, 194.04, 26.29, 32.29
606983, 1.21, 160.10, 194.04, 27.00, 33.15
622984, 1.21, 160.20, 194.16, 27.71, 34.02
638983, 1.21, 160.20, 194.16, 28.42, 34.88
654983, 1.21, 160.10, 193.40, 29.13, 35.74
670983, 1.21, 160.20, 193.52, 29.85, 36.60
686983, 1.21, 160.10, 193.40, 30.56, 37.46
702983, 1.21, 160.20, 193.52, 31.27, 38.32
718984, 1.21, 160.20, 193.52, 31.98, 39.18
734983, 1.21, 160.10, 193.40, 32.69, 40.04
750983, 1.21, 160.10, 193.40, 33.40, 40.90
766983, 1.21, 160.10, 193.40, 34.12, 41.76
782983, 1.21, 160.10, 193.40, 34.83, 42.62
798983, 1.20, 160.10, 192.76, 35.54, 43.47
814983, 1.20, 160.20, 192.88, 36.25, 44.33
830983, 1.20, 160.10, 192.76, 36.96, 45.19
846983, 1.20, 160.10, 192.76, 37.67, 46.05
862983, 1.20, 160.10, 192.76, 38.39, 46.90
878984, 1.20, 160.20, 192.88, 39.10, 47.76
894984, 1.20, 160.10, 192.76, 39.81, 48.62
910983, 1.20, 160.10, 192.76, 40.52, 49.47
926983, 1.20, 160.20, 192.88, 41.23, 50.33
942983, 1.20, 160.20, 192.88, 41.94, 51.19
958983, 1.20, 160.10, 192.76, 42.66, 52.04
974983, 1.20, 160.20, 192.88, 43.37, 52.90
990983, 1.20, 160.10, 192.76, 44.08, 53.76
1006983, 1.20, 160.20, 192.24, 44.79, 54.61
1022983, 1.20, 160.20, 192.88, 45.50, 55.47
1038983, 1.20, 160.20, 192.24, 46.21, 56.32
1054983, 1.20, 160.20, 192.24, 46.93, 57.18
1070983, 1.20, 160.20, 192.88, 47.64, 58.03
1086983, 1.20, 160.20, 192.24, 48.35, 58.89
1102983, 1.20, 160.10, 192.12, 49.06, 59.74
