millis,voltage,current,power,capacity,energy
0, 1.43, 161.00, 230.57, 0.00, 0.00
15877, 1.43, 159.80, 228.19, 0.71, 1.01
31877, 1.42, 159.90, 227.70, 1.42, 2.02
47878, 1.42, 160.00, 227.20, 2.13, 3.03
63877, 1.42, 159.90, 226.42, 2.84, 4.04
79877, 1.41, 159.90, 225.78, 3.55, 5.05
95877, 1.41, 159.90, 225.78, 4.26, 6.05
111877, 1.41, 160.00, 225.92, 4.97, 7.06
127877, 1.41, 160.00, 225.28, 5.68, 8.06
143877, 1.41, 160.00, 225.28, 6.39, 9.06
159877, 1.40, 159.90, 224.50, 7.10, 10.06
175877, 1.40, 160.00, 224.00, 7.81, 11.06
191877, 1.40, 160.10, 224.14, 8.53, 12.05
207877, 1.40, 160.00, 224.00, 9.24, 13.05
223877, 1.40, 159.90, 223.22, 9.95, 14.04
239877, 1.40, 160.00, 223.36, 10.66, 15.04
255877, 1.39, 160.00, 222.72, 11.37, 16.03
271878, 1.39, 160.00, 222.72, 12.08, 17.02
287877, 1.39, 160.00, 222.72, 12.79, 18.01
303877, 1.39, 160.10, 222.22, 13.50, 18.99
319877, 1.39, 160.00, 222.08, 14.21, 19.98
335877, 1.38, 160.00, 221.44, 14.92, 20.96
351877, 1.38, 160.00, 221.44, 15.64, 21.95
367877, 1.38, 160.00, 220.80, 16.35, 22.93
383877, 1.38, 160.00, 220.80, 17.06, 23.91
399877, 1.38, 159.90, 220.66, 17.77, 24.89
415877, 1.38, 160.00, 220.16, 18.48, 25.87
431878, 1.38, 160.00, 220.16, 19.19, 26.85
447877, 1.37, 160.00, 219.52, 19.90, 27.83
463878, 1.37, 160.00, 219.52, 20.61, 28.80
479877, 1.37, 160.00, 219.52, 21.32, 29.78
495878, 1.37, 160.00, 218.88, 22.03, 30.75
511877, 1.37, 160.00, 218.88, 22.75, 31.72
527877, 1.36, 160.00, 218.24, 23.46, 32.70
543877, 1.36, 160.00, 218.24, 24.17, 33.67
559877, 1.36, 159.90, 218.10, 24.88, 34.64
575877, 1.36, 159.90, 217.46, 25.59, 35.60
591878, 1.36, 159.90, 217.46, 26.30, 36.57
607877, 1.36, 160.00, 217.60, 27.01, 37.54
623877, 1.36, 160.00, 216.96, 27.72, 38.50
639877, 1.36, 159.90, 216.82, 28.43, 39.47
655878, 1.36, 160.00, 216.96, 29.14, 40.43
671877, 1.35, 160.00, 216.32, 29.86, 41.39
687877, 1.35, 160.00, 216.32, 30.57, 42.35
703877, 1.35, 160.00, 216.32, 31.28, 43.31
719877, 1.35, 159.90, 215.55, 31.99, 44.27
735878, 1.35, 160.00, 215.68, 32.70, 45.23
751877, 1.35, 160.00, 215.68, 33.41, 46.19
767877, 1.34, 159.90, 214.90, 34.12, 47.15
783878, 1.34, 159.90, 214.90, 34.83, 48.10
799877, 1.34, 159.90, 214.90, 35.54, 49.06
815877, 1.34, 159.90, 214.91, 36.25, 50.01
831877, 1.34, 159.90, 214.26, 36.96, 50.96
847877, 1.34, 159.90, 214.26, 37.67, 51.92
863877, 1.34, 160.00, 214.40, 38.39, 52.87
879877, 1.34, 160.00, 213.76, 39.10, 53.82
895877, 1.34, 160.00, 213.76, 39.81, 54.77
911877, 1.34, 159.90, 213.62, 40.52, 55.72
927877, 1.34, 159.90, 213.62, 41.23, 56.67
943877, 1.33, 159.90, 212.98, 41.94, 57.62
959877, 1.33, 159.90, 212.99, 42.65, 58.56
975878, 1.33, 159.90, 212.99, 43.36, 59.51
991877, 1.33, 159.90, 212.99, 44.07, 60.46
1007877, 1.33, 160.00, 212.48, 44.78, 61.40
1023877, 1.33, 159.90, 212.35, 45.49, 62.35
1039877, 1.33, 159.90, 212.35, 46.20, 63.29
1055878, 1.33, 160.00, 212.48, 46.91, 64.23
1071877, 1.32, 160.00, 211.84, 47.63, 65.18
1087877, 1.32, 159.90, 211.71, 48.34, 66.12
1103878, 1.32, 160.00, 211.84, 49.05, 67.06
1119878, 1.32, 160.00, 211.84, 49.76, 68.00
1135877, 1.32, 159.90, 211.07, 50.47, 68.94
1151877, 1.32, 159.90, 211.07, 51.18, 69.88
1167877, 1.32, 159.90, 211.07, 51.89, 70.82
1183877, 1.32, 160.00, 211.20, 52.60, 71.76
1199877, 1.32, 159.90, 210.43, 53.31, 72.69
1215877, 1.32, 159.90, 211.07, 54.02, 73.63
1231878, 1.32, 159.90, 210.43, 54.73, 74.57
1247878, 1.32, 159.90, 210.43, 55.45, 75.50
1263878, 1.32, 160.00, 210.56, 56.16, 76.44
1279877, 1.32, 159.90, 210.43, 56.87, 77.37
1295878, 1.32, 160.00, 210.56, 57.58, 78.31
1311877, 1.31, 159.90, 209.79, 58.29, 79.24
1327878, 1.31, 159.90, 209.79, 59.00, 80.17
1343877, 1.31, 159.90, 209.79, 59.71, 81.10
1359877, 1.31, 159.90, 209.79, 60.42, 82.03
1375878, 1.31, 159.90, 209.15, 61.13, 82.96
1391878, 1.31, 159.90, 209.15, 61.84, 83.89
1407877, 1.31, 159.90, 209.15, 62.55, 84.82
1423877, 1.30, 159.90, 208.51, 63.26, 85.75
1439877, 1.31, 160.00, 209.28, 63.98, 86.68
1455877, 1.30, 159.90, 208.51, 64.69, 87.61
1471877, 1.30, 159.90, 208.51, 65.40, 88.54
1487877, 1.30, 160.00, 208.64, 66.11, 89.46
1503877, 1.30, 159.90, 208.51, 66.82, 90.39
1519877, 1.30, 159.90, 208.51, 67.53, 91.32
1535878, 1.30, 159.90, 207.87, 68.24, 92.24
1551877, 1.30, 159.90, 207.87, 68.95, 93.16
1567877, 1.30, 159.90, 207.87, 69.66, 94.09
1583877, 1.30, 159.90, 207.87, 70.37, 95.01
1599878, 1.30, 160.00, 208.00, 71.08, 95.94
1615878, 1.30, 159.90, 207.23, 71.79, 96.86
1631877, 1.30, 160.00, 207.36, 72.50, 97.78
1647878, 1.30, 160.00, 207.36, 73.22, 98.70
1663877, 1.30, 160.00, 207.36, 73.93, 99.62
1679878, 1.30, 159.90, 207.23, 74.64, 100.54
1695877, 1.29, 159.80, 206.46, 75.35, 101.46
1711877, 1.29, 160.00, 206.72, 76.06, 102.38
1727878, 1.30, 159.90, 207.23, 76.77, 103.30
1743877, 1.29, 159.90, 206.59, 77.48, 104.22
1759877, 1.29, 159.90, 206.59, 78.19, 105.14
1775877, 1.29, 159.90, 206.59, 78.90, 106.06
1791877, 1.29, 160.00, 206.08, 79.61, 106.97
1806878, 1.29, 160.00, 206.08, 80.28, 107.83
1822877, 1.29, 160.00, 206.08, 80.99, 108.75
1838877, 1.29, 159.90, 205.95, 81.70, 109.66
1854877, 1.29, 159.80, 205.82, 82.41, 110.58
1870877, 1.29, 159.90, 205.95, 83.12, 111.49
1886878, 1.29, 159.90, 205.95, 83.83, 112.41
1902878, 1.28, 159.90, 205.31, 84.54, 113.32
1918877, 1.29, 160.00, 206.08, 85.25, 114.24
1934877, 1.28, 160.00, 205.44, 85.96, 115.15
1950877, 1.28, 160.00, 205.44, 86.67, 116.06
1966877, 1.28, 160.00, 205.44, 87.39, 116.98
1982877, 1.28, 160.00, 205.44, 88.10, 117.89
1998878, 1.28, 160.00, 205.44, 88.81, 118.80
2014877, 1.28, 159.90, 204.67, 89.52, 119.71
2030877, 1.28, 160.00, 204.80, 90.23, 120.62
2046877, 1.28, 159.90, 204.67, 90.94, 121.53
2062877, 1.28, 159.90, 204.67, 91.65, 122.44
2078877, 1.28, 159.90, 204.67, 92.36, 123.35
2094878, 1.28, 160.00, 204.80, 93.07, 124.26
2110877, 1.28, 159.90, 204.03, 93.78, 125.17
2126878, 1.28, 159.90, 204.03, 94.49, 126.08
2142877, 1.28, 159.90, 204.03, 95.20, 126.98
2158878, 1.28, 159.90, 204.03, 95.91, 127.89
2174877, 1.28, 159.90, 204.03, 96.63, 128.80
2190877, 1.28, 160.00, 204.16, 97.34, 129.70
2206878, 1.28, 160.00, 204.16, 98.05, 130.61
