millis,voltage,current,power,capacity,energy
0, 1.21, 460.12, 556.74, 0.00, 0.00
15166, 1.20, 459.80, 552.67, 1.94, 2.33
31166, 1.20, 459.92, 550.97, 3.98, 4.79
47167, 1.19, 459.92, 549.14, 6.03, 7.23
63166, 1.19, 459.72, 548.90, 8.07, 9.67
79167, 1.19, 459.80, 548.99, 10.11, 12.11
95166, 1.19, 459.60, 546.91, 12.16, 14.55
111166, 1.19, 459.52, 546.81, 14.20, 16.98
127166, 1.19, 459.40, 546.68, 16.24, 19.41
143167, 1.19, 459.92, 545.45, 18.28, 21.83
159167, 1.18, 459.80, 543.47, 20.33, 24.25
175166, 1.18, 459.60, 543.23, 22.37, 26.67
191167, 1.18, 459.40, 543.00, 24.41, 29.09
207166, 1.18, 459.40, 542.99, 26.46, 31.50
223166, 1.18, 459.72, 543.37, 28.50, 33.91
239166, 1.18, 459.60, 541.40, 30.54, 36.32
255167, 1.18, 459.80, 541.61, 32.58, 38.73
271166, 1.18, 459.60, 541.40, 34.63, 41.13
287166, 1.18, 459.72, 541.51, 36.67, 43.53
303166, 1.17, 459.52, 539.46, 38.71, 45.93
319166, 1.17, 459.52, 539.45, 40.75, 48.32
335166, 1.17, 459.32, 537.37, 42.80, 50.72
351166, 1.17, 459.52, 537.62, 44.84, 53.11
367166, 1.17, 459.52, 537.62, 46.88, 55.50
383167, 1.17, 459.72, 537.86, 48.92, 57.90
399166, 1.17, 459.40, 537.49, 50.97, 60.28
415166, 1.17, 459.60, 537.70, 53.01, 62.67
431166, 1.17, 459.60, 537.71, 55.05, 65.06
447166, 1.17, 459.60, 535.88, 57.10, 67.44
463166, 1.17, 459.92, 538.09, 59.14, 69.82
479166, 1.17, 459.60, 535.87, 61.18, 72.20
495166, 1.16, 459.60, 534.04, 63.22, 74.58
511167, 1.17, 459.60, 535.88, 65.27, 76.96
527166, 1.16, 459.60, 534.04, 67.31, 79.35
543166, 1.17, 459.72, 536.01, 69.35, 81.72
559166, 1.16, 459.60, 534.04, 71.40, 84.10
575166, 1.16, 459.80, 534.26, 73.44, 86.48
