millis,voltage,current,power,capacity,energy
0, 1.38, 460.60, 634.75, 0.00, 0.00
15308, 1.37, 459.52, 631.36, 1.95, 2.69
31309, 1.37, 459.40, 627.51, 4.00, 5.49
47308, 1.37, 459.40, 629.36, 6.04, 8.28
63308, 1.37, 459.52, 629.51, 8.08, 11.07
79308, 1.37, 459.52, 627.69, 10.12, 13.86
95308, 1.36, 459.32, 623.73, 12.17, 16.64
111308, 1.36, 459.40, 623.84, 14.21, 19.42
127308, 1.35, 459.40, 622.00, 16.25, 22.19
143308, 1.36, 459.60, 624.11, 18.29, 24.95
159309, 1.35, 459.20, 619.89, 20.33, 27.71
175308, 1.35, 459.60, 620.44, 22.38, 30.47
191309, 1.35, 459.52, 622.16, 24.42, 33.23
207308, 1.35, 459.32, 620.05, 26.46, 35.99
223309, 1.35, 459.32, 618.23, 28.50, 38.74
239308, 1.34, 459.40, 616.48, 30.54, 41.48
255308, 1.34, 459.60, 616.76, 32.58, 44.22
271308, 1.34, 459.52, 616.64, 34.63, 46.96
287308, 1.34, 459.32, 614.56, 36.67, 49.69
303308, 1.34, 459.52, 614.81, 38.71, 52.42
319308, 1.33, 459.52, 612.96, 40.75, 55.15
335309, 1.33, 459.32, 612.72, 42.80, 57.88
351309, 1.34, 459.40, 614.65, 44.84, 60.60
367308, 1.33, 459.52, 611.14, 46.88, 63.32
383308, 1.33, 459.12, 610.61, 48.92, 66.04
399309, 1.33, 459.32, 610.86, 50.96, 68.75
415309, 1.33, 459.40, 609.14, 53.00, 71.47
431308, 1.33, 459.60, 609.41, 55.05, 74.17
447308, 1.33, 459.40, 609.14, 57.09, 76.88
463308, 1.32, 459.32, 607.19, 59.13, 79.58
479308, 1.32, 459.32, 607.20, 61.17, 82.29
495308, 1.32, 459.12, 606.92, 63.21, 84.99
511308, 1.32, 459.52, 605.62, 65.26, 87.68
527308, 1.32, 459.32, 605.37, 67.30, 90.38
543308, 1.32, 459.52, 605.62, 69.34, 93.07
559309, 1.31, 459.52, 603.78, 71.38, 95.75
575308, 1.31, 459.32, 603.52, 73.42, 98.44
591308, 1.31, 459.80, 604.16, 75.47, 101.12
607308, 1.31, 459.12, 601.43, 77.51, 103.80
623308, 1.31, 459.52, 601.95, 79.55, 106.47
639308, 1.31, 459.40, 601.78, 81.59, 109.15
655308, 1.31, 459.40, 599.96, 83.63, 111.82
671308, 1.31, 459.60, 600.22, 85.68, 114.48
687308, 1.30, 459.40, 598.12, 87.72, 117.15
703308, 1.30, 459.60, 598.37, 89.76, 119.81
719308, 1.30, 459.52, 598.27, 91.80, 122.47
735308, 1.30, 459.52, 598.27, 93.84, 125.13
751308, 1.30, 459.32, 596.17, 95.89, 127.79
767308, 1.30, 459.32, 596.17, 97.93, 130.44
783309, 1.30, 459.60, 596.54, 99.97, 133.09
799308, 1.29, 459.60, 594.69, 102.01, 135.74
815308, 1.29, 459.40, 594.44, 104.05, 138.38
831308, 1.29, 459.52, 594.59, 106.09, 141.03
847308, 1.29, 459.52, 592.75, 108.14, 143.67
863308, 1.29, 459.52, 592.77, 110.18, 146.31
879309, 1.29, 459.60, 594.69, 112.22, 148.95
895308, 1.29, 459.72, 593.01, 114.26, 151.58
911308, 1.29, 459.40, 592.61, 116.31, 154.21
927309, 1.29, 459.32, 592.50, 118.35, 156.84
