millis,voltage,current,power,capacity,energy
0, 1.33, 180.30, 239.80, 0.00, 0.00
15306, 1.32, 180.40, 238.49, 0.77, 1.02
31306, 1.32, 180.40, 237.77, 1.57, 2.08
47306, 1.32, 180.40, 237.77, 2.37, 3.13
63306, 1.31, 180.30, 236.92, 3.17, 4.19
79306, 1.31, 180.40, 237.05, 3.97, 5.24
95306, 1.31, 180.50, 236.46, 4.78, 6.29
111306, 1.31, 180.40, 236.33, 5.58, 7.34
127306, 1.31, 180.40, 235.61, 6.38, 8.39
143307, 1.31, 180.40, 235.61, 7.18, 9.44
159307, 1.30, 180.40, 234.89, 7.98, 10.48
175306, 1.30, 180.30, 234.76, 8.79, 11.53
191306, 1.30, 180.40, 234.17, 9.59, 12.57
207307, 1.30, 180.30, 234.03, 10.39, 13.61
223306, 1.30, 180.40, 234.16, 11.19, 14.65
239307, 1.29, 180.40, 233.44, 11.99, 15.69
255306, 1.29, 180.40, 233.44, 12.79, 16.72
271306, 1.29, 180.40, 232.72, 13.59, 17.76
287306, 1.29, 180.40, 232.72, 14.40, 18.80
303306, 1.29, 180.40, 232.72, 15.20, 19.83
319306, 1.29, 180.40, 232.72, 16.00, 20.87
335306, 1.29, 180.40, 232.00, 16.80, 21.90
351306, 1.29, 180.40, 232.00, 17.60, 22.93
367306, 1.29, 180.50, 232.13, 18.41, 23.96
383307, 1.29, 180.40, 232.00, 19.21, 24.99
399306, 1.28, 180.40, 231.28, 20.01, 26.02
415306, 1.28, 180.40, 231.28, 20.81, 27.05
431306, 1.28, 180.50, 231.41, 21.61, 28.08
447306, 1.28, 180.40, 231.28, 22.41, 29.10
463306, 1.28, 180.40, 230.56, 23.22, 30.13
479306, 1.28, 180.40, 230.56, 24.02, 31.16
495307, 1.28, 180.40, 230.56, 24.82, 32.18
511306, 1.28, 180.40, 230.56, 25.62, 33.21
527307, 1.27, 180.40, 229.84, 26.42, 34.23
543307, 1.27, 180.40, 229.84, 27.22, 35.25
559306, 1.27, 180.40, 229.84, 28.03, 36.27
575306, 1.27, 180.40, 229.84, 28.83, 37.30
591306, 1.27, 180.40, 229.84, 29.63, 38.32
607306, 1.27, 180.40, 229.84, 30.43, 39.34
623306, 1.27, 180.40, 229.84, 31.23, 40.36
639306, 1.27, 180.40, 229.11, 32.03, 41.38
655306, 1.27, 180.40, 229.11, 32.84, 42.40
671306, 1.27, 180.40, 229.11, 33.64, 43.42
687306, 1.27, 180.40, 229.12, 34.44, 44.43
703306, 1.27, 180.40, 228.39, 35.24, 45.45
719306, 1.27, 180.30, 228.99, 36.04, 46.47
735306, 1.27, 180.40, 228.40, 36.84, 47.48
751306, 1.27, 180.30, 228.27, 37.65, 48.50
767306, 1.27, 180.30, 228.27, 38.45, 49.51
783307, 1.26, 180.40, 227.67, 39.25, 50.53
799306, 1.27, 180.40, 228.39, 40.05, 51.54
815306, 1.26, 180.40, 227.67, 40.85, 52.55
831306, 1.26, 180.40, 227.67, 41.65, 53.57
847306, 1.26, 180.40, 227.67, 42.46, 54.58
863307, 1.26, 180.30, 227.55, 43.26, 55.59
879307, 1.26, 180.40, 227.67, 44.06, 56.60
895306, 1.26, 180.40, 227.67, 44.86, 57.61
911306, 1.26, 180.40, 227.67, 45.66, 58.63
927306, 1.26, 180.40, 226.95, 46.46, 59.64
943306, 1.26, 180.50, 227.08, 47.27, 60.65
959307, 1.26, 180.40, 226.95, 48.07, 61.65
975307, 1.26, 180.40, 226.95, 48.87, 62.66
991306, 1.26, 180.40, 226.95, 49.67, 63.67
1007307, 1.26, 180.40, 226.95, 50.47, 64.68
1023307, 1.26, 180.30, 226.82, 51.28, 65.69
1039306, 1.26, 180.50, 227.07, 52.08, 66.70
1055306, 1.25, 180.40, 226.23, 52.88, 67.70
1071306, 1.25, 180.40, 226.23, 53.68, 68.71
1087306, 1.25, 180.40, 226.23, 54.48, 69.72
1103306, 1.25, 180.40, 226.23, 55.28, 70.72
1119306, 1.25, 180.40, 226.23, 56.09, 71.73
1135306, 1.25, 180.40, 226.23, 56.89, 72.73
1151306, 1.25, 180.40, 226.23, 57.69, 73.74
1167307, 1.25, 180.40, 226.23, 58.49, 74.74
1183306, 1.25, 180.40, 226.23, 59.29, 75.75
1199306, 1.25, 180.40, 225.51, 60.10, 76.75
1215307, 1.25, 180.50, 226.36, 60.90, 77.75
1231307, 1.25, 180.50, 226.35, 61.70, 78.76
1247306, 1.25, 180.50, 225.63, 62.50, 79.76
1263306, 1.25, 180.40, 225.51, 63.30, 80.76
1279306, 1.25, 180.50, 225.63, 64.10, 81.76
1295306, 1.25, 180.40, 225.51, 64.91, 82.77
