millis,voltage,current,power,capacity,energy
0, 1.23, 180.60, 222.15, 0.00, 0.00
15269, 1.23, 180.60, 222.15, 0.77, 0.94
31269, 1.23, 180.60, 221.42, 1.57, 1.92
47269, 1.22, 180.60, 220.71, 2.37, 2.91
63269, 1.22, 180.50, 220.58, 3.17, 3.89
79269, 1.22, 180.60, 219.98, 3.98, 4.87
95270, 1.22, 180.60, 219.98, 4.78, 5.84
111269, 1.21, 180.60, 219.26, 5.58, 6.82
127269, 1.21, 180.50, 219.14, 6.38, 7.79
143269, 1.21, 180.60, 219.26, 7.19, 8.77
159269, 1.21, 180.50, 219.14, 7.99, 9.74
175270, 1.21, 180.60, 218.54, 8.79, 10.71
191269, 1.21, 180.50, 218.42, 9.59, 11.68
207269, 1.21, 180.60, 217.81, 10.40, 12.65
223269, 1.21, 180.60, 217.81, 11.20, 13.62
239270, 1.21, 180.60, 217.81, 12.00, 14.59
255269, 1.21, 180.60, 217.81, 12.81, 15.56
271269, 1.20, 180.60, 217.09, 13.61, 16.52
287269, 1.20, 180.60, 217.09, 14.41, 17.49
303269, 1.20, 180.60, 216.37, 15.21, 18.45
319269, 1.20, 180.50, 216.25, 16.02, 19.42
335269, 1.20, 180.60, 216.37, 16.82, 20.38
351270, 1.20, 180.60, 216.37, 17.62, 21.34
367270, 1.20, 180.50, 216.25, 18.42, 22.30
383269, 1.20, 180.50, 216.25, 19.23, 23.26
399269, 1.19, 180.60, 215.65, 20.03, 24.22
415269, 1.19, 180.60, 215.65, 20.83, 25.18
431269, 1.19, 180.60, 215.65, 21.63, 26.14
447269, 1.19, 180.50, 215.53, 22.44, 27.10
463269, 1.19, 180.60, 215.65, 23.24, 28.06
479269, 1.19, 180.60, 215.65, 24.04, 29.01
495269, 1.19, 180.60, 214.92, 24.84, 29.97
511270, 1.19, 180.50, 214.80, 25.65, 30.93
527269, 1.19, 180.60, 214.92, 26.45, 31.88
543269, 1.19, 180.60, 214.92, 27.25, 32.84
559269, 1.19, 180.60, 214.92, 28.05, 33.79
575269, 1.19, 180.50, 214.81, 28.86, 34.75
591269, 1.19, 180.60, 214.92, 29.66, 35.70
607269, 1.19, 180.60, 214.20, 30.46, 36.65
623269, 1.19, 180.60, 214.20, 31.26, 37.61
639270, 1.19, 180.60, 214.20, 32.07, 38.56
655269, 1.19, 180.60, 214.20, 32.87, 39.51
671269, 1.19, 180.60, 214.20, 33.67, 40.47
687269, 1.19, 180.60, 214.20, 34.48, 41.42
703269, 1.19, 180.60, 214.20, 35.28, 42.37
719269, 1.19, 180.60, 214.20, 36.08, 43.32
735269, 1.19, 180.60, 214.20, 36.88, 44.27
751269, 1.19, 180.50, 214.08, 37.69, 45.22
767269, 1.18, 180.50, 213.36, 38.49, 46.17
783269, 1.19, 180.60, 214.20, 39.29, 47.12
799269, 1.19, 180.60, 214.20, 40.09, 48.07
815269, 1.18, 180.60, 213.48, 40.90, 49.02
831270, 1.18, 180.60, 213.48, 41.70, 49.97
847269, 1.18, 180.70, 213.60, 42.50, 50.92
863269, 1.18, 180.60, 213.48, 43.30, 51.87
879269, 1.18, 180.60, 213.48, 44.11, 52.82
895269, 1.18, 180.60, 213.48, 44.91, 53.77
911269, 1.18, 180.60, 213.48, 45.71, 54.72
927270, 1.18, 180.60, 213.48, 46.52, 55.67
943270, 1.18, 180.60, 213.48, 47.32, 56.61
959269, 1.18, 180.60, 213.48, 48.12, 57.56
975269, 1.18, 180.60, 213.48, 48.92, 58.51
991269, 1.18, 180.50, 213.36, 49.73, 59.46
1007269, 1.18, 180.70, 213.60, 50.53, 60.41
1023269, 1.18, 180.60, 213.48, 51.33, 61.36
1039269, 1.18, 180.60, 212.76, 52.13, 62.30
1055269, 1.18, 180.60, 213.48, 52.94, 63.25
1071270, 1.18, 180.60, 212.76, 53.74, 64.20
1087269, 1.18, 180.60, 213.48, 54.54, 65.15
1103270, 1.18, 180.60, 213.48, 55.34, 66.10
1119269, 1.18, 180.50, 212.64, 56.15, 67.04
1135269, 1.18, 180.60, 212.76, 56.95, 67.99
1151269, 1.18, 180.60, 213.48, 57.75, 68.94
1167269, 1.18, 180.60, 213.48, 58.55, 69.88
1183269, 1.18, 180.50, 212.64, 59.36, 70.83
1199269, 1.18, 180.60, 212.76, 60.16, 71.78
1215269, 1.18, 180.60, 212.76, 60.96, 72.72
1231270, 1.18, 180.60, 213.48, 61.77, 73.67
1247269, 1.18, 180.60, 212.76, 62.57, 74.61
1263269, 1.18, 180.60, 212.76, 63.37, 75.56
1279269, 1.18, 180.60, 213.48, 64.17, 76.51
1295269, 1.18, 180.50, 212.64, 64.98, 77.45
1311270, 1.18, 180.50, 212.64, 65.78, 78.40
1327269, 1.18, 180.50, 212.64, 66.58, 79.34
1343269, 1.18, 180.50, 212.64, 67.38, 80.29
1359269, 1.18, 180.60, 212.76, 68.18, 81.23
1375269, 1.18, 180.40, 212.52, 68.99, 82.18
1391269, 1.18, 180.60, 212.76, 69.79, 83.13
1407269, 1.18, 180.60, 212.76, 70.59, 84.07
1423269, 1.18, 180.60, 212.76, 71.39, 85.02
1439269, 1.18, 180.60, 212.76, 72.20, 85.96
1455269, 1.18, 180.60, 212.76, 73.00, 86.91
1471269, 1.18, 180.60, 212.76, 73.80, 87.85
1487269, 1.18, 180.50, 212.64, 74.60, 88.80
1503269, 1.18, 180.60, 212.76, 75.41, 89.74
1519269, 1.18, 180.50, 212.64, 76.21, 90.69
1535269, 1.18, 180.50, 212.64, 77.01, 91.63
1551269, 1.18, 180.60, 212.76, 77.81, 92.58
1567269, 1.18, 180.50, 212.64, 78.62, 93.52
1583269, 1.18, 180.50, 212.64, 79.42, 94.47
1599269, 1.18, 180.50, 212.64, 80.22, 95.42
1615269, 1.18, 180.60, 212.76, 81.02, 96.36
1631270, 1.18, 180.50, 212.64, 81.83, 97.31
1647269, 1.18, 180.50, 212.64, 82.63, 98.25
1663270, 1.18, 180.50, 212.64, 83.43, 99.20
1679269, 1.18, 180.50, 212.64, 84.23, 100.14
1695269, 1.18, 180.50, 212.63, 85.03, 101.09
1711269, 1.18, 180.50, 212.64, 85.84, 102.03
1727270, 1.18, 180.60, 212.76, 86.64, 102.98
1743269, 1.18, 180.50, 212.64, 87.44, 103.92
1759270, 1.18, 180.60, 212.76, 88.24, 104.87
1775269, 1.18, 180.60, 212.76, 89.05, 105.81
1791270, 1.18, 180.50, 212.64, 89.85, 106.76
1807270, 1.18, 180.60, 212.76, 90.65, 107.70
1823269, 1.18, 180.50, 212.64, 91.45, 108.65
1839269, 1.18, 180.50, 212.64, 92.26, 109.59
1855269, 1.18, 180.50, 212.64, 93.06, 110.54
1871269, 1.18, 180.50, 212.64, 93.86, 111.48
1887269, 1.18, 180.50, 212.64, 94.66, 112.43
1903269, 1.18, 180.50, 212.64, 95.46, 113.37
1919269, 1.18, 180.50, 212.64, 96.27, 114.32
1935269, 1.18, 180.50, 212.64, 97.07, 115.26
1951269, 1.18, 180.60, 212.76, 97.87, 116.21
1967269, 1.18, 180.60, 212.76, 98.67, 117.15
1983270, 1.17, 180.50, 211.92, 99.48, 118.10
1999269, 1.18, 180.50, 212.64, 100.28, 119.04
2015270, 1.18, 180.50, 212.64, 101.08, 119.99
2031269, 1.18, 180.50, 212.64, 101.88, 120.93
2047269, 1.17, 180.60, 212.04, 102.69, 121.88
2063269, 1.18, 180.50, 212.64, 103.49, 122.82
2079269, 1.18, 180.50, 212.64, 104.29, 123.76
2095269, 1.18, 180.50, 212.64, 105.09, 124.71
2111269, 1.18, 180.50, 212.64, 105.90, 125.65
2127269, 1.18, 180.50, 212.64, 106.70, 126.60
2143270, 1.18, 180.50, 212.64, 107.50, 127.54
2159270, 1.18, 180.60, 212.76, 108.30, 128.49
2175269, 1.18, 180.50, 212.64, 109.10, 129.43
2191269, 1.18, 180.50, 212.64, 109.91, 130.38
2207269, 1.18, 180.40, 212.52, 110.71, 131.32
2223269, 1.18, 180.50, 212.64, 111.51, 132.27
2239269, 1.18, 180.50, 212.64, 112.31, 133.21
2255269, 1.17, 180.50, 211.91, 113.12, 134.16
2271269, 1.18, 180.50, 212.64, 113.92, 135.10
2287269, 1.18, 180.50, 212.64, 114.72, 136.04
2303269, 1.18, 180.50, 212.64, 115.52, 136.99
2319269, 1.17, 180.50, 211.92, 116.33, 137.93
2335269, 1.18, 180.60, 212.75, 117.13, 138.88
2351269, 1.18, 180.60, 212.76, 117.93, 139.82
2367270, 1.18, 180.50, 212.64, 118.73, 140.77
2383269, 1.18, 180.50, 212.64, 119.53, 141.71
2399269, 1.18, 180.50, 212.64, 120.34, 142.66
2415270, 1.18, 180.50, 212.64, 121.14, 143.60
2431270, 1.18, 180.50, 212.64, 121.94, 144.55
2447269, 1.17, 180.50, 211.92, 122.74, 145.49
2463269, 1.18, 180.50, 212.64, 123.55, 146.44
2479269, 1.18, 180.50, 212.64, 124.35, 147.38
2495270, 1.17, 180.50, 211.91, 125.15, 148.33
2511269, 1.17, 180.50, 211.92, 125.95, 149.27
2527269, 1.18, 180.60, 212.76, 126.75, 150.21
2543269, 1.18, 180.60, 212.76, 127.56, 151.16
2559269, 1.18, 180.50, 212.64, 128.36, 152.10
2575269, 1.18, 180.50, 212.64, 129.16, 153.05
2591269, 1.17, 180.40, 211.80, 129.96, 153.99
2607269, 1.18, 180.50, 212.64, 130.77, 154.94
2623269, 1.18, 180.50, 212.64, 131.57, 155.88
2639269, 1.18, 180.50, 212.64, 132.37, 156.83
2655269, 1.18, 180.50, 212.64, 133.17, 157.77
2671270, 1.18, 180.50, 212.64, 133.98, 158.72
2687269, 1.18, 180.50, 212.64, 134.78, 159.66
2703269, 1.18, 180.50, 212.64, 135.58, 160.61
2719269, 1.18, 180.60, 212.76, 136.38, 161.55
2735270, 1.18, 180.60, 212.76, 137.18, 162.50
2751270, 1.18, 180.50, 212.64, 137.99, 163.44
2767269, 1.18, 180.50, 212.64, 138.79, 164.39
2783269, 1.18, 180.60, 212.76, 139.59, 165.33
2799270, 1.18, 180.50, 212.64, 140.39, 166.28
2815269, 1.18, 180.60, 212.76, 141.20, 167.22
2831269, 1.17, 180.50, 211.92, 142.00, 168.17
2847269, 1.18, 180.60, 212.76, 142.80, 169.11
2863269, 1.18, 180.50, 212.64, 143.60, 170.05
2879269, 1.17, 180.50, 211.92, 144.40, 171.00
2895269, 1.18, 180.50, 212.64, 145.21, 171.94
2911269, 1.18, 180.50, 212.64, 146.01, 172.89
2927269, 1.18, 180.50, 212.64, 146.81, 173.83
2943269, 1.18, 180.50, 212.64, 147.61, 174.78
