millis,voltage,current,power,capacity,energy
0, 1.45, 180.10, 261.15, 0.00, 0.00
15598, 1.44, 180.20, 259.13, 0.78, 1.12
31598, 1.43, 180.20, 257.69, 1.58, 2.27
47598, 1.43, 180.30, 257.11, 2.38, 3.42
63598, 1.42, 180.30, 256.39, 3.18, 4.56
79598, 1.42, 180.30, 256.39, 3.99, 5.70
95598, 1.41, 180.30, 254.95, 4.79, 6.84
111598, 1.41, 180.30, 254.95, 5.59, 7.97
127599, 1.41, 180.30, 254.23, 6.39, 9.10
143599, 1.41, 180.30, 253.51, 7.19, 10.23
159599, 1.40, 180.30, 252.79, 7.99, 11.36
175598, 1.40, 180.40, 252.93, 8.79, 12.48
191598, 1.40, 180.30, 252.06, 9.60, 13.60
207598, 1.40, 180.30, 252.06, 10.40, 14.72
223598, 1.40, 180.20, 251.92, 11.20, 15.84
239599, 1.39, 180.30, 251.34, 12.00, 16.96
255599, 1.39, 180.30, 250.62, 12.80, 18.07
271598, 1.39, 180.30, 250.62, 13.60, 19.19
287598, 1.39, 180.30, 249.90, 14.40, 20.30
303598, 1.38, 180.30, 249.18, 15.20, 21.41
319599, 1.38, 180.20, 249.04, 16.01, 22.52
335598, 1.38, 180.20, 249.04, 16.81, 23.63
351598, 1.38, 180.30, 248.46, 17.61, 24.73
367598, 1.38, 180.30, 248.46, 18.41, 25.84
383598, 1.38, 180.30, 248.46, 19.21, 26.94
399598, 1.37, 180.30, 247.74, 20.01, 28.04
415598, 1.37, 180.30, 247.74, 20.81, 29.14
431598, 1.37, 180.30, 247.02, 21.62, 30.24
447598, 1.37, 180.30, 247.02, 22.42, 31.34
463598, 1.37, 180.30, 247.02, 23.22, 32.44
479599, 1.37, 180.30, 246.30, 24.02, 33.53
495598, 1.37, 180.30, 246.30, 24.82, 34.63
511598, 1.36, 180.40, 245.71, 25.62, 35.72
527599, 1.36, 180.30, 245.57, 26.42, 36.81
543598, 1.36, 180.30, 244.85, 27.23, 37.90
559598, 1.36, 180.20, 244.72, 28.03, 38.99
575598, 1.36, 180.20, 244.72, 28.83, 40.08
591598, 1.36, 180.20, 244.72, 29.63, 41.17
607599, 1.35, 180.30, 244.13, 30.43, 42.26
623598, 1.35, 180.30, 244.13, 31.23, 43.34
639598, 1.35, 180.30, 244.13, 32.03, 44.43
655598, 1.35, 180.30, 243.41, 32.83, 45.51
671598, 1.35, 180.30, 243.41, 33.64, 46.59
687598, 1.35, 180.40, 243.55, 34.44, 47.67
703598, 1.35, 180.30, 242.69, 35.24, 48.75
719598, 1.35, 180.30, 242.69, 36.04, 49.83
735598, 1.35, 180.30, 242.69, 36.84, 50.91
751598, 1.35, 180.30, 242.69, 37.64, 51.99
767598, 1.34, 180.20, 241.83, 38.44, 53.07
783598, 1.34, 180.30, 241.97, 39.25, 54.14
799598, 1.34, 180.30, 241.97, 40.05, 55.22
815599, 1.34, 180.30, 241.25, 40.85, 56.29
831599, 1.34, 180.30, 241.25, 41.65, 57.36
847599, 1.34, 180.30, 241.25, 42.45, 58.44
