millis,voltage,current,power,capacity,energy
0, 1.24, 247.20, 307.69, 0.00, 0.00
15457, 1.24, 246.70, 306.08, 1.06, 1.32
31457, 1.24, 246.50, 305.82, 2.16, 2.68
47457, 1.24, 246.30, 305.57, 3.25, 4.04
63457, 1.24, 246.10, 304.33, 4.35, 5.39
79457, 1.24, 246.00, 304.20, 5.44, 6.74
95457, 1.24, 245.80, 303.95, 6.53, 8.10
111456, 1.24, 245.60, 303.70, 7.62, 9.45
127457, 1.23, 245.50, 302.59, 8.72, 10.79
143457, 1.24, 245.30, 303.32, 9.81, 12.14
159457, 1.24, 245.20, 303.19, 10.90, 13.49
175457, 1.23, 245.00, 301.96, 11.98, 14.83
191457, 1.23, 244.90, 301.84, 13.07, 16.17
207457, 1.23, 244.80, 301.71, 14.16, 17.51
223457, 1.23, 244.60, 300.48, 15.25, 18.85
239457, 1.23, 244.50, 301.33, 16.34, 20.19
255457, 1.23, 244.30, 300.11, 17.42, 21.52
271457, 1.23, 244.20, 299.98, 18.51, 22.86
287457, 1.23, 244.10, 299.85, 19.59, 24.19
303457, 1.23, 244.00, 299.73, 20.68, 25.52
319457, 1.23, 243.90, 299.60, 21.76, 26.85
335457, 1.22, 243.70, 298.38, 22.84, 28.18
351457, 1.22, 243.60, 298.25, 23.93, 29.51
367457, 1.22, 243.60, 298.25, 25.01, 30.83
383457, 1.22, 243.40, 298.00, 26.09, 32.16
399457, 1.22, 243.30, 297.88, 27.17, 33.48
415456, 1.22, 243.20, 296.78, 28.25, 34.80
431457, 1.22, 243.10, 297.63, 29.34, 36.13
447457, 1.22, 243.00, 297.50, 30.42, 37.45
463457, 1.22, 242.90, 296.41, 31.50, 38.76
479456, 1.22, 242.80, 296.28, 32.57, 40.08
495456, 1.22, 242.70, 296.16, 33.65, 41.40
511457, 1.22, 242.60, 296.04, 34.73, 42.71
527457, 1.22, 242.50, 295.91, 35.81, 44.03
543457, 1.22, 242.40, 295.79, 36.89, 45.34
559457, 1.22, 242.40, 295.78, 37.97, 46.66
575457, 1.22, 242.30, 294.69, 39.04, 47.97
591457, 1.22, 242.20, 295.54, 40.12, 49.28
607457, 1.22, 242.10, 294.44, 41.19, 50.59
623456, 1.22, 242.10, 294.44, 42.27, 51.90
639457, 1.22, 241.90, 294.20, 43.35, 53.21
655457, 1.22, 241.90, 294.20, 44.42, 54.52
671457, 1.22, 241.90, 294.20, 45.50, 55.82
687457, 1.22, 241.80, 294.07, 46.57, 57.13
703457, 1.22, 241.60, 293.83, 47.65, 58.44
719457, 1.22, 241.60, 293.82, 48.72, 59.74
735456, 1.22, 241.60, 293.82, 49.79, 61.05
751457, 1.22, 241.50, 293.70, 50.87, 62.35
767457, 1.22, 241.50, 293.70, 51.94, 63.66
783457, 1.21, 241.30, 292.49, 53.01, 64.96
799457, 1.21, 241.30, 292.49, 54.09, 66.26
815457, 1.21, 241.30, 292.48, 55.16, 67.56
831457, 1.21, 241.20, 292.36, 56.23, 68.86
847457, 1.21, 241.10, 292.24, 57.30, 70.16
863457, 1.21, 241.00, 292.12, 58.37, 71.45
879457, 1.21, 241.10, 292.24, 59.44, 72.75
895457, 1.21, 241.00, 292.12, 60.52, 74.05
911457, 1.21, 240.90, 291.99, 61.59, 75.35
927457, 1.21, 240.90, 291.99, 62.66, 76.65
943457, 1.21, 240.90, 291.99, 63.73, 77.95
959457, 1.21, 240.80, 291.87, 64.80, 79.24
975457, 1.21, 240.80, 291.87, 65.87, 80.54
991457, 1.21, 240.70, 290.78, 66.94, 81.83
1007457, 1.21, 240.70, 290.78, 68.01, 83.13
1023457, 1.21, 240.70, 290.78, 69.08, 84.42
1039457, 1.21, 240.60, 291.62, 70.15, 85.71
1055457, 1.21, 240.50, 290.54, 71.22, 87.01
1071457, 1.21, 240.50, 290.54, 72.29, 88.30
1087456, 1.21, 240.50, 290.54, 73.35, 89.59
1103457, 1.21, 240.50, 290.53, 74.42, 90.88
1119457, 1.21, 240.40, 290.41, 75.49, 92.17
1135457, 1.21, 240.40, 290.41, 76.56, 93.46
1151457, 1.21, 240.30, 290.29, 77.63, 94.75
1167456, 1.21, 240.20, 290.17, 78.70, 96.04
1183457, 1.21, 240.30, 290.29, 79.76, 97.34
1199457, 1.21, 240.20, 290.17, 80.83, 98.62
1215457, 1.21, 240.20, 290.17, 81.90, 99.91
1231457, 1.21, 240.20, 291.13, 82.97, 101.20
1247457, 1.21, 240.10, 290.04, 84.03, 102.49
1263457, 1.21, 240.10, 290.04, 85.10, 103.78
1279457, 1.21, 240.10, 290.04, 86.17, 105.07
1295457, 1.21, 240.00, 289.92, 87.23, 106.36
1311457, 1.21, 240.00, 289.92, 88.30, 107.65
1327457, 1.21, 240.00, 289.92, 89.37, 108.93
1343457, 1.21, 240.00, 289.92, 90.43, 110.22
1359457, 1.21, 239.90, 289.80, 91.50, 111.51
1375457, 1.20, 239.90, 288.84, 92.57, 112.79
1391457, 1.21, 239.90, 289.79, 93.63, 114.08
1407457, 1.20, 239.90, 288.84, 94.70, 115.37
1423457, 1.20, 239.90, 288.83, 95.77, 116.65
1439457, 1.20, 239.80, 288.71, 96.83, 117.94
1455457, 1.20, 239.80, 288.71, 97.90, 119.22
1471457, 1.20, 239.80, 288.71, 98.96, 120.50
1487457, 1.20, 239.80, 288.71, 100.03, 121.79
1503457, 1.20, 239.70, 288.59, 101.09, 123.07
1519457, 1.20, 239.70, 288.59, 102.16, 124.35
1535457, 1.20, 239.70, 288.59, 103.23, 125.64
1551457, 1.20, 239.70, 288.59, 104.29, 126.92
1567457, 1.20, 239.70, 288.59, 105.36, 128.20
1583457, 1.20, 239.70, 288.59, 106.42, 129.49
1599457, 1.20, 239.60, 288.47, 107.49, 130.77
1615457, 1.20, 239.60, 288.47, 108.55, 132.05
1631457, 1.20, 239.60, 288.47, 109.62, 133.33
1647457, 1.20, 239.60, 288.47, 110.68, 134.61
1663457, 1.20, 239.50, 288.35, 111.75, 135.90
1679457, 1.20, 239.60, 288.47, 112.81, 137.18
1695457, 1.20, 239.50, 288.35, 113.88, 138.46
1711457, 1.20, 239.50, 288.35, 114.94, 139.74
1727457, 1.20, 239.50, 288.35, 116.00, 141.02
1743457, 1.20, 239.50, 288.35, 117.07, 142.30
1759457, 1.20, 239.50, 288.34, 118.13, 143.59
1775457, 1.20, 239.50, 287.39, 119.20, 144.87
1791457, 1.20, 239.40, 288.23, 120.26, 146.15
1807456, 1.20, 239.40, 288.22, 121.33, 147.43
1823457, 1.20, 239.40, 288.22, 122.39, 148.71
1839457, 1.20, 239.40, 288.22, 123.45, 149.99
1855457, 1.20, 239.40, 288.22, 124.52, 151.27
1871457, 1.20, 239.40, 288.22, 125.58, 152.55
1887457, 1.20, 239.40, 288.22, 126.65, 153.84
1903457, 1.20, 239.40, 288.22, 127.71, 155.12
1919457, 1.20, 239.40, 288.22, 128.77, 156.40
1935457, 1.20, 239.40, 288.22, 129.84, 157.68
1951457, 1.20, 239.40, 288.22, 130.90, 158.96
1967457, 1.20, 239.30, 288.10, 131.97, 160.24
1983457, 1.20, 239.30, 288.10, 133.03, 161.52
1999457, 1.20, 239.30, 288.10, 134.09, 162.80
2015457, 1.20, 239.30, 288.10, 135.16, 164.08
2031457, 1.20, 239.40, 288.22, 136.22, 165.36
2047457, 1.20, 239.40, 288.22, 137.28, 166.64
2063457, 1.20, 239.40, 287.27, 138.35, 167.92
2079457, 1.20, 239.30, 288.10, 139.41, 169.20
2095457, 1.20, 239.30, 288.10, 140.47, 170.48
2111457, 1.20, 239.30, 288.10, 141.54, 171.76
2127457, 1.20, 239.30, 288.10, 142.60, 173.04
2143457, 1.20, 239.30, 288.10, 143.67, 174.32
2159457, 1.20, 239.30, 288.10, 144.73, 175.60
2175457, 1.20, 239.30, 287.14, 145.79, 176.88
2191457, 1.20, 239.30, 288.10, 146.86, 178.16
2207457, 1.20, 239.30, 288.10, 147.92, 179.44
2223457, 1.20, 239.30, 288.10, 148.98, 180.72
2239457, 1.20, 239.20, 287.98, 150.05, 182.00
2255457, 1.20, 239.30, 288.10, 151.11, 183.28
2271457, 1.20, 239.20, 287.98, 152.17, 184.56
2287457, 1.20, 239.20, 287.98, 153.24, 185.84
2303457, 1.20, 239.30, 288.10, 154.30, 187.12
2319457, 1.20, 239.30, 288.10, 155.36, 188.40
2335457, 1.20, 239.20, 287.98, 156.43, 189.68
2351457, 1.20, 239.20, 287.98, 157.49, 190.96
2367457, 1.20, 239.20, 287.98, 158.55, 192.24
2383457, 1.20, 239.20, 287.02, 159.62, 193.52
2399457, 1.20, 239.20, 287.98, 160.68, 194.80
2415456, 1.20, 239.20, 287.98, 161.74, 196.08
2431457, 1.20, 239.20, 287.02, 162.81, 197.36
2447457, 1.20, 239.20, 287.98, 163.87, 198.64
2463457, 1.20, 239.30, 287.14, 164.93, 199.92
2479457, 1.20, 239.20, 287.98, 166.00, 201.20
2495457, 1.20, 239.30, 288.10, 167.06, 202.48
2511457, 1.20, 239.20, 287.98, 168.12, 203.76
2527456, 1.20, 239.20, 287.98, 169.19, 205.04
2543457, 1.20, 239.30, 288.10, 170.25, 206.32
2559457, 1.20, 239.20, 287.98, 171.31, 207.60
2575457, 1.20, 239.20, 287.98, 172.38, 208.87
2591457, 1.20, 239.20, 287.02, 173.44, 210.15
2607457, 1.20, 239.20, 287.98, 174.50, 211.43
2623457, 1.20, 239.20, 287.98, 175.57, 212.71
2639457, 1.20, 239.20, 287.02, 176.63, 213.99
2655457, 1.20, 239.20, 287.98, 177.69, 215.27
2671457, 1.20, 239.30, 288.10, 178.75, 216.55
2687457, 1.20, 239.20, 287.98, 179.82, 217.83
2703457, 1.20, 239.20, 287.98, 180.88, 219.11
2719457, 1.20, 239.20, 287.98, 181.94, 220.39
2735457, 1.20, 239.20, 287.98, 183.01, 221.67
2751457, 1.20, 239.20, 287.98, 184.07, 222.95
2767457, 1.20, 239.20, 287.02, 185.13, 224.23
2783457, 1.20, 239.20, 287.98, 186.20, 225.51
2799457, 1.20, 239.20, 287.98, 187.26, 226.79
2815457, 1.20, 239.20, 287.98, 188.32, 228.07
2831457, 1.20, 239.20, 287.98, 189.39, 229.35
2847457, 1.20, 239.20, 287.02, 190.45, 230.63
2863456, 1.20, 239.20, 287.98, 191.51, 231.91
2879457, 1.20, 239.20, 287.98, 192.58, 233.19
2895457, 1.20, 239.20, 287.98, 193.64, 234.47
2911457, 1.20, 239.20, 287.02, 194.70, 235.75
2927457, 1.20, 239.20, 287.98, 195.77, 237.02
2943457, 1.20, 239.20, 287.98, 196.83, 238.30
2959457, 1.20, 239.20, 287.98, 197.89, 239.58
2975457, 1.20, 239.20, 287.98, 198.96, 240.86
2991457, 1.20, 239.20, 287.98, 200.02, 242.14
3007457, 1.20, 239.20, 287.98, 201.08, 243.42
3023457, 1.20, 239.20, 287.98, 202.15, 244.70
3039457, 1.20, 239.20, 287.98, 203.21, 245.98
3055457, 1.20, 239.20, 287.98, 204.27, 247.26
3071457, 1.20, 239.20, 287.02, 205.34, 248.54
3087457, 1.20, 239.20, 287.98, 206.40, 249.82
3103457, 1.20, 239.30, 288.10, 207.46, 251.10
3119457, 1.20, 239.20, 287.98, 208.53, 252.38
3135457, 1.20, 239.20, 287.98, 209.59, 253.66
3151457, 1.20, 239.20, 287.98, 210.65, 254.94
3167457, 1.20, 239.20, 287.98, 211.72, 256.22
3183457, 1.20, 239.20, 287.98, 212.78, 257.50
3199457, 1.20, 239.20, 287.98, 213.84, 258.78
3215457, 1.20, 239.20, 287.02, 214.91, 260.05
3231457, 1.20, 239.20, 287.98, 215.97, 261.33
3247457, 1.20, 239.20, 287.98, 217.03, 262.61
3263457, 1.20, 239.30, 287.14, 218.10, 263.89
3279457, 1.20, 239.20, 287.98, 219.16, 265.17
3295457, 1.20, 239.20, 287.98, 220.22, 266.45
3311457, 1.20, 239.20, 287.98, 221.28, 267.73
3327457, 1.20, 239.30, 288.10, 222.35, 269.01
3343457, 1.20, 239.20, 287.98, 223.41, 270.29
3359457, 1.20, 239.20, 287.98, 224.47, 271.57
3375457, 1.20, 239.20, 287.98, 225.54, 272.85
3391457, 1.20, 239.30, 288.10, 226.60, 274.13
3407457, 1.20, 239.20, 287.98, 227.66, 275.41
3423457, 1.20, 239.30, 288.10, 228.73, 276.69
3439457, 1.20, 239.20, 287.98, 229.79, 277.97
3455457, 1.20, 239.20, 287.98, 230.85, 279.25
3471457, 1.20, 239.20, 287.98, 231.92, 280.53
3487457, 1.20, 239.20, 287.98, 232.98, 281.81
3503457, 1.20, 239.20, 287.98, 234.04, 283.09
3519457, 1.20, 239.20, 287.98, 235.11, 284.36
3535457, 1.20, 239.20, 287.98, 236.17, 285.64
3551457, 1.20, 239.30, 288.10, 237.23, 286.92
3567456, 1.20, 239.30, 288.10, 238.30, 288.20
3583457, 1.20, 239.30, 288.10, 239.36, 289.48
3599457, 1.20, 239.20, 287.98, 240.42, 290.76
3615457, 1.20, 239.30, 288.10, 241.49, 292.04
3631457, 1.20, 239.20, 287.98, 242.55, 293.32
3647457, 1.20, 239.30, 288.10, 243.61, 294.60
3663457, 1.20, 239.20, 287.98, 244.68, 295.88
3679457, 1.20, 239.20, 287.98, 245.74, 297.16
3695457, 1.20, 239.20, 287.98, 246.80, 298.44
3711457, 1.20, 239.20, 287.98, 247.87, 299.72
3727457, 1.20, 239.30, 288.10, 248.93, 301.00
3743457, 1.20, 239.20, 287.02, 249.99, 302.28
3759457, 1.20, 239.20, 287.98, 251.06, 303.56
3775457, 1.20, 239.30, 288.10, 252.12, 304.83
3791457, 1.20, 239.20, 287.98, 253.18, 306.11
3807457, 1.20, 239.20, 287.98, 254.25, 307.39
3823457, 1.20, 239.20, 287.98, 255.31, 308.67
3839457, 1.20, 239.30, 288.10, 256.37, 309.95
3855457, 1.20, 239.20, 287.98, 257.44, 311.23
3871457, 1.20, 239.20, 287.98, 258.50, 312.51
3887456, 1.20, 239.20, 287.98, 259.56, 313.79
3903457, 1.20, 239.20, 287.98, 260.62, 315.07
3919457, 1.20, 239.20, 287.98, 261.69, 316.35
3935457, 1.20, 239.20, 287.98, 262.75, 317.63
3951456, 1.20, 239.20, 287.98, 263.81, 318.90
3967457, 1.20, 239.20, 287.02, 264.88, 320.18
3983457, 1.20, 239.20, 287.02, 265.94, 321.46
3999457, 1.20, 239.20, 287.98, 267.00, 322.74
4015457, 1.20, 239.20, 287.98, 268.06, 324.02
4031457, 1.20, 239.20, 287.98, 269.13, 325.30
4047457, 1.20, 239.20, 287.98, 270.19, 326.58
4063457, 1.20, 239.20, 287.98, 271.25, 327.86
4079457, 1.20, 239.20, 287.98, 272.32, 329.14
4095456, 1.20, 239.20, 287.98, 273.38, 330.42
4111457, 1.20, 239.20, 287.98, 274.44, 331.70
4127457, 1.20, 239.20, 287.98, 275.51, 332.97
4143457, 1.20, 239.20, 287.98, 276.57, 334.25
4159457, 1.20, 239.10, 287.86, 277.63, 335.53
4175456, 1.20, 239.10, 287.86, 278.69, 336.81
4191457, 1.20, 239.20, 287.98, 279.76, 338.09
4207457, 1.20, 239.20, 287.98, 280.82, 339.37
4223457, 1.20, 239.20, 287.98, 281.88, 340.65
4239457, 1.20, 239.20, 287.98, 282.95, 341.93
4255456, 1.20, 239.20, 287.98, 284.01, 343.21
4271457, 1.20, 239.20, 287.98, 285.07, 344.49
4287457, 1.20, 239.20, 287.98, 286.14, 345.77
4303457, 1.20, 239.20, 287.98, 287.20, 347.04
4319457, 1.20, 239.20, 287.98, 288.26, 348.32
4335457, 1.20, 239.20, 287.98, 289.32, 349.60
4351457, 1.20, 239.10, 287.86, 290.39, 350.88
4367457, 1.20, 239.20, 287.98, 291.45, 352.16
4383457, 1.20, 239.10, 287.86, 292.51, 353.44
4399457, 1.20, 239.10, 286.90, 293.58, 354.72
4415457, 1.20, 239.20, 287.98, 294.64, 356.00
4431457, 1.20, 239.20, 287.02, 295.70, 357.27
4447457, 1.20, 239.20, 287.98, 296.76, 358.55
4463457, 1.20, 239.20, 287.98, 297.83, 359.83
4479457, 1.20, 239.20, 287.98, 298.89, 361.11
