millis,voltage,current,power,capacity,energy
0, 1.30, 180.30, 234.03, 0.00, 0.00
15399, 1.29, 180.30, 233.31, 0.77, 1.00
31399, 1.29, 180.40, 232.72, 1.57, 2.04
47400, 1.29, 180.40, 232.72, 2.37, 3.07
63400, 1.29, 180.40, 232.00, 3.18, 4.10
79399, 1.29, 180.30, 231.87, 3.98, 5.13
95399, 1.28, 180.40, 231.28, 4.78, 6.16
111399, 1.28, 180.40, 231.28, 5.58, 7.19
127399, 1.28, 180.40, 230.56, 6.38, 8.22
143399, 1.28, 180.30, 230.43, 7.18, 9.24
159399, 1.27, 180.40, 229.84, 7.99, 10.26
175400, 1.27, 180.40, 229.84, 8.79, 11.29
191399, 1.27, 180.40, 229.84, 9.59, 12.31
207399, 1.27, 180.40, 229.11, 10.39, 13.33
223400, 1.27, 180.30, 228.99, 11.19, 14.35
239399, 1.27, 180.40, 229.12, 11.99, 15.37
255399, 1.27, 180.40, 228.39, 12.80, 16.38
271400, 1.27, 180.50, 228.52, 13.60, 17.40
287399, 1.27, 180.40, 228.39, 14.40, 18.41
303399, 1.27, 180.40, 228.39, 15.20, 19.43
319399, 1.26, 180.30, 227.55, 16.00, 20.44
335399, 1.26, 180.40, 227.67, 16.80, 21.45
351399, 1.26, 180.40, 227.67, 17.60, 22.46
367400, 1.26, 180.40, 227.67, 18.41, 23.48
383400, 1.26, 180.40, 226.95, 19.21, 24.48
399399, 1.26, 180.40, 226.95, 20.01, 25.49
415399, 1.26, 180.30, 226.82, 20.81, 26.50
431400, 1.25, 180.30, 226.10, 21.61, 27.51
447399, 1.25, 180.40, 226.23, 22.41, 28.52
463399, 1.25, 180.30, 226.10, 23.22, 29.52
479399, 1.25, 180.30, 226.10, 24.02, 30.53
495399, 1.25, 180.40, 225.51, 24.82, 31.53
511399, 1.25, 180.30, 225.38, 25.62, 32.54
527399, 1.25, 180.40, 225.51, 26.42, 33.54
543399, 1.25, 180.50, 225.63, 27.22, 34.54
559399, 1.25, 180.40, 225.51, 28.03, 35.54
575399, 1.25, 180.30, 224.66, 28.83, 36.54
591399, 1.25, 180.40, 225.51, 29.63, 37.55
607399, 1.25, 180.30, 225.38, 30.43, 38.55
623399, 1.25, 180.30, 224.66, 31.23, 39.55
639399, 1.25, 180.40, 224.79, 32.03, 40.54
655399, 1.25, 180.40, 224.78, 32.83, 41.54
671399, 1.25, 180.30, 224.66, 33.64, 42.54
687400, 1.25, 180.40, 224.78, 34.44, 43.54
703399, 1.24, 180.40, 224.06, 35.24, 44.53
719399, 1.24, 180.40, 224.06, 36.04, 45.53
735399, 1.24, 180.40, 224.06, 36.84, 46.52
751399, 1.24, 180.30, 223.94, 37.64, 47.52
767400, 1.24, 180.30, 223.22, 38.45, 48.51
783399, 1.24, 180.30, 223.94, 39.25, 49.51
799400, 1.24, 180.40, 223.34, 40.05, 50.50
815399, 1.24, 180.40, 223.34, 40.85, 51.49
831399, 1.24, 180.40, 223.34, 41.65, 52.49
847399, 1.24, 180.40, 223.34, 42.45, 53.48
863399, 1.24, 180.30, 223.22, 43.25, 54.47
879399, 1.23, 180.30, 222.49, 44.06, 55.46
895399, 1.23, 180.40, 222.62, 44.86, 56.45
911399, 1.23, 180.30, 222.50, 45.66, 57.44
927399, 1.23, 180.30, 222.50, 46.46, 58.43
943399, 1.23, 180.30, 222.50, 47.26, 59.42
959400, 1.23, 180.30, 222.50, 48.06, 60.41
975399, 1.23, 180.40, 221.90, 48.86, 61.40
991399, 1.23, 180.30, 221.78, 49.67, 62.38
1007399, 1.23, 180.40, 221.90, 50.47, 63.37
1023399, 1.23, 180.40, 221.90, 51.27, 64.36
1039399, 1.23, 180.40, 221.90, 52.07, 65.34
1055399, 1.23, 180.30, 221.77, 52.87, 66.33
1071399, 1.23, 180.30, 221.77, 53.67, 67.32
1087400, 1.23, 180.30, 221.77, 54.48, 68.30
1103399, 1.23, 180.40, 221.90, 55.28, 69.29
1119400, 1.23, 180.30, 221.77, 56.08, 70.27
1135399, 1.23, 180.40, 221.90, 56.88, 71.26
1151399, 1.23, 180.20, 220.93, 57.68, 72.24
