millis,voltage,current,power,capacity,energy
0, 1.22, 180.40, 219.73, 0.00, 0.00
15069, 1.21, 180.50, 218.41, 0.76, 0.92
31069, 1.21, 180.40, 218.29, 1.56, 1.89
47069, 1.21, 180.50, 218.41, 2.36, 2.86
63069, 1.21, 180.50, 217.69, 3.16, 3.83
79069, 1.21, 180.50, 217.69, 3.96, 4.80
95070, 1.20, 180.50, 216.97, 4.77, 5.76
111069, 1.20, 180.60, 217.09, 5.57, 6.73
127069, 1.20, 180.50, 216.25, 6.37, 7.69
143069, 1.20, 180.50, 216.25, 7.17, 8.65
159069, 1.20, 180.50, 216.25, 7.98, 9.61
175069, 1.20, 180.40, 216.13, 8.78, 10.57
191069, 1.19, 180.50, 215.53, 9.58, 11.53
207070, 1.19, 180.40, 215.41, 10.38, 12.49
223069, 1.19, 180.50, 214.80, 11.18, 13.44
239069, 1.19, 180.40, 214.68, 11.99, 14.40
255070, 1.19, 180.40, 214.68, 12.79, 15.35
271069, 1.19, 180.40, 214.68, 13.59, 16.31
287069, 1.19, 180.40, 213.96, 14.39, 17.26
303070, 1.19, 180.50, 214.08, 15.19, 18.21
319069, 1.19, 180.40, 213.96, 15.99, 19.16
335069, 1.19, 180.30, 213.84, 16.80, 20.12
351069, 1.19, 180.40, 213.96, 17.60, 21.07
367070, 1.19, 180.40, 213.96, 18.40, 22.02
383069, 1.19, 180.40, 213.96, 19.20, 22.97
399069, 1.18, 180.50, 213.36, 20.00, 23.92
415069, 1.18, 180.40, 213.24, 20.81, 24.86
431069, 1.18, 180.40, 213.24, 21.61, 25.81
447069, 1.18, 180.40, 213.24, 22.41, 26.76
463070, 1.18, 180.50, 213.36, 23.21, 27.71
479069, 1.18, 180.40, 213.24, 24.01, 28.65
495070, 1.18, 180.40, 213.24, 24.82, 29.60
511069, 1.18, 180.40, 212.52, 25.62, 30.55
527069, 1.18, 180.40, 212.52, 26.42, 31.50
543069, 1.18, 180.40, 212.52, 27.22, 32.44
559069, 1.18, 180.40, 213.24, 28.02, 33.39
575069, 1.18, 180.40, 212.52, 28.82, 34.33
591069, 1.18, 180.40, 212.52, 29.63, 35.28
607070, 1.18, 180.40, 212.52, 30.43, 36.22
623069, 1.18, 180.50, 212.64, 31.23, 37.16
639069, 1.18, 180.50, 212.64, 32.03, 38.11
655069, 1.18, 180.40, 212.52, 32.83, 39.05
671069, 1.18, 180.50, 212.64, 33.64, 40.00
687069, 1.18, 180.50, 212.64, 34.44, 40.94
703069, 1.17, 180.50, 211.91, 35.24, 41.89
719069, 1.17, 180.50, 211.92, 36.04, 42.83
735069, 1.17, 180.50, 211.91, 36.84, 43.77
751069, 1.17, 180.40, 211.80, 37.65, 44.72
767069, 1.17, 180.50, 211.91, 38.45, 45.66
783069, 1.17, 180.50, 211.91, 39.25, 46.61
799069, 1.17, 180.50, 211.91, 40.05, 47.55
815069, 1.17, 180.50, 211.92, 40.85, 48.49
831069, 1.17, 180.40, 211.80, 41.66, 49.43
847070, 1.17, 180.50, 211.92, 42.46, 50.38
863069, 1.17, 180.50, 211.92, 43.26, 51.32
879069, 1.17, 180.40, 211.80, 44.06, 52.26
895069, 1.18, 180.50, 212.64, 44.87, 53.20
911069, 1.17, 180.50, 211.91, 45.67, 54.15
927069, 1.18, 180.40, 212.52, 46.47, 55.09
943069, 1.17, 180.50, 211.91, 47.27, 56.03
959069, 1.17, 180.50, 211.92, 48.07, 56.97
975070, 1.17, 180.50, 211.92, 48.88, 57.92
991069, 1.17, 180.50, 211.92, 49.68, 58.86
1007069, 1.17, 180.40, 211.80, 50.48, 59.80
1023069, 1.17, 180.50, 211.92, 51.28, 60.74
1039069, 1.17, 180.50, 211.91, 52.09, 61.68
1055069, 1.17, 180.50, 211.92, 52.89, 62.62
1071070, 1.17, 180.50, 211.92, 53.69, 63.57
1087069, 1.17, 180.50, 211.92, 54.49, 64.51
1103069, 1.17, 180.50, 211.92, 55.29, 65.45
1119069, 1.17, 180.50, 211.92, 56.10, 66.39
1135069, 1.17, 180.50, 211.91, 56.90, 67.33
1151069, 1.17, 180.40, 211.80, 57.70, 68.27
1167069, 1.17, 180.50, 211.92, 58.50, 69.22
1183069, 1.17, 180.50, 211.92, 59.30, 70.16
1199069, 1.17, 180.50, 211.91, 60.11, 71.10
1215069, 1.17, 180.60, 212.03, 60.91, 72.04
1231070, 1.17, 180.40, 211.80, 61.71, 72.98
1247069, 1.17, 180.50, 211.92, 62.51, 73.93
1263069, 1.17, 180.50, 211.92, 63.31, 74.87
1279069, 1.17, 180.60, 212.03, 64.12, 75.81
1295069, 1.17, 180.40, 211.80, 64.92, 76.75
1311069, 1.17, 180.50, 211.92, 65.72, 77.69
1327069, 1.17, 180.50, 211.91, 66.52, 78.63
1343069, 1.17, 180.50, 211.92, 67.33, 79.58
1359069, 1.17, 180.40, 211.80, 68.13, 80.52
1375070, 1.17, 180.40, 211.80, 68.93, 81.46
1391069, 1.17, 180.50, 211.91, 69.73, 82.40
1407069, 1.17, 180.50, 211.91, 70.53, 83.34
1423069, 1.17, 180.50, 211.92, 71.34, 84.29
1439070, 1.17, 180.40, 211.80, 72.14, 85.23
1455069, 1.17, 180.50, 211.92, 72.94, 86.17
1471069, 1.17, 180.50, 211.92, 73.74, 87.11
1487069, 1.17, 180.40, 211.80, 74.54, 88.05
1503069, 1.17, 180.50, 211.91, 75.35, 88.99
1519069, 1.17, 180.40, 211.80, 76.15, 89.94
1535069, 1.17, 180.50, 211.92, 76.95, 90.88
1551069, 1.17, 180.50, 211.92, 77.75, 91.82
1567069, 1.17, 180.50, 211.91, 78.55, 92.76
1583069, 1.17, 180.40, 211.80, 79.36, 93.70
1599069, 1.17, 180.50, 211.92, 80.16, 94.64
1615069, 1.17, 180.50, 211.92, 80.96, 95.59
1631069, 1.17, 180.40, 211.80, 81.76, 96.53
1647069, 1.17, 180.50, 211.92, 82.57, 97.47
1663070, 1.17, 180.40, 211.80, 83.37, 98.41
1679069, 1.17, 180.50, 211.91, 84.17, 99.35
1695069, 1.17, 180.40, 211.80, 84.97, 100.30
1711069, 1.17, 180.40, 211.80, 85.77, 101.24
1727069, 1.17, 180.40, 211.80, 86.58, 102.18
1743069, 1.17, 180.50, 211.92, 87.38, 103.12
1759069, 1.17, 180.40, 211.80, 88.18, 104.06
1775069, 1.17, 180.50, 211.92, 88.98, 105.00
1791070, 1.17, 180.50, 211.91, 89.78, 105.95
1807070, 1.17, 180.50, 211.92, 90.59, 106.89
1823069, 1.17, 180.50, 211.91, 91.39, 107.83
1839069, 1.18, 180.40, 212.52, 92.19, 108.77
1855069, 1.17, 180.40, 211.80, 92.99, 109.71
1871069, 1.17, 180.50, 211.91, 93.79, 110.66
1887070, 1.17, 180.40, 211.80, 94.60, 111.60
1903069, 1.17, 180.50, 211.92, 95.40, 112.54
1919069, 1.17, 180.40, 211.80, 96.20, 113.48
1935069, 1.17, 180.50, 211.91, 97.00, 114.42
1951069, 1.17, 180.40, 211.80, 97.80, 115.37
1967069, 1.17, 180.50, 211.91, 98.61, 116.31
1983069, 1.17, 180.50, 211.92, 99.41, 117.25
1999069, 1.17, 180.50, 211.92, 100.21, 118.19
2015069, 1.17, 180.40, 211.80, 101.01, 119.13
2031070, 1.18, 180.50, 212.64, 101.81, 120.08
2047069, 1.17, 180.40, 211.80, 102.62, 121.02
2063069, 1.17, 180.50, 211.92, 103.42, 121.96
2079069, 1.17, 180.40, 211.80, 104.22, 122.90
2095069, 1.17, 180.40, 211.80, 105.02, 123.84
2111069, 1.17, 180.50, 211.91, 105.82, 124.79
2127069, 1.17, 180.50, 211.91, 106.63, 125.73
2143069, 1.17, 180.50, 211.92, 107.43, 126.67
2159069, 1.18, 180.50, 212.64, 108.23, 127.61
2175069, 1.17, 180.50, 211.92, 109.03, 128.56
2191069, 1.17, 180.50, 211.92, 109.84, 129.50
2207069, 1.17, 180.50, 211.91, 110.64, 130.44
2223069, 1.17, 180.40, 211.80, 111.44, 131.38
2239070, 1.17, 180.40, 211.80, 112.24, 132.33
2255069, 1.17, 180.40, 211.80, 113.04, 133.27
2271069, 1.17, 180.40, 211.80, 113.85, 134.21
2287069, 1.17, 180.50, 211.91, 114.65, 135.15
2303069, 1.17, 180.50, 211.92, 115.45, 136.10
2319069, 1.17, 180.40, 211.80, 116.25, 137.04
2335069, 1.18, 180.50, 212.64, 117.05, 137.98
2351069, 1.17, 180.50, 211.92, 117.86, 138.92
2367070, 1.18, 180.50, 212.64, 118.66, 139.87
2383070, 1.17, 180.40, 211.80, 119.46, 140.81
2399069, 1.17, 180.50, 211.91, 120.26, 141.75
2415069, 1.17, 180.40, 211.80, 121.06, 142.69
2431069, 1.18, 180.50, 212.64, 121.86, 143.64
2447069, 1.17, 180.50, 211.91, 122.67, 144.58
2463069, 1.18, 180.30, 212.40, 123.47, 145.52
2479070, 1.17, 180.50, 211.91, 124.27, 146.46
2495070, 1.17, 180.50, 211.91, 125.07, 147.41
2511069, 1.17, 180.40, 211.80, 125.87, 148.35
2527069, 1.18, 180.50, 212.64, 126.68, 149.29
2543069, 1.17, 180.50, 211.91, 127.48, 150.23
2559069, 1.18, 180.50, 212.64, 128.28, 151.18
2575069, 1.17, 180.40, 211.80, 129.08, 152.12
2591070, 1.17, 180.40, 211.80, 129.88, 153.06
2607069, 1.17, 180.40, 211.80, 130.69, 154.00
2623070, 1.17, 180.50, 211.91, 131.49, 154.95
2639069, 1.17, 180.40, 211.80, 132.29, 155.89
2655069, 1.18, 180.40, 212.52, 133.09, 156.83
2671069, 1.18, 180.40, 212.52, 133.89, 157.78
2687070, 1.18, 180.50, 212.64, 134.70, 158.72
2703069, 1.17, 180.40, 211.80, 135.50, 159.66
2719069, 1.18, 180.50, 212.64, 136.30, 160.60
2735069, 1.17, 180.40, 211.80, 137.10, 161.55
2751070, 1.17, 180.40, 211.80, 137.90, 162.49
2767070, 1.17, 180.40, 211.80, 138.71, 163.43
2783069, 1.17, 180.50, 211.92, 139.51, 164.37
2799070, 1.17, 180.40, 211.80, 140.31, 165.32
2815069, 1.17, 180.40, 211.80, 141.11, 166.26
2831069, 1.18, 180.40, 212.52, 141.91, 167.20
2847069, 1.18, 180.50, 212.64, 142.72, 168.14
2863070, 1.17, 180.40, 211.80, 143.52, 169.09
2879069, 1.18, 180.40, 212.52, 144.32, 170.03
2895069, 1.18, 180.40, 212.52, 145.12, 170.97
2911069, 1.17, 180.40, 211.80, 145.92, 171.92
2927069, 1.18, 180.40, 212.52, 146.72, 172.86
2943069, 1.17, 180.50, 211.92, 147.53, 173.80
2959070, 1.17, 180.40, 211.80, 148.33, 174.74
2975069, 1.17, 180.40, 211.80, 149.13, 175.69
2991069, 1.17, 180.50, 211.91, 149.93, 176.63
3007069, 1.17, 180.40, 211.80, 150.73, 177.57
3023069, 1.17, 180.40, 211.80, 151.54, 178.51
3039069, 1.18, 180.40, 212.52, 152.34, 179.46
3055069, 1.17, 180.40, 211.80, 153.14, 180.40
3071069, 1.18, 180.40, 212.52, 153.94, 181.34
3087070, 1.17, 180.50, 211.91, 154.74, 182.28
3103069, 1.17, 180.50, 211.91, 155.55, 183.23
3119070, 1.18, 180.40, 212.52, 156.35, 184.17
3135069, 1.17, 180.30, 211.68, 157.15, 185.11
3151069, 1.18, 180.50, 212.64, 157.95, 186.05
3167070, 1.18, 180.50, 212.63, 158.75, 187.00
3183069, 1.17, 180.40, 211.80, 159.55, 187.94
3199069, 1.17, 180.40, 211.80, 160.36, 188.88
3215069, 1.18, 180.50, 212.63, 161.16, 189.83
3231070, 1.18, 180.30, 212.40, 161.96, 190.77
3247070, 1.17, 180.40, 211.80, 162.76, 191.71
3263069, 1.17, 180.50, 211.92, 163.56, 192.65
3279070, 1.17, 180.50, 211.91, 164.37, 193.60
3295069, 1.17, 180.40, 211.80, 165.17, 194.54
3311070, 1.17, 180.40, 211.80, 165.97, 195.48
3327069, 1.17, 180.40, 211.80, 166.77, 196.42
3343069, 1.18, 180.50, 212.64, 167.57, 197.37
3359069, 1.17, 180.40, 211.80, 168.38, 198.31
3375070, 1.17, 180.50, 211.91, 169.18, 199.25
3391069, 1.17, 180.40, 211.80, 169.98, 200.19
3407069, 1.18, 180.40, 212.52, 170.78, 201.14
3423070, 1.18, 180.40, 212.52, 171.58, 202.08
3439069, 1.17, 180.50, 211.92, 172.39, 203.02
3455069, 1.18, 180.40, 212.52, 173.19, 203.96
3471069, 1.17, 180.50, 211.92, 173.99, 204.91
3487069, 1.17, 180.50, 211.92, 174.79, 205.85
3503069, 1.17, 180.40, 211.80, 175.59, 206.79
3519069, 1.17, 180.40, 211.80, 176.40, 207.73
3535069, 1.18, 180.50, 212.64, 177.20, 208.68
3551069, 1.17, 180.50, 211.92, 178.00, 209.62
3567070, 1.17, 180.50, 211.92, 178.80, 210.56
3583069, 1.17, 180.40, 211.80, 179.61, 211.50
3599069, 1.17, 180.40, 211.80, 180.41, 212.44
3615070, 1.18, 180.50, 212.64, 181.21, 213.39
3631069, 1.17, 180.50, 211.91, 182.01, 214.33
3647069, 1.17, 180.50, 211.91, 182.81, 215.27
3663069, 1.17, 180.50, 211.91, 183.62, 216.21
3679069, 1.17, 180.50, 211.91, 184.42, 217.16
3695069, 1.18, 180.50, 212.64, 185.22, 218.10
3711069, 1.17, 180.50, 211.91, 186.02, 219.04
3727069, 1.18, 180.50, 212.64, 186.82, 219.98
3743069, 1.17, 180.50, 211.92, 187.63, 220.93
3759070, 1.17, 180.40, 211.80, 188.43, 221.87
3775069, 1.17, 180.50, 211.92, 189.23, 222.81
3791069, 1.17, 180.60, 212.03, 190.03, 223.75
3807069, 1.17, 180.50, 211.91, 190.83, 224.70
3823070, 1.17, 180.40, 211.80, 191.64, 225.64
