millis,voltage,current,power,capacity,energy
0, 1.40, 180.10, 251.78, 0.00, 0.00
15028, 1.40, 180.10, 251.78, 0.75, 1.05
31028, 1.39, 180.30, 251.34, 1.55, 2.17
47029, 1.39, 180.30, 250.62, 2.35, 3.28
63028, 1.39, 180.30, 249.90, 3.16, 4.39
79028, 1.38, 180.30, 249.18, 3.96, 5.50
95029, 1.38, 180.30, 249.18, 4.76, 6.61
111028, 1.38, 180.30, 248.46, 5.56, 7.72
127028, 1.38, 180.40, 248.60, 6.36, 8.82
143028, 1.37, 180.30, 247.74, 7.16, 9.92
159028, 1.37, 180.30, 247.74, 7.96, 11.02
175028, 1.37, 180.30, 247.02, 8.77, 12.12
191028, 1.37, 180.30, 247.02, 9.57, 13.22
207028, 1.37, 180.30, 246.30, 10.37, 14.32
223028, 1.37, 180.30, 246.30, 11.17, 15.41
239028, 1.36, 180.30, 245.58, 11.97, 16.50
255028, 1.36, 180.40, 245.71, 12.77, 17.60
271028, 1.36, 180.30, 244.85, 13.57, 18.69
287028, 1.36, 180.30, 244.85, 14.38, 19.77
303028, 1.36, 180.30, 244.85, 15.18, 20.86
319028, 1.35, 180.30, 244.13, 15.98, 21.95
335029, 1.35, 180.40, 244.27, 16.78, 23.03
351029, 1.35, 180.40, 243.55, 17.58, 24.12
367028, 1.35, 180.30, 243.41, 18.38, 25.20
383028, 1.35, 180.30, 243.41, 19.18, 26.28
399028, 1.35, 180.40, 243.55, 19.99, 27.36
415028, 1.35, 180.40, 242.82, 20.79, 28.44
431028, 1.34, 180.30, 241.97, 21.59, 29.52
447028, 1.34, 180.40, 242.10, 22.39, 30.59
463028, 1.34, 180.20, 241.83, 23.19, 31.67
479028, 1.34, 180.30, 241.97, 23.99, 32.74
495028, 1.34, 180.40, 241.38, 24.79, 33.82
511028, 1.34, 180.30, 241.25, 25.60, 34.89
527028, 1.33, 180.30, 240.53, 26.40, 35.96
543028, 1.33, 180.30, 240.53, 27.20, 37.03
559028, 1.33, 180.30, 240.53, 28.00, 38.10
575029, 1.33, 180.30, 239.80, 28.80, 39.17
591028, 1.33, 180.30, 239.81, 29.60, 40.23
607028, 1.33, 180.30, 239.09, 30.40, 41.30
623028, 1.33, 180.40, 239.22, 31.21, 42.36
639028, 1.33, 180.30, 239.09, 32.01, 43.43
655028, 1.33, 180.40, 239.22, 32.81, 44.49
671028, 1.32, 180.40, 238.49, 33.61, 45.55
687028, 1.33, 180.30, 239.08, 34.41, 46.61
703028, 1.32, 180.30, 238.36, 35.21, 47.67
719029, 1.32, 180.30, 238.36, 36.02, 48.73
735028, 1.32, 180.40, 237.77, 36.82, 49.79
751028, 1.32, 180.30, 237.64, 37.62, 50.85
767029, 1.32, 180.30, 237.64, 38.42, 51.90
783028, 1.32, 180.40, 237.77, 39.22, 52.96
799029, 1.31, 180.30, 236.92, 40.02, 54.01
815028, 1.31, 180.30, 236.92, 40.82, 55.07
831028, 1.31, 180.40, 236.33, 41.63, 56.12
847028, 1.31, 180.30, 236.92, 42.43, 57.17
863029, 1.31, 180.40, 236.33, 43.23, 58.22
879028, 1.31, 180.40, 236.33, 44.03, 59.27
895028, 1.31, 180.40, 235.61, 44.83, 60.32
911028, 1.31, 180.30, 235.48, 45.63, 61.37
927028, 1.31, 180.40, 235.61, 46.44, 62.42
943028, 1.31, 180.30, 235.48, 47.24, 63.47
959029, 1.31, 180.30, 235.48, 48.04, 64.51
975028, 1.30, 180.40, 234.89, 48.84, 65.56
991029, 1.30, 180.40, 234.89, 49.64, 66.60
1007028, 1.30, 180.40, 234.89, 50.44, 67.64
1023028, 1.30, 180.30, 234.76, 51.24, 68.69
1039028, 1.30, 180.40, 234.17, 52.05, 69.73
1055029, 1.30, 180.40, 234.17, 52.85, 70.77
1071028, 1.30, 180.40, 234.16, 53.65, 71.81
1087028, 1.30, 180.40, 234.17, 54.45, 72.85
1103028, 1.29, 180.40, 233.44, 55.25, 73.89
1119028, 1.29, 180.40, 233.44, 56.05, 74.93
1135028, 1.29, 180.30, 233.31, 56.86, 75.96
1151028, 1.29, 180.30, 233.31, 57.66, 77.00
1167028, 1.29, 180.40, 232.72, 58.46, 78.04
1183028, 1.29, 180.40, 232.72, 59.26, 79.07
1199028, 1.29, 180.30, 232.59, 60.06, 80.11
1215028, 1.29, 180.30, 232.59, 60.86, 81.14
1231028, 1.29, 180.30, 232.59, 61.66, 82.17
1247028, 1.29, 180.40, 232.00, 62.47, 83.20
1263028, 1.29, 180.30, 232.59, 63.27, 84.24
1279028, 1.29, 180.30, 231.87, 64.07, 85.27
1295028, 1.29, 180.30, 231.87, 64.87, 86.30
1311028, 1.29, 180.30, 231.87, 65.67, 87.33
1327028, 1.28, 180.30, 231.15, 66.47, 88.35
1343028, 1.28, 180.30, 231.15, 67.27, 89.38
1359028, 1.28, 180.40, 231.28, 68.08, 90.41
1375028, 1.28, 180.40, 230.56, 68.88, 91.44
1391028, 1.28, 180.40, 231.28, 69.68, 92.46
1407028, 1.28, 180.40, 231.28, 70.48, 93.49
1423028, 1.28, 180.40, 230.56, 71.28, 94.51
1439028, 1.28, 180.30, 230.43, 72.08, 95.54
1455028, 1.28, 180.50, 230.69, 72.88, 96.56
1471028, 1.28, 180.30, 230.43, 73.69, 97.58
1487028, 1.27, 180.30, 229.71, 74.49, 98.61
1503029, 1.27, 180.30, 229.71, 75.29, 99.63
1519029, 1.27, 180.30, 229.71, 76.09, 100.65
1535028, 1.27, 180.30, 229.71, 76.89, 101.67
1551028, 1.27, 180.30, 229.71, 77.69, 102.69
1567028, 1.27, 180.40, 229.12, 78.50, 103.71
1583028, 1.27, 180.40, 229.11, 79.30, 104.73
1599028, 1.27, 180.30, 228.99, 80.10, 105.74
1615029, 1.27, 180.40, 229.11, 80.90, 106.76
1631028, 1.27, 180.30, 228.27, 81.70, 107.78
1647028, 1.27, 180.30, 228.27, 82.50, 108.80
1663028, 1.27, 180.40, 228.39, 83.30, 109.81
1679029, 1.27, 180.30, 228.27, 84.11, 110.83
1695028, 1.27, 180.30, 228.27, 84.91, 111.84
1711028, 1.27, 180.40, 228.39, 85.71, 112.86
1727029, 1.27, 180.30, 228.26, 86.51, 113.87
1743028, 1.26, 180.30, 227.54, 87.31, 114.88
1759028, 1.27, 180.40, 228.39, 88.11, 115.89
1775028, 1.26, 180.30, 227.54, 88.91, 116.90
1791028, 1.26, 180.30, 226.82, 89.72, 117.92
1807028, 1.26, 180.40, 227.67, 90.52, 118.93
1823028, 1.26, 180.40, 227.67, 91.32, 119.94
1839028, 1.26, 180.30, 226.82, 92.12, 120.95
1855028, 1.26, 180.30, 226.82, 92.92, 121.96
1871028, 1.26, 180.30, 226.82, 93.72, 122.96
1887028, 1.26, 180.30, 226.82, 94.53, 123.97
1903028, 1.26, 180.30, 226.82, 95.33, 124.98
1919028, 1.26, 180.30, 226.82, 96.13, 125.99
1935028, 1.25, 180.40, 226.23, 96.93, 127.00
1951029, 1.26, 180.30, 226.83, 97.73, 128.00
1967028, 1.25, 180.40, 226.23, 98.53, 129.01
