millis,voltage,current,power,capacity,energy
0, 1.17, 500.12, 583.13, 0.00, 0.00
15525, 1.17, 499.80, 582.76, 2.16, 2.51
31525, 1.16, 499.32, 580.19, 4.38, 5.09
47525, 1.16, 499.60, 580.52, 6.60, 7.67
63525, 1.16, 499.72, 578.64, 8.82, 10.24
79525, 1.16, 499.52, 578.42, 11.04, 12.82
95525, 1.15, 499.52, 576.42, 13.26, 15.38
111525, 1.15, 499.20, 576.05, 15.48, 17.95
127525, 1.15, 499.60, 576.51, 17.70, 20.51
143526, 1.15, 499.52, 574.42, 19.92, 23.07
159525, 1.15, 499.52, 574.42, 22.14, 25.62
175526, 1.15, 499.32, 574.19, 24.36, 28.18
191525, 1.15, 499.32, 574.18, 26.58, 30.73
207525, 1.15, 499.32, 572.20, 28.79, 33.28
223526, 1.15, 499.32, 572.20, 31.01, 35.83
239526, 1.15, 499.40, 572.28, 33.23, 38.37
255526, 1.15, 499.52, 572.43, 35.45, 40.92
271525, 1.15, 499.32, 572.20, 37.67, 43.46
287526, 1.14, 499.60, 570.51, 39.89, 46.00
303526, 1.14, 499.32, 570.20, 42.11, 48.54
319525, 1.14, 499.60, 570.51, 44.33, 51.07
335525, 1.14, 499.32, 570.19, 46.55, 53.61
351525, 1.14, 499.40, 570.27, 48.77, 56.15
367525, 1.14, 499.40, 568.27, 50.99, 58.68
383525, 1.14, 499.40, 570.28, 53.21, 61.21
399525, 1.14, 499.20, 570.05, 55.43, 63.74
415526, 1.14, 499.40, 568.28, 57.65, 66.28
431525, 1.14, 499.52, 568.42, 59.87, 68.81
447526, 1.14, 499.40, 570.28, 62.09, 71.34
463525, 1.14, 499.52, 568.42, 64.31, 73.87
479525, 1.14, 499.60, 568.51, 66.53, 76.40
495525, 1.14, 499.40, 568.28, 68.75, 78.93
511525, 1.14, 499.52, 568.43, 70.97, 81.46
527526, 1.14, 499.32, 570.20, 73.19, 83.99
543526, 1.14, 499.52, 568.42, 75.41, 86.51
559525, 1.14, 499.20, 568.05, 77.63, 89.04
575526, 1.14, 499.40, 568.28, 79.85, 91.57
591525, 1.14, 499.52, 568.42, 82.07, 94.09
607526, 1.14, 499.40, 568.29, 84.28, 96.62
623525, 1.14, 499.52, 568.42, 86.50, 99.15
639525, 1.13, 499.20, 566.06, 88.72, 101.67
654527, 1.14, 499.72, 568.66, 90.80, 104.04
670526, 1.13, 499.72, 566.66, 93.02, 106.56
686526, 1.14, 499.40, 568.28, 95.24, 109.09
702527, 1.13, 499.52, 566.42, 97.46, 111.61
718527, 1.14, 499.40, 568.30, 99.68, 114.13
734526, 1.14, 499.32, 568.20, 101.90, 116.66
750526, 1.14, 499.20, 568.05, 104.12, 119.18
766526, 1.14, 499.40, 568.28, 106.34, 121.70
782526, 1.13, 499.32, 566.20, 108.56, 124.23
798527, 1.14, 499.20, 568.05, 110.78, 126.75
814527, 1.14, 499.20, 568.06, 113.00, 129.28
