millis,voltage,current,power,capacity,energy
0, 1.34, 500.60, 671.85, 0.00, 0.00
15032, 1.34, 500.72, 670.00, 2.09, 2.80
31032, 1.34, 500.52, 669.73, 4.32, 5.77
47033, 1.33, 500.72, 668.00, 6.54, 8.74
63033, 1.33, 500.60, 667.85, 8.77, 11.71
79032, 1.33, 499.20, 663.90, 10.99, 14.67
95032, 1.33, 500.72, 665.99, 13.22, 17.62
111032, 1.32, 500.72, 662.00, 15.44, 20.57
127032, 1.32, 499.32, 660.07, 17.66, 23.50
143032, 1.32, 500.60, 661.84, 19.89, 26.44
159032, 1.32, 500.60, 659.82, 22.11, 29.38
175032, 1.32, 500.92, 660.25, 24.34, 32.31
191032, 1.31, 500.80, 658.08, 26.56, 35.24
207032, 1.31, 500.52, 655.72, 28.79, 38.16
223033, 1.31, 500.52, 655.73, 31.01, 41.08
239032, 1.31, 500.72, 657.97, 33.24, 44.00
255033, 1.31, 499.20, 651.92, 35.46, 46.91
271032, 1.31, 499.40, 652.18, 37.68, 49.81
287032, 1.30, 499.12, 649.82, 39.90, 52.70
303032, 1.30, 499.12, 647.84, 42.12, 55.59
319032, 1.30, 499.40, 648.19, 44.34, 58.46
335032, 1.29, 499.20, 645.92, 46.56, 61.34
351032, 1.29, 500.92, 646.23, 48.78, 64.22
367033, 1.29, 500.80, 648.06, 51.01, 67.10
383032, 1.29, 500.72, 645.95, 53.23, 69.97
399032, 1.29, 500.92, 646.21, 55.46, 72.84
415032, 1.29, 499.52, 644.33, 57.68, 75.71
431032, 1.29, 499.52, 644.35, 59.90, 78.57
447032, 1.29, 499.60, 644.43, 62.12, 81.43
463032, 1.29, 500.72, 643.96, 64.35, 84.30
479032, 1.29, 500.92, 644.22, 66.57, 87.16
495032, 1.29, 499.40, 642.18, 68.80, 90.02
511032, 1.28, 499.52, 640.34, 71.02, 92.87
527032, 1.28, 499.40, 640.20, 73.24, 95.71
543032, 1.28, 499.00, 639.68, 75.45, 98.56
559032, 1.28, 499.20, 637.93, 77.67, 101.40
575032, 1.28, 500.80, 640.05, 79.90, 104.24
591032, 1.27, 500.60, 637.79, 82.12, 107.09
607032, 1.27, 500.92, 638.22, 84.35, 109.93
623032, 1.27, 501.00, 638.31, 86.58, 112.76
639032, 1.27, 500.52, 637.70, 88.80, 115.60
655032, 1.27, 499.32, 634.09, 91.02, 118.42
671032, 1.27, 499.32, 634.11, 93.24, 121.24
687032, 1.27, 499.32, 632.08, 95.46, 124.06
703033, 1.27, 499.52, 634.35, 97.68, 126.88
719032, 1.27, 499.40, 632.20, 99.90, 129.69
735032, 1.27, 499.20, 631.94, 102.12, 132.50
751032, 1.27, 499.20, 631.96, 104.34, 135.30
767032, 1.26, 499.00, 629.69, 106.56, 138.11
783032, 1.26, 500.92, 632.20, 108.78, 140.92
799033, 1.27, 500.80, 634.05, 111.01, 143.72
815033, 1.26, 500.80, 630.05, 113.23, 146.53
831032, 1.26, 499.32, 628.10, 115.45, 149.33
847032, 1.26, 499.32, 628.11, 117.67, 152.12
863033, 1.26, 499.40, 628.21, 119.89, 154.92
879032, 1.26, 499.32, 628.10, 122.11, 157.70
895032, 1.25, 500.60, 627.79, 124.33, 160.50
911033, 1.26, 499.32, 628.11, 126.56, 163.28
927032, 1.26, 499.40, 628.22, 128.78, 166.07
943032, 1.25, 499.00, 625.71, 130.99, 168.85
959032, 1.25, 500.80, 626.04, 133.22, 171.63
975032, 1.25, 501.00, 628.29, 135.44, 174.42
991033, 1.25, 500.92, 626.20, 137.67, 177.20
1007032, 1.25, 500.92, 624.19, 139.90, 179.98
1023032, 1.25, 501.00, 624.27, 142.12, 182.76
1039032, 1.25, 500.80, 626.05, 144.35, 185.54
1055032, 1.25, 500.80, 624.04, 146.57, 188.31
1071033, 1.25, 499.40, 622.21, 148.79, 191.08
1087033, 1.24, 499.20, 619.97, 151.01, 193.84
1103032, 1.24, 499.20, 619.96, 153.23, 196.59
1119032, 1.24, 499.12, 617.86, 155.45, 199.34
1135032, 1.24, 499.40, 618.22, 157.67, 202.09
1151033, 1.24, 499.20, 619.96, 159.89, 204.85
1167032, 1.24, 499.40, 618.23, 162.11, 207.59
1183032, 1.24, 499.00, 617.72, 164.33, 210.34
1199032, 1.24, 499.32, 618.14, 166.55, 213.09
1215033, 1.24, 499.40, 618.21, 168.77, 215.84
1231033, 1.23, 499.60, 616.48, 170.99, 218.58
1247032, 1.23, 499.40, 616.21, 173.20, 221.33
1263033, 1.23, 499.20, 615.98, 175.42, 224.06
1279032, 1.23, 499.40, 616.22, 177.64, 226.81
1295032, 1.23, 499.20, 615.99, 179.86, 229.54
1311032, 1.23, 499.40, 616.21, 182.08, 232.28
1327032, 1.23, 500.52, 615.68, 184.30, 235.02
1343032, 1.23, 501.00, 616.27, 186.53, 237.76
1359033, 1.23, 500.52, 615.68, 188.76, 240.50
1375032, 1.23, 500.60, 615.78, 190.98, 243.24
1391033, 1.23, 499.60, 616.48, 193.20, 245.97
1407032, 1.23, 499.12, 613.88, 195.42, 248.70
1423033, 1.23, 499.20, 613.98, 197.64, 251.43
1439033, 1.23, 499.32, 614.13, 199.86, 254.16
1455032, 1.23, 499.32, 614.12, 202.08, 256.89
1471032, 1.23, 499.32, 612.14, 204.30, 259.61
1487032, 1.23, 499.20, 611.97, 206.51, 262.34
1503032, 1.23, 500.32, 613.42, 208.73, 265.06
1519032, 1.23, 500.80, 614.03, 210.96, 267.78
1535032, 1.23, 500.80, 614.02, 213.19, 270.51
1551032, 1.22, 500.80, 612.02, 215.41, 273.23
1567033, 1.22, 499.40, 610.23, 217.63, 275.95
1583032, 1.22, 499.32, 610.15, 219.85, 278.66
1599032, 1.22, 499.52, 610.39, 222.07, 281.37
1615032, 1.22, 499.32, 608.15, 224.29, 284.09
1631032, 1.22, 500.40, 611.52, 226.52, 286.80
1647032, 1.22, 500.80, 612.03, 228.74, 289.52
1663032, 1.22, 500.80, 612.01, 230.96, 292.23
1679033, 1.22, 500.60, 609.76, 233.19, 294.94
1695032, 1.22, 500.72, 611.91, 235.42, 297.66
1711033, 1.21, 500.60, 607.76, 237.64, 300.37
1727033, 1.21, 500.92, 608.16, 239.87, 303.08
1743032, 1.22, 501.00, 610.27, 242.09, 305.78
1759032, 1.21, 500.92, 608.16, 244.32, 308.49
1775032, 1.22, 499.12, 607.89, 246.54, 311.19
1791032, 1.21, 499.60, 606.48, 248.76, 313.89
1807032, 1.21, 499.32, 606.14, 250.98, 316.58
1823032, 1.21, 499.32, 606.15, 253.19, 319.28
1839032, 1.21, 500.92, 608.16, 255.42, 321.98
1855033, 1.21, 500.72, 607.90, 257.64, 324.68
1871033, 1.21, 500.80, 608.00, 259.87, 327.38
1887033, 1.21, 500.80, 605.99, 262.09, 330.08
1903032, 1.21, 500.60, 605.77, 264.32, 332.77
1919032, 1.21, 500.92, 608.16, 266.54, 335.47
1935032, 1.21, 499.12, 605.89, 268.77, 338.16
1951032, 1.21, 499.52, 604.39, 270.99, 340.85
1967032, 1.21, 499.52, 604.39, 273.21, 343.53
1983032, 1.21, 499.20, 603.99, 275.42, 346.21
1999032, 1.21, 500.92, 606.16, 277.64, 348.90
2015032, 1.21, 500.92, 606.17, 279.87, 351.59
2031032, 1.21, 500.60, 605.77, 282.10, 354.28
2047032, 1.21, 500.52, 603.66, 284.32, 356.97
2063032, 1.21, 501.00, 604.24, 286.55, 359.65
2079032, 1.21, 500.60, 603.76, 288.77, 362.33
2095032, 1.21, 499.12, 601.90, 291.00, 365.01
2111032, 1.20, 499.32, 600.15, 293.22, 367.69
2127032, 1.20, 499.40, 600.24, 295.43, 370.36
2143033, 1.20, 499.20, 600.01, 297.65, 373.03
2159032, 1.20, 500.80, 602.00, 299.87, 375.70
2175032, 1.20, 500.72, 601.91, 302.10, 378.37
2191032, 1.20, 501.00, 602.24, 304.32, 381.05
2207032, 1.20, 499.20, 600.00, 306.55, 383.72
2223032, 1.20, 499.20, 600.00, 308.77, 386.39
2239033, 1.20, 499.12, 599.90, 310.99, 389.06
2255032, 1.20, 499.20, 600.00, 313.21, 391.73
2271032, 1.20, 501.12, 602.37, 315.43, 394.40
2287033, 1.20, 500.72, 599.89, 317.66, 397.07
2303033, 1.20, 500.72, 599.90, 319.88, 399.74
2319033, 1.20, 500.80, 599.99, 322.11, 402.41
2335032, 1.20, 500.40, 601.52, 324.33, 405.08
2351033, 1.20, 500.72, 599.90, 326.56, 407.75
2367032, 1.20, 500.80, 599.98, 328.78, 410.42
2383033, 1.20, 500.52, 599.67, 331.01, 413.08
2399033, 1.20, 500.72, 599.91, 333.24, 415.75
2415032, 1.20, 500.72, 599.89, 335.46, 418.42
2431032, 1.20, 500.72, 599.90, 337.69, 421.08
2447032, 1.19, 500.60, 597.75, 339.91, 423.75
2463032, 1.20, 500.60, 599.76, 342.14, 426.41
2479032, 1.19, 500.72, 597.90, 344.36, 429.07
2495032, 1.20, 500.72, 599.89, 346.59, 431.73
2511033, 1.19, 499.52, 596.40, 348.81, 434.39
2527032, 1.19, 499.60, 596.50, 351.03, 437.04
2543032, 1.20, 499.52, 598.39, 353.25, 439.70
2559032, 1.19, 499.52, 596.40, 355.47, 442.35
2575032, 1.19, 499.32, 596.14, 357.69, 445.00
2591032, 1.19, 499.32, 596.16, 359.91, 447.65
2607032, 1.19, 499.60, 596.48, 362.12, 450.30
2623032, 1.19, 499.32, 596.16, 364.34, 452.95
2639032, 1.19, 499.52, 594.39, 366.56, 455.60
2655032, 1.19, 499.20, 595.99, 368.78, 458.25
2671033, 1.19, 500.80, 597.99, 371.01, 460.90
2687032, 1.19, 499.32, 596.15, 373.23, 463.55
2703032, 1.19, 499.32, 596.17, 375.45, 466.20
2719033, 1.19, 499.40, 596.25, 377.67, 468.85
2735032, 1.19, 499.52, 594.39, 379.89, 471.49
2751032, 1.19, 499.32, 594.15, 382.11, 474.13
2767032, 1.19, 499.40, 596.25, 384.33, 476.77
2783032, 1.19, 499.60, 594.49, 386.55, 479.42
2799032, 1.19, 499.52, 594.39, 388.77, 482.06
2815032, 1.19, 499.40, 594.27, 390.99, 484.70
2831032, 1.19, 499.12, 593.91, 393.21, 487.34
2847032, 1.19, 499.40, 592.27, 395.43, 489.98
2863033, 1.19, 499.20, 594.01, 397.65, 492.62
2879032, 1.19, 500.80, 596.00, 399.87, 495.26
2895032, 1.19, 499.40, 594.25, 402.09, 497.90
2911032, 1.19, 499.20, 594.01, 404.31, 500.54
2927032, 1.19, 499.40, 592.27, 406.53, 503.18
2943032, 1.19, 499.40, 592.25, 408.75, 505.82
2959032, 1.19, 499.52, 594.39, 410.97, 508.45
2975032, 1.19, 499.40, 592.25, 413.19, 511.09
2991033, 1.18, 499.72, 590.63, 415.41, 513.73
3007033, 1.19, 499.40, 592.24, 417.63, 516.36
3023032, 1.19, 499.32, 592.15, 419.85, 518.99
3039032, 1.19, 499.32, 592.16, 422.06, 521.63
3055032, 1.19, 499.40, 592.25, 424.28, 524.26
3071033, 1.19, 499.20, 592.01, 426.50, 526.89
3087032, 1.19, 499.12, 591.92, 428.72, 529.53
3103032, 1.19, 499.20, 592.01, 430.94, 532.16
3119032, 1.19, 499.40, 592.26, 433.16, 534.79
3135032, 1.19, 499.52, 592.40, 435.38, 537.42
3151033, 1.18, 499.40, 590.26, 437.60, 540.05
3167033, 1.18, 499.20, 590.02, 439.82, 542.68
3183032, 1.19, 499.32, 592.16, 442.04, 545.32
3199033, 1.19, 499.20, 592.01, 444.26, 547.95
3215033, 1.19, 499.12, 593.91, 446.48, 550.58
3231032, 1.18, 499.12, 589.93, 448.70, 553.21
3247032, 1.19, 499.40, 592.25, 450.91, 555.84
3263032, 1.19, 499.20, 592.01, 453.13, 558.46
3279032, 1.18, 499.60, 590.51, 455.35, 561.09
3295032, 1.18, 499.20, 590.01, 457.57, 563.72
3311032, 1.18, 499.40, 588.26, 459.79, 566.34
3327032, 1.18, 499.40, 590.27, 462.01, 568.97
3343032, 1.18, 499.72, 590.63, 464.23, 571.60
3359032, 1.19, 499.12, 591.92, 466.45, 574.22
3375032, 1.18, 499.40, 590.26, 468.67, 576.85
