millis,voltage,current,power,capacity,energy
0, 1.32, 190.70, 250.78, 0.00, 0.00
15257, 1.31, 190.70, 249.26, 0.81, 1.06
31257, 1.30, 190.60, 248.36, 1.66, 2.16
47257, 1.30, 190.60, 248.36, 2.50, 3.27
63257, 1.30, 190.60, 247.60, 3.35, 4.37
79257, 1.30, 190.70, 246.97, 4.20, 5.47
95258, 1.30, 190.60, 246.84, 5.04, 6.57
111257, 1.30, 190.70, 246.97, 5.89, 7.66
127257, 1.29, 190.60, 246.08, 6.74, 8.76
143257, 1.29, 190.60, 245.32, 7.59, 9.85
159257, 1.29, 190.60, 245.32, 8.43, 10.95
175258, 1.29, 190.70, 245.44, 9.28, 12.04
191257, 1.29, 190.60, 245.31, 10.13, 13.13
207257, 1.28, 190.60, 244.55, 10.98, 14.21
223257, 1.28, 190.60, 244.55, 11.82, 15.30
239257, 1.28, 190.60, 243.79, 12.67, 16.39
255257, 1.28, 190.50, 243.66, 13.52, 17.47
271257, 1.28, 190.70, 243.92, 14.36, 18.56
287258, 1.28, 190.70, 243.92, 15.21, 19.64
303258, 1.28, 190.60, 243.03, 16.06, 20.72
319257, 1.28, 190.60, 243.03, 16.91, 21.80
335258, 1.28, 190.60, 243.03, 17.75, 22.88
351257, 1.28, 190.50, 242.90, 18.60, 23.96
367257, 1.28, 190.70, 243.15, 19.45, 25.04
383258, 1.27, 190.70, 242.39, 20.30, 26.12
399257, 1.27, 190.60, 242.27, 21.14, 27.20
415257, 1.27, 190.70, 242.39, 21.99, 28.27
431257, 1.27, 190.70, 242.39, 22.84, 29.35
447257, 1.27, 190.60, 242.27, 23.68, 30.42
463257, 1.27, 190.60, 241.50, 24.53, 31.50
479258, 1.27, 190.70, 241.63, 25.38, 32.57
495257, 1.26, 190.60, 240.74, 26.23, 33.64
511258, 1.26, 190.70, 240.87, 27.07, 34.72
527257, 1.26, 190.70, 240.87, 27.92, 35.79
543257, 1.26, 190.70, 240.87, 28.77, 36.86
559257, 1.26, 190.60, 240.74, 29.62, 37.93
575257, 1.26, 190.60, 239.98, 30.46, 39.00
591257, 1.26, 190.70, 240.10, 31.31, 40.06
607257, 1.26, 190.70, 240.10, 32.16, 41.13
623257, 1.26, 190.70, 240.10, 33.01, 42.20
639257, 1.26, 190.60, 239.98, 33.85, 43.27
655258, 1.26, 190.50, 239.85, 34.70, 44.33
671257, 1.26, 190.60, 239.98, 35.55, 45.40
687257, 1.26, 190.60, 239.21, 36.39, 46.46
703257, 1.26, 190.60, 239.98, 37.24, 47.53
719257, 1.26, 190.60, 239.21, 38.09, 48.59
735257, 1.26, 190.70, 239.34, 38.94, 49.65
751258, 1.26, 190.70, 239.34, 39.78, 50.72
767257, 1.25, 190.70, 238.58, 40.63, 51.78
783257, 1.25, 190.70, 238.58, 41.48, 52.84
799257, 1.25, 190.70, 238.58, 42.32, 53.90
815257, 1.25, 190.60, 238.45, 43.17, 54.96
831257, 1.25, 190.70, 238.58, 44.02, 56.02
847257, 1.25, 190.60, 238.45, 44.87, 57.08
863257, 1.25, 190.60, 238.45, 45.71, 58.14
879258, 1.25, 190.70, 237.81, 46.56, 59.20
895257, 1.25, 190.60, 237.69, 47.41, 60.26
911257, 1.25, 190.60, 237.69, 48.26, 61.31
927257, 1.25, 190.60, 237.69, 49.10, 62.37
943257, 1.25, 190.60, 237.69, 49.95, 63.43
959257, 1.25, 190.60, 237.69, 50.80, 64.48
975257, 1.24, 190.70, 237.05, 51.64, 65.54
991257, 1.24, 190.70, 237.05, 52.49, 66.59
1007257, 1.24, 190.60, 236.93, 53.34, 67.65
1023258, 1.24, 190.60, 236.93, 54.19, 68.70
1039257, 1.24, 190.60, 236.93, 55.03, 69.75
1055257, 1.24, 190.70, 237.05, 55.88, 70.81
1071258, 1.24, 190.60, 236.93, 56.73, 71.86
1087258, 1.24, 190.60, 236.93, 57.58, 72.91
1103257, 1.24, 190.60, 236.16, 58.42, 73.96
1119257, 1.24, 190.60, 236.93, 59.27, 75.02
1135257, 1.24, 190.50, 236.04, 60.12, 76.07
1151257, 1.24, 190.60, 236.17, 60.96, 77.12
1167257, 1.24, 190.60, 236.16, 61.81, 78.17
1183258, 1.24, 190.60, 236.17, 62.66, 79.22
1199257, 1.24, 190.60, 236.16, 63.51, 80.27
1215257, 1.24, 190.70, 236.29, 64.35, 81.31
1231257, 1.24, 190.60, 235.40, 65.20, 82.36
1247257, 1.24, 190.60, 235.40, 66.05, 83.41
1263257, 1.24, 190.50, 235.28, 66.89, 84.46
1279257, 1.24, 190.60, 235.40, 67.74, 85.50
1295258, 1.24, 190.60, 235.40, 68.59, 86.55
1311257, 1.24, 190.60, 235.40, 69.44, 87.60
1327257, 1.24, 190.60, 235.40, 70.28, 88.64
1343257, 1.24, 190.50, 235.28, 71.13, 89.69
1359257, 1.24, 190.60, 235.40, 71.98, 90.73
1375257, 1.23, 190.60, 234.64, 72.82, 91.78
1391257, 1.23, 190.60, 234.64, 73.67, 92.82
1407257, 1.23, 190.60, 234.64, 74.52, 93.87
1423257, 1.23, 190.60, 234.64, 75.37, 94.91
1439257, 1.23, 190.60, 234.64, 76.21, 95.95
1455257, 1.23, 190.70, 234.76, 77.06, 97.00
1471257, 1.23, 190.60, 234.64, 77.91, 98.04
1487257, 1.23, 190.70, 234.00, 78.75, 99.08
1503257, 1.23, 190.60, 234.64, 79.60, 100.12
1519258, 1.23, 190.70, 234.76, 80.45, 101.17
1535257, 1.23, 190.60, 234.64, 81.30, 102.21
1551257, 1.23, 190.70, 234.00, 82.14, 103.25
1567257, 1.23, 190.60, 233.88, 82.99, 104.29
1583258, 1.23, 190.60, 233.88, 83.84, 105.33
1599257, 1.23, 190.70, 234.00, 84.68, 106.37
1615257, 1.23, 190.60, 233.88, 85.53, 107.41
1631257, 1.23, 190.60, 233.88, 86.38, 108.45
1647257, 1.23, 190.60, 233.88, 87.23, 109.49
1663257, 1.22, 190.60, 233.12, 88.07, 110.53
1679257, 1.23, 190.60, 233.88, 88.92, 111.57
1695257, 1.22, 190.60, 233.12, 89.77, 112.60
1711257, 1.22, 190.50, 232.99, 90.61, 113.64
1727257, 1.22, 190.60, 233.12, 91.46, 114.68
1743257, 1.22, 190.60, 233.12, 92.31, 115.71
1759258, 1.22, 190.60, 233.12, 93.16, 116.75
1775257, 1.22, 190.70, 233.24, 94.00, 117.79
1791257, 1.22, 190.70, 233.24, 94.85, 118.82
1807258, 1.22, 190.60, 233.12, 95.70, 119.86
1823257, 1.22, 190.70, 233.24, 96.55, 120.90
1839257, 1.22, 190.60, 233.12, 97.39, 121.93
1855257, 1.22, 190.60, 233.12, 98.24, 122.97
1871257, 1.22, 190.60, 233.12, 99.09, 124.00
1887258, 1.22, 190.60, 233.12, 99.93, 125.04
1903258, 1.22, 190.60, 233.12, 100.78, 126.07
1919257, 1.22, 190.60, 233.12, 101.63, 127.11
1935258, 1.22, 190.60, 233.12, 102.48, 128.14
1951257, 1.22, 190.60, 232.35, 103.32, 129.17
1967258, 1.22, 190.70, 232.48, 104.17, 130.21
1983258, 1.22, 190.60, 232.35, 105.02, 131.24
