millis,voltage,current,power,capacity,energy
0, 1.24, 190.50, 236.04, 0.00, 0.00
15214, 1.24, 190.70, 235.53, 0.81, 1.00
31214, 1.24, 190.80, 235.65, 1.65, 2.04
47214, 1.23, 190.70, 234.77, 2.50, 3.09
63215, 1.23, 190.80, 234.89, 3.35, 4.13
79214, 1.23, 190.90, 234.25, 4.20, 5.17
95214, 1.22, 190.80, 233.36, 5.04, 6.21
111214, 1.22, 190.70, 233.24, 5.89, 7.25
127215, 1.22, 190.70, 232.48, 6.74, 8.29
143214, 1.22, 190.80, 232.60, 7.59, 9.32
159214, 1.22, 190.80, 231.84, 8.44, 10.35
175214, 1.22, 190.80, 231.84, 9.29, 11.39
191214, 1.22, 190.80, 231.84, 10.13, 12.42
207214, 1.22, 190.80, 231.84, 10.98, 13.45
223215, 1.21, 190.80, 231.08, 11.83, 14.47
239214, 1.21, 190.80, 231.07, 12.68, 15.50
255214, 1.21, 190.80, 231.07, 13.53, 16.53
271214, 1.21, 190.90, 230.43, 14.37, 17.55
287214, 1.21, 190.90, 230.43, 15.22, 18.58
303215, 1.21, 190.90, 230.43, 16.07, 19.60
319214, 1.21, 190.90, 230.43, 16.92, 20.62
335215, 1.20, 190.80, 229.55, 17.77, 21.65
351214, 1.20, 190.80, 229.55, 18.61, 22.67
367215, 1.20, 190.90, 229.67, 19.46, 23.69
383214, 1.20, 190.80, 229.55, 20.31, 24.71
399215, 1.20, 190.80, 228.78, 21.16, 25.73
415215, 1.20, 190.90, 228.90, 22.01, 26.74
431215, 1.20, 190.80, 228.78, 22.86, 27.76
447214, 1.20, 190.80, 228.78, 23.70, 28.78
463214, 1.20, 190.80, 228.78, 24.55, 29.79
479214, 1.20, 190.80, 228.02, 25.40, 30.81
495214, 1.20, 190.90, 228.14, 26.25, 31.82
511214, 1.20, 190.80, 228.02, 27.10, 32.84
527214, 1.20, 190.80, 228.02, 27.94, 33.85
543214, 1.20, 190.80, 228.02, 28.79, 34.86
559214, 1.20, 190.80, 228.02, 29.64, 35.88
575214, 1.20, 190.80, 228.02, 30.49, 36.89
591215, 1.19, 190.80, 227.26, 31.34, 37.90
607214, 1.19, 190.80, 227.26, 32.18, 38.91
623214, 1.19, 190.90, 227.38, 33.03, 39.92
639214, 1.19, 190.80, 227.26, 33.88, 40.93
