millis,voltage,current,power,capacity,energy
0, 1.40, 190.30, 265.48, 0.00, 0.00
15704, 1.39, 190.50, 265.00, 0.83, 1.16
31705, 1.39, 190.50, 264.23, 1.68, 2.33
47704, 1.39, 190.50, 264.23, 2.52, 3.51
63704, 1.38, 190.60, 263.61, 3.37, 4.68
79704, 1.38, 190.60, 262.85, 4.22, 5.85
95704, 1.38, 190.60, 262.85, 5.07, 7.02
111704, 1.38, 190.60, 262.09, 5.91, 8.18
127704, 1.37, 190.60, 261.32, 6.76, 9.35
143704, 1.37, 190.60, 261.32, 7.61, 10.51
159705, 1.37, 190.50, 260.42, 8.45, 11.67
175704, 1.37, 190.60, 260.56, 9.30, 12.83
191704, 1.37, 190.60, 260.56, 10.15, 13.98
207704, 1.36, 190.60, 259.80, 10.99, 15.14
223705, 1.36, 190.60, 259.03, 11.84, 16.29
239704, 1.36, 190.70, 259.17, 12.69, 17.44
255704, 1.36, 190.60, 259.03, 13.54, 18.60
271704, 1.36, 190.50, 258.14, 14.38, 19.74
287704, 1.36, 190.60, 258.27, 15.23, 20.89
303704, 1.36, 190.60, 258.27, 16.08, 22.04
319705, 1.35, 190.60, 257.51, 16.92, 23.19
335704, 1.35, 190.60, 257.51, 17.77, 24.33
351704, 1.35, 190.60, 256.75, 18.62, 25.47
367705, 1.35, 190.60, 256.75, 19.47, 26.61
383704, 1.34, 190.60, 255.99, 20.31, 27.75
399704, 1.34, 190.60, 255.99, 21.16, 28.89
415704, 1.34, 190.70, 256.12, 22.01, 30.03
431704, 1.34, 190.70, 256.12, 22.85, 31.17
447704, 1.34, 190.60, 255.22, 23.70, 32.30
463705, 1.34, 190.60, 255.22, 24.55, 33.44
479704, 1.34, 190.60, 254.46, 25.39, 34.57
495705, 1.34, 190.60, 254.46, 26.24, 35.70
511704, 1.34, 190.60, 254.46, 27.09, 36.83
527705, 1.34, 190.70, 254.60, 27.94, 37.96
543705, 1.33, 190.60, 253.70, 28.78, 39.09
559704, 1.33, 190.50, 253.57, 29.63, 40.22
575704, 1.33, 190.60, 253.70, 30.48, 41.35
591704, 1.33, 190.60, 252.94, 31.32, 42.47
607704, 1.33, 190.60, 253.70, 32.17, 43.60
623704, 1.33, 190.50, 252.80, 33.02, 44.72
639704, 1.33, 190.60, 252.94, 33.87, 45.85
655704, 1.32, 190.60, 252.18, 34.71, 46.97
671704, 1.32, 190.60, 252.18, 35.56, 48.09
687705, 1.32, 190.60, 252.18, 36.41, 49.21
703704, 1.32, 190.60, 251.41, 37.25, 50.33
719704, 1.32, 190.60, 251.41, 38.10, 51.45
735704, 1.32, 190.60, 251.41, 38.95, 52.56
751704, 1.32, 190.60, 251.41, 39.80, 53.68
767704, 1.32, 190.60, 250.65, 40.64, 54.80
783705, 1.32, 190.60, 250.65, 41.49, 55.91
799704, 1.32, 190.60, 250.65, 42.34, 57.02
815704, 1.32, 190.60, 250.65, 43.18, 58.14
831704, 1.31, 190.60, 249.89, 44.03, 59.25
847704, 1.31, 190.50, 249.76, 44.88, 60.36
863704, 1.31, 190.60, 249.89, 45.73, 61.47
879704, 1.31, 190.60, 249.89, 46.57, 62.58
895705, 1.31, 190.60, 249.89, 47.42, 63.69
911704, 1.31, 190.60, 249.13, 48.27, 64.80
927705, 1.31, 190.60, 249.13, 49.11, 65.91
943704, 1.31, 190.60, 249.12, 49.96, 67.01
959704, 1.30, 190.50, 248.23, 50.81, 68.12
975704, 1.30, 190.60, 248.36, 51.66, 69.22
991705, 1.30, 190.60, 248.36, 52.50, 70.33
1007704, 1.30, 190.70, 248.49, 53.35, 71.43
1023704, 1.30, 190.70, 247.73, 54.20, 72.53
1039704, 1.30, 190.60, 248.36, 55.04, 73.64
1055704, 1.30, 190.60, 247.60, 55.89, 74.74
1071704, 1.30, 190.60, 247.60, 56.74, 75.84
1087704, 1.30, 190.60, 247.60, 57.59, 76.94
1103704, 1.30, 190.60, 246.84, 58.43, 78.04
1119705, 1.30, 190.60, 247.60, 59.28, 79.14
1135704, 1.30, 190.60, 246.84, 60.13, 80.23
1151704, 1.30, 190.70, 246.97, 60.97, 81.33
1167704, 1.30, 190.50, 246.71, 61.82, 82.43
