millis,voltage,current,power,capacity,energy
0, 1.19, 501.00, 594.23, 0.00, 0.00
15880, 1.18, 499.40, 590.27, 2.20, 2.61
31879, 1.18, 499.40, 588.26, 4.42, 5.23
47879, 1.18, 499.12, 587.93, 6.64, 7.84
63879, 1.17, 499.20, 586.02, 8.86, 10.44
79880, 1.17, 499.60, 584.51, 11.08, 13.04
95879, 1.17, 499.40, 584.27, 13.30, 15.64
111879, 1.17, 499.32, 582.18, 15.52, 18.23
127879, 1.17, 499.52, 582.41, 17.74, 20.82
143879, 1.17, 499.60, 582.51, 19.96, 23.40
159879, 1.17, 499.32, 582.17, 22.18, 25.98
175879, 1.16, 499.60, 580.51, 24.40, 28.56
191879, 1.16, 499.32, 580.18, 26.62, 31.14
207880, 1.16, 499.40, 578.27, 28.84, 33.72
223880, 1.16, 499.32, 578.18, 31.06, 36.28
239880, 1.15, 499.40, 576.28, 33.28, 38.85
255879, 1.15, 499.52, 576.43, 35.50, 41.42
271879, 1.15, 499.40, 576.27, 37.72, 43.98
287879, 1.15, 499.32, 576.17, 39.94, 46.54
303879, 1.15, 499.20, 574.07, 42.16, 49.10
319879, 1.15, 499.32, 574.18, 44.38, 51.65
335879, 1.15, 499.20, 574.05, 46.60, 54.20
351879, 1.15, 499.40, 574.29, 48.82, 56.75
367880, 1.15, 499.40, 574.27, 51.04, 59.30
383879, 1.15, 499.40, 572.29, 53.26, 61.85
399880, 1.15, 499.32, 572.20, 55.48, 64.39
415879, 1.15, 499.60, 572.52, 57.70, 66.93
431879, 1.15, 499.40, 572.28, 59.92, 69.48
447879, 1.15, 499.32, 572.19, 62.13, 72.02
463879, 1.15, 499.80, 572.73, 64.35, 74.56
479879, 1.15, 499.40, 572.28, 66.57, 77.10
495879, 1.14, 499.32, 570.18, 68.79, 79.63
511879, 1.14, 499.60, 570.52, 71.01, 82.17
527879, 1.14, 499.40, 570.27, 73.23, 84.70
543879, 1.14, 499.40, 570.28, 75.45, 87.24
559880, 1.14, 499.20, 570.05, 77.67, 89.77
575879, 1.14, 499.20, 570.05, 79.89, 92.30
591879, 1.14, 499.52, 570.42, 82.11, 94.84
607879, 1.14, 499.52, 568.41, 84.33, 97.37
623879, 1.14, 499.32, 570.19, 86.55, 99.90
639879, 1.14, 499.40, 570.29, 88.77, 102.43
655879, 1.14, 499.60, 568.52, 90.99, 104.96
671880, 1.14, 499.60, 570.52, 93.21, 107.49
687879, 1.14, 499.52, 570.42, 95.43, 110.02
703879, 1.14, 499.40, 568.30, 97.65, 112.55
719880, 1.14, 499.52, 568.42, 99.87, 115.08
735880, 1.14, 499.40, 568.28, 102.09, 117.61
751879, 1.14, 499.40, 568.28, 104.31, 120.14
767879, 1.14, 499.72, 568.64, 106.53, 122.66
783879, 1.14, 499.52, 568.43, 108.75, 125.19
799879, 1.14, 499.32, 568.19, 110.97, 127.71
815879, 1.14, 499.52, 568.43, 113.19, 130.24
831880, 1.13, 499.52, 566.42, 115.41, 132.76
847879, 1.14, 499.52, 568.43, 117.63, 135.29
863879, 1.14, 499.60, 568.50, 119.85, 137.81
879879, 1.14, 499.52, 568.43, 122.07, 140.33
