millis,voltage,current,power,capacity,energy
0, 1.38, 500.60, 689.86, 0.00, 0.00
15157, 1.37, 500.80, 688.13, 2.11, 2.90
31157, 1.37, 500.92, 684.30, 4.34, 5.95
47157, 1.36, 499.40, 680.15, 6.56, 8.99
63157, 1.36, 499.32, 680.03, 8.78, 12.01
79157, 1.35, 499.40, 674.16, 11.00, 15.03
95157, 1.35, 499.60, 676.43, 13.22, 18.03
111157, 1.35, 499.52, 674.33, 15.44, 21.03
127157, 1.35, 499.12, 673.78, 17.66, 24.03
143157, 1.35, 499.32, 672.05, 19.88, 27.02
159157, 1.35, 499.40, 672.17, 22.09, 30.00
175157, 1.34, 499.12, 669.80, 24.31, 32.98
191157, 1.34, 499.20, 669.90, 26.53, 35.96
207158, 1.34, 499.32, 670.05, 28.75, 38.94
223157, 1.34, 499.60, 670.43, 30.97, 41.92
239157, 1.34, 499.40, 668.16, 33.19, 44.89
255157, 1.34, 499.60, 668.42, 35.41, 47.86
271157, 1.33, 499.12, 665.79, 37.63, 50.83
287157, 1.33, 499.40, 666.18, 39.85, 53.79
303157, 1.33, 499.80, 666.70, 42.07, 56.75
319157, 1.33, 499.40, 664.17, 44.29, 59.70
335157, 1.33, 499.72, 664.60, 46.51, 62.65
351157, 1.33, 499.52, 664.33, 48.73, 65.60
367157, 1.33, 499.52, 662.33, 50.95, 68.55
383157, 1.33, 499.40, 662.16, 53.17, 71.49
399157, 1.33, 499.32, 662.07, 55.39, 74.43
415157, 1.32, 499.40, 660.18, 57.61, 77.36
431157, 1.32, 499.60, 660.44, 59.83, 80.30
447157, 1.32, 499.40, 660.17, 62.05, 83.23
463157, 1.32, 499.60, 658.44, 64.27, 86.15
479157, 1.31, 499.60, 656.44, 66.49, 89.07
495157, 1.31, 499.60, 656.45, 68.71, 92.00
511157, 1.31, 499.40, 656.18, 70.92, 94.91
527158, 1.31, 499.40, 656.19, 73.14, 97.83
543157, 1.31, 499.40, 654.19, 75.36, 100.74
559157, 1.31, 499.40, 654.18, 77.58, 103.65
575157, 1.31, 499.72, 652.60, 79.80, 106.56
591157, 1.31, 499.32, 654.08, 82.02, 109.46
607157, 1.31, 499.40, 652.19, 84.24, 112.36
623158, 1.31, 499.52, 652.34, 86.46, 115.26
639158, 1.31, 499.60, 652.45, 88.68, 118.16
655157, 1.30, 499.60, 650.46, 90.90, 121.05
671158, 1.30, 499.60, 650.45, 93.12, 123.94
687158, 1.30, 499.52, 648.36, 95.34, 126.83
703157, 1.30, 499.40, 648.20, 97.56, 129.71
719157, 1.30, 499.20, 647.93, 99.78, 132.59
735157, 1.29, 500.80, 648.09, 102.00, 135.48
751156, 1.30, 499.52, 648.35, 104.23, 138.36
767157, 1.29, 499.20, 645.94, 106.45, 141.23
783157, 1.29, 499.12, 645.82, 108.67, 144.11
799158, 1.29, 499.52, 646.34, 110.89, 146.98
815157, 1.29, 499.40, 646.20, 113.11, 149.85
831157, 1.29, 499.40, 646.19, 115.33, 152.71
847157, 1.29, 499.52, 644.36, 117.55, 155.58
863157, 1.29, 499.60, 644.44, 119.77, 158.44
879157, 1.29, 499.20, 643.94, 121.99, 161.30
895158, 1.29, 499.52, 642.36, 124.21, 164.16
911157, 1.29, 499.40, 642.21, 126.43, 167.01
